"Static Blocks","Blocos Estáticos"
"Add New Block","Adicionar Novo Bloco"
"Back","Voltar"
"Delete Block","Remover Bloco"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Save","Gravar"
"Save & Duplicate","Gravar & Duplicar"
"Save & Close","Guardar & Fechar"
"ID","Id."
"Title","Título"
"Identifier","Identificador"
"Status","Estado"
"Disabled","Inativo"
"Enabled","Ativo"
"Manage Pages","Gerir Páginas"
"Add New Page","Adicionar Nova Página"
"Delete Page","Remover Página"
"URL Key","Chave URL"
"Layout","Layout"
"Store View","Vista da Loja"
"Created","Criado"
"Modified","Modificado"
"Action","Ação"
"Preview","Pré-Visualizar"
"Media Storage","Armazenamento Média"
"Cancel","Cancelar"
"Delete Folder","Remover Pasta"
"Delete Selected","Excluir Selecionados"
"Create Folder","Criar pasta"
"Add Selected","Adicionar selecionados"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem a certeza que deseja excluír esta pasta?"
"Are you sure you want to delete this file?","Tem a certeza que deseja eliminar este ficheiro?"
"Images (%1)","Imagens (%1)"
"Storage Root","Raiz do Armazenamento"
"The CMS block with identifier ""%identifier"" is not enabled.","O bloco CMS com identificador ""%identifier"" não está habilitado."
"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"CMS","CMS"
"You deleted the block.","Removeu o bloco."
"We can't find a block to delete.","Não conseguimos encontrar um bloco para remover."
"This block no longer exists.","Este bloco já não existe."
"Edit Block","Editar Bloco"
"New Block","Novo Bloco"
"Blocks","Blocos"
"Please correct the data sent.","Por favor, corrija os dados enviados."
"A total of %1 record(s) have been deleted.","Um total de %1 registo(s) foram removidos."
"You saved the block.","Gravou o bloco."
"Something went wrong while saving the block.","Algo correu mal ao gravar o bloco."
"You duplicated the block.","Você duplicou o bloco."
"The page has been deleted.","A página foi apagada."
"We can't find a page to delete.","Não conseguimos encontrar uma página para excluir."
"This page no longer exists.","Esta página já não existe."
"Edit Page","Editar Página"
"New Page","Nova Página"
"Pages","Páginas"
"Something went wrong while saving the page.","Algo correu mal durante a gravação da página."
"A total of %1 record(s) have been disabled.","Um total de %1 registo(s) foram desativados."
"A total of %1 record(s) have been enabled.","Um total de %1 registo(s) foram ativados."
"Page Title","Título da Página"
"To apply changes you should fill in hidden required ""%1"" field","Para aplicar as alterações deve preencher o campo obrigatório oculto ""%1"""
"You saved the page.","Gravou a página."
"You duplicated the page.","Você duplicou a página."
"Wrong request.","Pedido Errado."
"Directory %1 is not under storage root path.","A pasta %1 não está dentro do caminho raiz de armazenamento."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Não é possível criar %1 como subdiretório de %2, você pode ter alguma issue de permissão."
"Make sure that static block content does not reference the block itself.","Certifique-se de que o conteúdo do bloco estático não referencia o bloco em si."
"Content field contains restricted HTML elements. %1","O campo de conteúdo contém elementos HTML restritos. %1"
"The CMS block with the ""%1"" ID doesn't exist.","O bloco CMS com o ID%1"" não existe."
"Enabled by Default","Ativado por Pré-definição"
"Disabled by Default","Desativado por Pré-definição"
"Disabled Completely","Desativado Completamente"
"The CMS page with the ""%1"" ID doesn't exist.","A página CMS com o ID%1"" não existe."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Este identificador é reservado à ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Este identificador é reservado à ""CMS Home Page"" na configuração."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Este identificador é reservado à ""CMS No Cookies Page"" na configuração."
"Content HTML contains restricted elements. %1","Conteúdo HTML contém elementos restritos. %1"
"You are not allowed to change CMS pages design settings","Você não tem permissão para alterar as configurações de design de páginas CMS"
"Invalid Custom Layout Update selected","Atualização de Layout Personalizado Inválida selecionada"
"Page ""%id"" doesn't have custom layout assigned","Página ""%id"" não tem layout personalizado atribuído"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Não foi possível gravar a página: %1"
"Could not delete the page: %1","Não foi possível eliminar a página: %1"
"The value specified in the URL Key field would generate a URL that already exists.","O valor especificado no campo Chave de URL geraria uma URL que já existe."
"Required field ""%1"" is empty.","Campo obrigatório ""%1"" está vazio."
"Layout update is invalid","Atualização de layout é inválida"
"Custom layout update is invalid","Atualização de layout personalizada é inválida"
"A block identifier with the same properties already exists in the selected store.","Já existe na loja selecionada um identificador de bloco com as mesmas propriedades."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","A chave URL da página não pode usar letras maiúsculas ou caracteres não permitidos. Remova as letras e caracteres e tente novamente."
"The page URL key can't use only numbers. Add letters or words and try again.","A chave URL da página não pode usar apenas números. Adicione as letras ou palavras e tente novamente."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Por favor, renomeie a pasta usando apenas letras latinas, números, sublinhados e traços."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Encontrámos uma pasta com o mesmo nome. Por favor tente outro nome para a pasta."
"We cannot create a new directory.","Não é possível criar uma nova pasta."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Não é possível apagar a pasta %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","Validação do arquivo falhou."
"We can't upload the file right now.","De momento não é possível carregar o ficheiro."
"We can't delete root directory %1 right now.","De momento não é possível apagar a pasta de raiz %1."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporariamente permitido para salvar valores HTML que contém elementos restritos. %1"
"Invalid HTML provided","HTML inválido fornecido"
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Mensagem de erro"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Não foi possível criar uma pasta."
"Oh no. That isn't right.","Ah não. Isso não está certo."
"Invalid format","Formato inválido"
"Invalid html","html inválido"
"Edit","Editar"
"Delete","Eliminar"
"Delete %1","Eliminar %1"
"Are you sure you want to delete a %1 record?","Tem a certeza que pretende apagar um registo $%1?"
"All Store Views","Todas as Vistas de Loja"
"View","Visualizar"
"px.","px."
"No files found","Nenhum ficheiro encontrado"
"Upload Images","Carregar Imagens"
"Collapse All","Esconder Todos"
"Expand All","Expandir Todos"
"Save Page","Gravar Página"
"Edit Page Design","Editar modelo de página"
"Media Gallery","Galeria de Média"
"Content Management","Gestão de Conteúdo"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","Página Principal CMS"
"CMS No Route Page","Página No Route CMS"
"CMS No Cookies Page","Página No Cookies CMS"
"Show Breadcrumbs for CMS Pages","Mostrar Breadcrumbs nas Páginas CMS"
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para Página CMS se as Cookies estiverem Desativadas"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
"Show Notice if Local Storage is Disabled","Mostrar aviso se o Armazenamento Local estiver desativado"
"Default Page Layout","Layout Padrão da Página"
"WYSIWYG Options","Opções WYSIWYG"
"Enable WYSIWYG Editor","Ativar Editor WYSIWYG"
"WYSIWYG Editor","Editor WYSIWYG"
"CMS Page Link","Link da Página CMS"
"Link to a CMS Page","Link para uma Página CMS"
"CMS Page","Página CMS"
"Select Page...","Selecione a Página..."
"Anchor Custom Text","Texto Personalizado da Âncora"
"If empty, the Page Title will be used","Se estiver vazio, será usado o Título da Página"
"Anchor Custom Title","Título Personalizado da Âncora"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Static Block","Bloco Estático CMS"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
"Block","Bloco"
"Select Block...","Selecione o Bloco..."
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"General Information","Informação Geral"
"Enable Block","Ativar Bloco"
"Block Title","Título do Bloco"
"Are you sure you want to delete selected items?","Tem a certeza que deseja excluir os itens selecionados?"
"Delete items","Remover itens"
"Page Information","Informações da Página"
"Enable Page","Ativar Página"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Search Engine Optimization","Otimização para Motores de Pesquisa (SEO)"
"Meta Title","Título Meta"
"Meta Keywords","Palavras-chave Meta"
"Meta Description","Descrição Meta"
"Page in Websites","Página nos Sites"
"Design","Design"
"Layout Update XML","Atualização do Layout XML"
"Custom Layout Update","Atualização de Layout Personalizado"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        Lista de arquivos de layout com um identificador de atualização ""selectable""
                        correspondente a *PageIdentifier*_*Atualização*.
                        <br/>
                        Consulte a documentação do Magento para obter mais informações
                    "
"Custom Design Update","Atualização de Design Personalizada"
"From","De"
"To","Para"
"New Theme","Novo Tema"
"-- Please Select --","-- Por favor, selecione --"
"New Layout","Novo Layout"
"Disable","Desativar"
"Enable","Ativar"
"Custom design from","Design personalizado de"
"Custom design to","Design personalizado para"
"Custom Theme","Tema Personalizado"
"Custom Layout","Layout Personalizado"
