"Static Blocks","Statische blokken"
"Add New Block","Nieuw blok toevoegen"
"Back","Terug"
"Delete Block","Blok verwijderen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Save","Opslaan"
"Save & Duplicate","Opslaan & Dupliceren"
"Save & Close","Opslaan & Sluiten"
"ID","ID"
"Title","Titel"
"Identifier","Identificator"
"Status","status"
"Disabled","Uitgeschakeld"
"Enabled","Ingeschakeld"
"Manage Pages","Beheer pagina's"
"Add New Page","Nieuwe pagina toevoegen"
"Delete Page","Pagina verwijderen"
"URL Key","URL sleutel"
"Layout","Lay-out"
"Store View","Winkelaanzicht"
"Created","Aangemaakt"
"Modified","Gewijzigd"
"Action","Actie"
"Preview","Voorbeeld"
"Media Storage","Media opslag"
"Cancel","Annuleren"
"Delete Folder","Map verwijderen"
"Delete Selected","Selectie verwijderen"
"Create Folder","Map aanmaken"
"Add Selected","Geselecteerde toevoegen"
"New Folder Name:","Nieuwe mapnaam"
"Are you sure you want to delete this folder?","Weet je zeker dat je deze map wilt verwijderen?"
"Are you sure you want to delete this file?","Weet je zeker dat je dit bestand wilt verwijderen?"
"Images (%1)","Afbeeldingen (%1)"
"Storage Root","Opslag root"
"The CMS block with identifier ""%identifier"" is not enabled.","Het CMS-blok met identifier ""%identifier"" is niet ingeschakeld."
"Home","Home"
"Go to Home Page","Ga naar homepagina"
"CMS","CMS"
"You deleted the block.","Het blok is verwijderd."
"We can't find a block to delete.","Blok om te verwijderen niet gevonden."
"This block no longer exists.","Dit blok bestaat niet langer meer"
"Edit Block","Blok bewerken"
"New Block","Nieuw blok"
"Blocks","Blokken"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"You saved the block.","Het blok is opgeslagen."
"Something went wrong while saving the block.","Er ging iets mis bij het opslaan van het blok."
"You duplicated the block.","Je hebt het blok gedupliceerd."
"The page has been deleted.","De pagina is verwijderd"
"We can't find a page to delete.","Pagina om te verwijderen niet gevonden."
"This page no longer exists.","Deze pagina bestaat niet langer meer"
"Edit Page","Pagina Bewerken"
"New Page","Nieuwe pagina"
"Pages","Pagina's"
"Something went wrong while saving the page.","Er ging iets mis bij het opslaan van de pagina."
"A total of %1 record(s) have been disabled.","Een totaal van %1 document(en) zijn uitgeschakeld."
"A total of %1 record(s) have been enabled.","In totaal van %1 records(s) zijn ingeschakeld."
"Page Title","Paginatitel"
