"Static Blocks","Statiskie bloki"
"Add New Block","Pievienot jaunu bloku"
"Back","Atpakaļ"
"Delete Block","Dzēst bloku"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","ID"
"Title","Nosaukums"
"Identifier","Identifikators"
"Status","Statuss"
"Disabled","Izslēgts"
"Enabled","Ieslēgts"
"Manage Pages","Pārvaldīt lapas"
"Add New Page","Pievienot jaunu lapu"
"Delete Page","Dzēst lapu"
"Save Page","Saglabāt lapu"
"URL Key","URL atslēga"
"Layout","Izkārtojums"
"Store View","Veikala skats"
"Created","Izveidots"
"Modified","Modified"
"Action","Darbība"
"Preview","Priekšskatītījums"
"Media Storage","Mediju uzglabāšana"
"Create Folder...","Create Folder..."
"Delete Folder","Dzēst direktoriju"
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","Jauns direktorijas nosaukums:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Images (%1)"
"Storage Root","Glabāšanas pamatdirektorija"
"Home","Sākums"
"Go to Home Page","Iet uz sākumlapu"
"CMS","CMS"
"You deleted the block.","You deleted the block."
"We can't find a block to delete.","Nevar atrast bloku lai to izdzēstu."
"This block no longer exists.","Šis bloks vairs neeksistē."
"Edit Block","Labot bloku"
"New Block","Jauns bloks"
"Blocks","Blocks"
"Please correct the data sent.","Izlabojiet nosūtītos datus."
"A total of %1 record(s) have been deleted.","Pavisam izdzēsti %1 ieraksti."
"You saved the block.","You saved the block."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"The page has been deleted.","Lapa tika nodzēsta."
"We can't find a page to delete.","Nevar atrast lapu lai to izdzēstu."
"This page no longer exists.","Šī lapa vairs neeksistē."
"Edit Page","Labot lapu"
"New Page","Jauna lapa"
"Pages","Lapas"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","Lapas nosaukums"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Ieslēgts pēc noklusējuma"
"Disabled by Default","Izslēgts pēc noklusējuma"
"Disabled Completely","Pilnībā izslēgts"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","Bloka identifikators ar tādām pašām opcijām šajā veikalā jau eksistē."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","Mēs pašlaik nevaram augšuplādēt šo failu."
"We can't delete root directory %1 right now.","Mēs nevaram izdzēst galveno katalogu %1 pašlaik."
"Privacy and Cookie Policy","Privacy and Cookie Policy"
"Error message","Error message"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Could not create a directory."
"Edit","Labot"
"Delete","Dzēst"
"Delete %1","Dzēst %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Visi veikala skati"
"View","Skatīt"
"px.","px."
"No files found","Faili nav atrasti"
"Browse Files...","Browse Files..."
"Collapse All","Atvērt visu"
"Expand All","Izvērst visu"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Media Gallery"
"Content Management","Satura pārvaldība"
"CMS Home Page","CMS mājas lapa"
"CMS No Route Page","CMS lapa bez pārvirzīšanas"
"CMS No Cookies Page","CMS lapa bez sīkdatnēm"
"Show Breadcrumbs for CMS Pages","Rādīt ceļu CMS lapām"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Pārvirzīt uz CMS lapu, ja sīkdatnes ir izslēgtas"
"Show Notice if JavaScript is Disabled","Rādīt paziņojumu ja JavaScript ir izslēgts"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"WYSIWYG Options","WYSIWYG iestatījumi"
"Enable WYSIWYG Editor","Ieslēgt WYSIWYG redaktoru"
"CMS Page Link","CMS lapas saite"
"Link to a CMS Page","Saite uz CMS lapu"
"CMS Page","CMS lapa"
"Select Page...","Izvēlēties lapu..."
"Anchor Custom Text","Enkura teksts"
"If empty, the Page Title will be used","Ja tukšs, tad tiks izmantots lapas nosaukums"
"Anchor Custom Title","Enkura nosaukums"
"Template","Šablons"
"CMS Page Link Block Template","CMS lapas saites bloka šablons"
"CMS Page Link Inline Template","CMS lapas saites iekļautais šablons"
"CMS Static Block","CMS statisks bloks"
"Contents of a Static Block","Statiskā bloka saturs"
"Block","Bloks"
"Select Block...","Izvēlēties bloku..."
"CMS Static Block Default Template","CMS statiskā bloka noklusētais šablons"
"General Information","Vispārīga informācija"
"Enable Block","Enable Block"
"Block Title","Bloka nosaukums"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Dzēst produktus"
"Page Information","Lapas informācija"
"Enable Page","Enable Page"
"Content","Saturs"
"Content Heading","Satura galvene"
"Search Engine Optimization","Meklēšana dzinēja optimizācija"
"Meta Title","Meta virsraksts"
"Meta Keywords","Meta atslēgas vārdi"
"Meta Description","Meta apraksts"
"Page in Websites","Page in Websites"
"Design","Dizains"
"Layout Update XML","Atjaunot izkārtojuma XML"
"Custom Design Update","Custom Design Update"
"From","No"
"To","Kam"
"New Theme","Jauna tēma"
"-- Please Select --","-- Lūdzu, izvēlieties --"
"New Layout","New Layout"
"Disable","Izslēgt"
"Enable","Ieslēgt"
"Custom design from","Custom design from"
"Custom design to","Custom design to"
"Custom Theme","Pielāgota tēma"
"Custom Layout","Pielāgots izkārtojums"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
