"Static Blocks","Blocos estáticos"
"Add New Block","Adicionar novo bloco"
"Back","Voltar"
"Delete Block","Excluir Bloco"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Save","Salvar"
"Save & Duplicate","Salvar e Duplicar"
"Save & Close","Salvar e Fechar"
"ID","Id."
"Title","Título"
"Identifier","Identificador"
"Status","Situação"
"Disabled","Desabilitado"
"Enabled","Habilitado"
"Manage Pages","Gerenciar páginas"
"Add New Page","Adicionar Nova Página"
"Delete Page","Excluir Página"
"URL Key","Chave URL"
"Layout","Layout"
"Store View","Visão de Loja"
"Created","Criado"
"Modified","Modificado"
"Action","Ação"
"Preview","Pré-visualização"
"Media Storage","Armazenamento de Mídia"
"Cancel","Cancelar"
"Delete Folder","Apagar Pasta"
"Delete Selected","Excluir Selecionado"
"Create Folder","Criar Pasta"
"Add Selected","Adicionar Selecionado"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem certeza de que deseja excluir esta pasta?"
"Are you sure you want to delete this file?","Tem certeza de que deseja excluir este arquivo?"
"Images (%1)","Imagens (%1)"
"Storage Root","Matriz de Armazenamento"
"The CMS block with identifier ""%identifier"" is not enabled.","O bloco CMS com identificador ""%identifier"" não está habilitado."
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"CMS","CMS"
"You deleted the block.","Você excluiu o bloco."
"We can't find a block to delete.","Não é possível encontrar um bloco para excluir."
"This block no longer exists.","Este bloco não existe mais."
"Edit Block","Editar o Bloco"
"New Block","Novo Bloco"
"Blocks","Blocos"
"Please correct the data sent.","Por favor corrija os dados enviados."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"You saved the block.","Você salvou o bloco."
"Something went wrong while saving the block.","Algo de errado ocorreu ao gravar o bloco."
"You duplicated the block.","Você duplicou o bloco."
"The page has been deleted.","A página foi excluída."
"We can't find a page to delete.","Não é possível encontrar uma página para excluir."
"This page no longer exists.","Esta página não existe mais."
"Edit Page","Editar Página"
"New Page","Nova Página"
"Pages","Páginas"
"Something went wrong while saving the page.","Algo deu errado ao salvar a página."
"A total of %1 record(s) have been disabled.","Um total de %1 registro(s) foram desativados."
"A total of %1 record(s) have been enabled.","Um total de %1 registro(s) foi habilitados."
"Page Title","Título da Página"
"To apply changes you should fill in hidden required ""%1"" field","Para aplicar as alterações, que você deve preencher no campo obrigatório oculto ""%1"""
"You saved the page.","Você gravou a página."
"You duplicated the page.","Você duplicou a página."
"Wrong request.","Solicitação incorreta."
"Directory %1 is not under storage root path.","Diretório %1 não está no caminho raiz de armazenamento."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Não é possível criar %1 como subdiretório de %2, você pode ter alguma questão de permissão."
"Make sure that static block content does not reference the block itself.","Certifique-se de que o conteúdo do bloco estático não faz referência a ele mesmo."
"Content field contains restricted HTML elements. %1","O campo de conteúdo contém elementos HTML restritos. %1"
"The CMS block with the ""%1"" ID doesn't exist.","O bloco CMS com o ""%1"" ID não existe."
"Enabled by Default","Habilitado por padrão"
"Disabled by Default","Desativado por padrão"
"Disabled Completely","Desativado Completamente"
"The CMS page with the ""%1"" ID doesn't exist.","A página do CMS cujo ID é %1 não existe."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"Content HTML contains restricted elements. %1","Conteúdo HTML contém elementos restritos. %1"
"You are not allowed to change CMS pages design settings","Você não tem permissão para alterar as configurações de design de páginas CMS"
"Invalid Custom Layout Update selected","Atualização de Layout Personalizado Inválida selecionada"
"Page ""%id"" doesn't have custom layout assigned","Página ""%id"" não tem layout personalizado atribuído"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Não foi possível gravar a página: %1"
"Could not delete the page: %1","Não foi possível eliminar a página: %1"
"The value specified in the URL Key field would generate a URL that already exists.","O valor especificado no campo Chave de URL geraria uma URL que já existe."
"Required field ""%1"" is empty.","Campo obrigatório ""%1"" está vazio."
"Layout update is invalid","Atualização de layout é inválida"
"Custom layout update is invalid","Atualização de layout personalizada é inválida"
"A block identifier with the same properties already exists in the selected store.","Um identificador do bloco com as mesmas propriedades já existe na loja selecionada."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","A chave URL da página não pode usar letras maiúsculas ou caracteres não permitidos. Remova as letras e caracteres e tente novamente."
"The page URL key can't use only numbers. Add letters or words and try again.","A chave URL da página não pode usar apenas números. Adicione as letras ou palavras e tente novamente."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Por favor, renomeie a pasta usando apenas letras latinas, números, sublinhados e traços."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, tente outro nome de diretório."
"We cannot create a new directory.","Não foi possível criar um novo diretório."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Não é possível excluir o diretório %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","Validação do arquivo falhou."
"We can't upload the file right now.","Não é possível enviar o arquivo neste momento."
"We can't delete root directory %1 right now.","Não é possível excluir o diretório raiz %1 neste momento."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporariamente permitido para salvar valores HTML que contém elementos restritos. %1"
"Invalid HTML provided","HTML inválido fornecido"
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Mensagem de erro"
"LocalizedException","ExceçãoLocalizada"
"Error","Error"
"Could not create a directory.","Não foi possível criar o diretório."
"Oh no. That isn't right.","Ah não. Isso não está certo."
"Invalid format","Formato inválido"
"Invalid html","Html inválido"
"Edit","Editar"
"Delete","Excluir"
"Delete %1","Excluir %1"
"Are you sure you want to delete a %1 record?","Você tem certeza que deseja excluir o registro %1?"
"All Store Views","Todas as Visões de Loja"
"View","Visualizar"
"px.","px."
"No files found","Nenhum arquivo encontrado"
"Upload Images","Carregar Imagens"
"Collapse All","Recolher Tudo"
"Expand All","Expandir Tudo"
"Save Page","Gravar Página"
"Edit Page Design","Editar Design da Página"
"Media Gallery","Galeria de mídia"
"Content Management","Gerenciamento de conteúdo"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS homepage"
"CMS No Route Page","Página No Route CMS"
"CMS No Cookies Page","Página No Cookies CMS"
"Show Breadcrumbs for CMS Pages","Mostrar migalhas para páginas CMS"
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para Página CMS se as Cookies estiverem Desativadas"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
"Show Notice if Local Storage is Disabled","Mostrar aviso se o Armazenamento Local estiver desativado"
"Default Page Layout","Layout da Página Padrão"
"WYSIWYG Options","Opções do WYSIWYG"
"Enable WYSIWYG Editor","Habilitar o Editor WYSIWYG"
"WYSIWYG Editor","Editor WYSIWYG"
"CMS Page Link","Link da página CMS"
"Link to a CMS Page","Link para uma página CMS"
"CMS Page","Página CMS"
"Select Page...","Selecione a Página..."
"Anchor Custom Text","Texto Personalizado da Âncora"
"If empty, the Page Title will be used","Se estiver vazio, será usado o título da página"
"Anchor Custom Title","Título Personalizado da Âncora"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Static Block","Bloco estático do CMS"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
"Block","Bloquear"
"Select Block...","Selecione o Bloco..."
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"General Information","Informações gerais"
"Enable Block","Habilite o Bloco"
"Block Title","Título do Bloco"
"Are you sure you want to delete selected items?","Você tem certeza que deseja excluir os itens selecionados?"
"Delete items","Excluir itens"
"Page Information","Informação da Página"
"Enable Page","Ativar Página"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Search Engine Optimization","Otimização para Motores de Pesquisa (Seo)"
"Meta Title","Meta título"
"Meta Keywords","Meta Palavras-chave"
"Meta Description","Meta Descrição"
"Page in Websites","Página nos Sites"
"Design","Visual"
"Layout Update XML","Atualização do Layout XML"
"Custom Layout Update","Atualização de Layout Personalizado"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Atualização de Design personalizado"
"From","De"
"To","Até"
"New Theme","Novo tema"
"-- Please Select --","-- Selecione uma opção --"
"New Layout","Novo Layout"
"Disable","Desabilitado"
"Enable","Habilitado"
"Custom design from","Design personalizado de"
"Custom design to","Design personalizado para"
"Custom Theme","Tema Personalizado"
"Custom Layout","Layout Personalizado"
