"Static Blocks","Statikus blokk"
"Add New Block","Új blokk hozzáadása"
"Back","Vissza"
"Delete Block","Blokk törlése"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","Azonosító"
"Title","Cím"
"Identifier","Azonosító"
"Status","Állapot"
"Disabled","Tiltott"
"Enabled","Engedélyezve"
"Manage Pages","Oldalak kezelése"
"Add New Page","Új oldal hozzáadása"
"Delete Page","Oldal törlése"
"URL Key","URL-kulcs"
"Layout","Elrendezés"
"Store View","Bolt nézet"
"Created","Létrehozva"
"Modified","Módosítva"
"Action","Akció"
"Preview","Előnézet"
"Media Storage","Médiatár"
"Cancel","Cancel"
"Delete Folder","Mappa törlése"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","Új mappanév:"
"Are you sure you want to delete this folder?","Biztosan törölni akarod ezt a mappát?"
"Are you sure you want to delete this file?","Biztosan törölni akarod ezt a fájlt?"
"Images (%1)","Képek (%1)"
"Storage Root","Gyökér könyvtár"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","Kezdőlap"
"Go to Home Page","Ugrás a honlapra"
"CMS","CMS"
"You deleted the block.","Blokk törölve."
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","Ez a blokk már nem létezik."
"Edit Block","Blokk módosítása"
"New Block","Új blokk"
"Blocks","Blokkok"
"Please correct the data sent.","Kérjük, javítsa a továbbított adatokat."
"A total of %1 record(s) have been deleted.","Összesen %1 sor törölve."
"You saved the block.","Blokk elmentve."
"Something went wrong while saving the block.","Hiba történt a blokk mentése közben."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","Az oldal törölve."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","Ez az oldal már nem létezik."
"Edit Page","Oldal szerkesztése"
"New Page","Új Oldal"
"Pages","Oldalak"
"Something went wrong while saving the page.","Hiba történt az oldal mentése közben."
"A total of %1 record(s) have been disabled.","Összesen %1 sor letiltva."
"A total of %1 record(s) have been enabled.","Összesen %1 sor engedélyezve."
"Page Title","Oldalcím"
"To apply changes you should fill in hidden required ""%1"" field","A változtatások mentéséhez töltse ki a rejtett ""%1"" mezőt"
"You saved the page.","Az oldal elmentve."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","A(z) %1 könyvtár nem található a tárolási útvonal gyökér elérési út alatt."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Győződjön meg arról, hogy statikus blokk tartalom nem hivatkozik a blokkra magára."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Alapértelmezés szerint engedélyezve"
"Disabled by Default","Alapértelmezés szerint letiltva"
"Disabled Completely","Teljesen le van tiltva"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Ez az azonosító a ""CMS No Route Page"" oldalnak van a konfigurációban fenntartva."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Ez az azonosító a ""CMS Home Page"" oldalnak van a konfigurációban fenntartva."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Ez az azonosító a ""CMS No Cookies Page"" oldalnak van a konfigurációban fenntartva."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Az oldal mentése sikertelen: %1"
"Could not delete the page: %1","Az oldal törlése sikertelen: %1"
