"Static Blocks","בלוקים סטטים"
"Add New Block","הוספת בלוק חדש"
"Back","חזור"
"Delete Block","מחק בלוק"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"ID","מזהה"
"Title","כותרת"
"Identifier","מזהה"
"Status","סטטוס"
"Disabled","לא פעיל"
"Enabled","פעיל"
"Manage Pages","ניהול עמודים"
"Add New Page","הוספת דף חדש"
"Delete Page","מחיקת דף"
"URL Key","מזהה כתובת"
"Layout","פריסה"
"Store View","תצוגת חנות"
"Created","נוצר"
"Modified","עודכן"
"Action","פעולה"
"Preview","תצוגה מקדימה"
"Media Storage","אחסון מדיה"
"Cancel","Cancel"
"Delete Folder","מחק תיקייה"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"New Folder Name:","שם התיקיה החדשה:"
"Are you sure you want to delete this folder?","האם אתה בטוח שברצונך למחוק תיקיה זו?"
"Are you sure you want to delete this file?","האם אתה בטוח שברצונך למחוק קובץ זה?"
"Images (%1)","תמונות (%1)"
"Storage Root","שורש אחסון"
"The CMS block with identifier ""%identifier"" is not enabled.","The CMS block with identifier ""%identifier"" is not enabled."
"Home","דף הבית"
"Go to Home Page","מעבר לעמוד הבית"
"CMS","CMS"
"You deleted the block.","מחקת את הבלוק."
"We can't find a block to delete.","איננו יכולים למצוא בלוק כדי לבצע מחיקה."
"This block no longer exists.","הבלוק הזה לא קיים עוד."
"Edit Block","עריכת בלוק"
"New Block","בלוק חדש"
"Blocks","בלוקים"
"Please correct the data sent.","נא תקן את הנתונים שנשלחו."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"You saved the block.","שמרת את הבלוק."
"Something went wrong while saving the block.","משהו השתבש תוך שמירת הבלוק."
"You duplicated the block.","You duplicated the block."
"The page has been deleted.","העמוד נמחק."
"We can't find a page to delete.","איננו יכולים למצוא עמוד כדי למחיקה."
"This page no longer exists.","דף זה אינו קיים."
"Edit Page","עריכת דף"
"New Page","דף חדש"
"Pages","דפים"
"Something went wrong while saving the page.","משהו השתבש תוך שמירת פרטי העמוד."
"A total of %1 record(s) have been disabled.","סך של רשומות %1 בוטלו."
"A total of %1 record(s) have been enabled.","סך של %1 רשומות הופעלו."
"Page Title","כותרת עמוד"
"To apply changes you should fill in hidden required ""%1"" field","כדי להחיל שינויים אתה נדרש למלא בשדה המוסתר ""%1"""
"You saved the page.","שמרת את העמוד."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","מדריך %1 אינה תחת נתיב בסיס האחסון."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","ודא כי תוכן בלוק המידע הסטטי אינו מפנה את הבלוק עצמו."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","מאופשר כברירת מחדל"
"Disabled by Default","לא זמינים כברירת מחדל"
"Disabled Completely","בעלי נטרול לחלוטין"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","מזהה זה שמור עבור ""מערכת ניהול תוכן לא דרך עמוד"" בהגדרות."
"This identifier is reserved for ""CMS Home Page"" in configuration.","מזהה זה שמור עבור ""CMS עמוד הבית"" בהגדרות."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","מזהה זה שמור עבור ""CMS עמוד הבית"" בהגדרות."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","לא היתה אפשרות לשמור את הדף: %1"
"Could not delete the page: %1","לא היתה אפשרות למחוק את הדף: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","מזהה בלוק עם אותם מאפיינים כבר קיים במאגר שנבחרו."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","מצאנו ספריה בשם זהה. אנא נסה שם תיקיה אחרת."
"We cannot create a new directory.","אנחנו לא יכולים ליצור ספריה חדשה."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","לא ניתן למחוק את הספריה %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","איננו יכולים להעלות את הקובץ נכון לעכשיו."
"We can't delete root directory %1 right now.","איננו לא ניתן למחוק את תיקיית האב %1 עכשיו."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","מדיניות שמירה על הפרטיות"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","שגיאת שפה"
"Error","Error"
"Could not create a directory.","לא ניתן ליצור תיקייה."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","ערוך"
"Delete","מחק"
"Delete %1","מחק %1"
"Are you sure you want to delete a %1 record?","האם אתה בטוח שאתה רוצה למחוק רשומה %1?"
"All Store Views","כל תצוגות החנויות"
"View","הצגה"
"px.","פיקסלים."
"No files found","לא נמצאו קבצים"
"Upload Images","Upload Images"
"Collapse All","כווץ הכל"
"Expand All","הרחב הכל"
"Save Page","שמירת דף"
"Edit Page Design","Edit Page Design"
"Media Gallery","גלריית מדיה"
