"Static Blocks","Статичні блоки"
"Add New Block","Додати новий блок"
"Back","Назад"
"Delete Block","Видалити блок"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Reset","Очистити"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Save Block","Зберегти блок"
"ID","Ідентифікатор"
"Title","Назва"
"Identifier","Ідентифікатор"
"Status","Статус"
"Disabled","Вимкнено"
"Enabled","Ввімкнено"
"Manage Pages","Управління сторінками"
"Add New Page","Додати нову сторінку"
"Delete Page","Видалити сторінку"
"Save Page","Зберегти сторінку"
"URL Key","Ключ URL-адреси"
"Layout","Розмітка"
"Store View","Вид Магазину"
"Created","Created"
"Modified","Modified"
"Action","Дія"
"Preview","Перегляд"
"Media Storage","Media Storage"
"Create Folder...","Create Folder..."
"Delete Folder","Видалити папку"
"Delete File","Видалити файл"
"Insert File","Insert File"
"New Folder Name:","New Folder Name:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Зображення (%1)"
"Storage Root","Storage Root"
"Home","Головна"
"Go to Home Page","Перейти на домашню сторінку"
"CMS","CMS"
"You deleted the block.","Ви видалили блок."
"We can't find a block to delete.","Ми не можемо знайти блок для видалення."
"This block no longer exists.","Цього блоку більше не існує."
"Edit Block","Редагувати блок"
"New Block","Новий блок"
"Blocks","Блоки"
"Please correct the data sent.","Будь ласка, виправте відправлені дані."
"A total of %1 record(s) have been deleted.","Загалом %1 запис(и/ів) було видалено."
"You saved the block.","Ви зберегли блок."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","Ми не можемо знайти сторінку для видалення."
"This page no longer exists.","This page no longer exists."
"Edit Page","Редагувати сторінку"
"New Page","Нова сторінка"
"Pages","Сторінки"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","Заголовок сторінки"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Disabled Completely","Disabled Completely"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","Ми не можемо завантажити файл прямо зараз."
"We can't delete root directory %1 right now.","Ми не можемо видалити кореневий каталог %1 прямо зараз."
"Privacy and Cookie Policy","Privacy and Cookie Policy"
"Error message","Повідомлення про помилку"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Could not create a directory."
"Edit","Редагувати"
"Delete","Видалити"
"Delete %1","Видалити %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Усі Види Магазинів"
"View","View"
"px.","пікс."
"No files found","No files found"
"Browse Files...","Перегляд Файлів..."
"Collapse All","Згорнути все"
"Expand All","Розгорнути все"
"We could not detect a size.","Ми не змогли виявити розмір."
"Media Gallery","Media Gallery"
"Content Management","Content Management"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Сторінка"
"Select Page...","Select Page..."
"Anchor Custom Text","Користувацький текст якоря"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Anchor Custom Title","Користувацький заголовок якоря"
"Template","Шаблон"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS Static Block"
"Contents of a Static Block","Contents of a Static Block"
"Block","Block"
"Select Block...","Select Block..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Загальна інформація"
"Enable Block","Enable Block"
"Block Title","Block Title"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Видалити елементи"
"Page Information","Інформація про сторінку"
"Enable Page","Увімкнути сторінку"
"Content","Вміст"
"Content Heading","Content Heading"
"Search Engine Optimization","Пошукова оптимізація (SEO)"
"Meta Title","Meta заголовок"
"Meta Keywords","Meta ключові слова"
"Meta Description","Meta опис"
"Page in Websites","Page in Websites"
"Design","Дизайн"
"Layout Update XML","XML оновлення розмітки"
"Custom Design Update","Custom Design Update"
"From","Від"
"To","До"
"New Theme","New Theme"
"-- Please Select --","-- Виберіть --"
"New Layout","Нова розмітка"
"Disable","Вимкнути"
"Enable","Увімкнути"
"Custom design from","Користувальницький дизайн з"
"Custom design to","Користувальницький дизайн до"
"Custom Theme","Custom Theme"
"Custom Layout","Користувацька розмітка"
"Edit Block '%1'","Редагувати блок '%1'"
"Block Information","Інформація про блок"
"Edit Page '%1'","Редагувати сторінку '%1'"
"Page Layout","Розмітка сторінки"
"Custom Design","Користувацький Дизайн"
"Custom Design From","Користувальницький дизайн від"
"Custom Design To","Користувальницький дизайн до"
"Custom Layout Update XML","Користувальницьке оновлення розмітки XML"
"Relative to Web Site Base URL","Відносно базової URL-адреси веб-сайту"
"Page Status","Статус сторінки"
"Meta Data","Мета-дані"
"Keywords","Ключові слова"
"Description","Опис"
"You saved this page.","Ви зберегли цю сторінку."
"Could not create directory.","Не вдалося створити каталог."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Ви дійсно бажаєте видалити запис ${ $.$data.title }?"
"Details","Подробиці"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Пошукова оптимізація (SEO)"
"Save","Зберегти"
"Save & Duplicate","Зберегти & Дублікат"
"Save & Close","Зберегти та закрити"
"Cancel","Скасувати"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Додати вибране"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG Редактор"
