"Static Blocks","정적 블럭"
"Add New Block","신규 블럭 추가"
"Back","이전"
"Delete Block","블럭 삭제"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Reset","Reset"
"Save and Continue Edit","Save and Continue Edit"
"Save Block","Save Block"
"ID","ID"
"Title","타이틀"
"Identifier","식별자 "
"Status","상태"
"Disabled","비활성화"
"Enabled","활성화"
"Manage Pages","페이지 관리"
"Add New Page","신규 페이지 추가 "
"Delete Page","페이지 삭제 "
"Save Page","페이지 저장 "
"URL Key","URL 키 "
"Layout","레이아웃"
"Store View","스토어뷰"
"Created","생성됨 "
"Modified","수정됨 "
"Action","동작"
"Preview","미리보기 "
"Media Storage","Media Storage"
"Create Folder...","Create Folder..."
"Delete Folder","폴더 삭제 "
"Delete File","Delete File"
"Insert File","Insert File"
"New Folder Name:","신규 폴더 명: "
"Are you sure you want to delete this folder?","정말로 이 항목을 삭제하시겠습니까?"
"Are you sure you want to delete this file?","정말로 이 항목을 삭제하시겠습니까?"
"Images (%1)","이미지 (%1) "
"Storage Root","Storage Root"
"Home","홈 "
"Go to Home Page","홈페이지 가기 "
"CMS","CMS"
"You deleted the block.","블록을 삭제했습니다. "
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","블록이 존재하지 않습니다. "
"Edit Block","블럭 수정 "
"New Block","신규 블럭 "
"Blocks","블럭 "
"Please correct the data sent.","전송될 데이터를 수정해주십시오."
"A total of %1 record(s) have been deleted.","총 %1개의 레코드가 삭제되었습니다."
"You saved the block.","블록을 저장했습니다. "
"Something went wrong while saving the block.","블럭 저장중 문제가 발생했습니다."
"The page has been deleted.","페이지가 삭제되었습니다. "
"We can't find a page to delete.","삭제할 페이지를 찾을 수 없습니다."
"This page no longer exists.","This page no longer exists."
"Edit Page","페이지 수정 "
"New Page","신규 페이지 "
"Pages","페이지 "
"Something went wrong while saving the page.","페이지 저장중 문제가 발생했습니다."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"Page Title","페이지 제목 "
"To apply changes you should fill in hidden required ""%1"" field","변경사항을 적용하기 위해서는 숨겨진 필수 항목 ""%1""이 필요합니다."
"You saved the page.","페이지를 저장했습니다."
"Directory %1 is not under storage root path.","Directory %1 is not under storage root path."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","정적 블럭 컨텐츠는 자기 자신을 참조할 수 없습니다."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","기본으로 활성화 "
"Disabled by Default","기본으로 미사용 "
"Disabled Completely","완전히 미사용 "
"This identifier is reserved for ""CMS No Route Page"" in configuration.","해당 식별자는 ""CMS No Route Page""에 예약되어 있습니다."
"This identifier is reserved for ""CMS Home Page"" in configuration.","해당 식별자는 ""CMS 홈페이지"" 에 예약되어 있습니다."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","해당 식별자는 ""CMS No Cookies Page""에 예약되어 있습니다."
"Could not save the page: %1","페이지를 저장할 수 없습니다: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","페이지를 삭제할 수 없습니다: %1"
"A block identifier with the same properties already exists in the selected store.","선택한 스토어에 동일한 블럭 식별자가 이미 존재합니다."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","동일한 이름의 디렉토리가 있습니다. 다른 이름을 사용해 주십시오."
"We cannot create a new directory.","신규 디렉토리를 만들 수 없습니다. "
"We cannot delete directory %1.","디렉토리 %1을(를) 삭제할 수 없습니다. "
"We can't upload the file right now.","We can't upload the file right now."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Privacy and Cookie Policy","개인 정보 및 쿠키 정책"
"Error message","Error message"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","디렉토리를 만들 수 없습니다. "
"Edit","수정"
"Delete","삭제"
"Delete %1","%1 삭제"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","모든 스토어뷰"
"View","보기"
"px.","px."
"No files found","파일을 찾을 수 없습니다. "
"Browse Files...","Browse Files..."
"Collapse All","모두 접기"
"Expand All","모두 확장 "
"We could not detect a size.","We could not detect a size."
"Media Gallery","미디어 겔러리"
"Content Management","컨텐츠 관리 "
"CMS Home Page","CMS 홈페이지 "
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","CMS 페이지를 위한 Breadcrumbs 보기 "
"Browser Capabilities Detection","브라우저 기능 감지"
"Redirect to CMS-page if Cookies are Disabled","쿠키 비활성화시 이동할 CMS 페이지"
"Show Notice if JavaScript is Disabled","자바스크립트 비활성시 공지보기 "
"Show Notice if Local Storage is Disabled","로컬 저장소 비활성시 공지보기"
"WYSIWYG Options","WYSIWYG 옵션 "
"Enable WYSIWYG Editor","WYSIWYG 에디터 활성화 "
"CMS Page Link","CMS 페이지 링크 "
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS 페이지 "
"Select Page...","페이지 선택... "
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Page Title will be used","비어있으면 페이지 타이틀이 사용됩니다."
"Anchor Custom Title","Anchor Custom Title"
"Template","템플릿"
"CMS Page Link Block Template","CMS 페이지 링크 블럭 템플릿 "
"CMS Page Link Inline Template","CMS 페이지 링크 인라인 템플릿"
"CMS Static Block","CMS 고정 블럭 "
"Contents of a Static Block","고정 블럭 컨텐츠 "
"Block","Block"
"Select Block...","블럭 선택... "
"CMS Static Block Default Template","CMS 고정 블럭 기본 템플릿 "
"General Information","일반 정보"
"Enable Block","블럭 활성화 "
"Block Title","블럭 제목 "
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","항목 삭제"
"Page Information","페이지 정보 "
"Enable Page","페이지 활성화 "
"Content","콘텐츠"
"Content Heading","컨텐츠 해딩"
"Search Engine Optimization","검색 엔진 최적화"
"Meta Title","메타 타이틀"
"Meta Keywords","메타 키워드"
"Meta Description","메타 설명"
"Page in Websites","웹사이트의 페이지"
"Design","디자인"
"Layout Update XML","레이아웃 업데이트 XML"
"Custom Design Update","커스텀 디자인 업데이트"
"From","보낸 사람"
"To","받는 사람"
"New Theme","신규 테마"
"-- Please Select --","--선택하세요--"
"New Layout","신규 레이아웃"
"Disable","비활성"
"Enable","활성"
"Custom design from","커스텀 디자인 시작"
"Custom design to","커스텀 디자인 종료"
"Custom Theme","커스텀 테마"
"Custom Layout","커스텀 레이아웃"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG Editor"
