"Delete Customer","Kunden löschen"
"Back","Zurück"
"Delete Company","Firma löschen"
"Reset","Zurücksetzen"
"Save","Speichern"
"Save & Close","Speichern & Schließen"
"Companies","Firmen"
"Add New Company","Neue Firma hinzufügen"
"(me)","(ich)"
"Company Name:","Firmenname:"
"Company Legal Name:","Rechtlicher Name des Unternehmens:"
"Company Email:","Firmen-E-Mail:"
"VAT/TAX ID:","USt.-ID:"
"Re-seller ID:","Reseller-ID:"
"Street Address:","Straße:"
"City:","Stadt:"
"Country:","Land:"
"State/Province:","Bundesland:"
"ZIP/Postal Code:","Postleitzahl:"
"Phone Number:","Telefonnummer:"
"Job Title:","Job-Titel:"
"Email Address:","E-Mail-Adresse:"
"Prefix:","Präfix:"
"First Name:","Vorname:"
"Middle Name/Initial:","Zweiter Vorname:"
"Last Name:","Nachname:"
"Suffix:","Suffix:"
"Gender:","Geschlecht:"
"Duplicated","Dupliziert"
"Company Structure","Firmenstruktur"
"Page not found.","Seite nicht gefunden."
"Something went wrong.","Es ist ein Fehler aufgetreten."
"New Company","Neue Firma"
"Thank you! We're reviewing your request and will contact you soon","Danke! Wir prüfen Ihre Anfrage und werden Sie in Kürze kontaktierern"
"An error occurred on the server. Your changes have not been saved.","Auf dem Server ist ein Fehler aufgetreten. Ihre Änderungen wurden nicht gespeichert."
"Incorrect CAPTCHA","Falsches CAPTCHA"
"Create New Company","Neue Firma erstellen"
"A total of %1 record(s) were updated.","Insgesamt wurden %1 Einträge aktualisiert."
"Something went wrong. Please try again later.","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Invalid value of ""%value"" provided for the email field.","Ungültiger Wert für ""%value"" im E-Mail-Feld."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","Sie haben die Firma %companyName gelöscht."
"The company no longer exists.","Diese Firma existiert nicht mehr."
"The requested company is not found","Die angeforderte Firma wurde nicht gefunden"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"can not be saved","kann nicht gespeichert werden"
"A total of %1 record(s) were deleted.","Insgesamt wurden %1 Eintragung(en) gelöscht."
"Could not save company","Die Firma konnte nicht gespeichert werden"
"You have saved company %companyName.","Sie haben die Firma %companyName gespeichert."
"You have created company %companyName.","Sie haben die Firma %companyName erstellt."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Ein Benutzer mit dieser E-Mail-Adresse existiert bereits im System. Wenn Sie fortfahren, wird dieser Benutzer mit Ihrem Unternehmen verknüpft."
"A user with this email address is already a member of your company.","Ein Benutzer mit dieser E-Mail-Adresse ist bereits ein Mitglied Ihres Unternehmens."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Ein Benutzer mit dieser E-Mail-Adresse existiert bereits im System. Bitte geben Sie eine andere E-Mail-Adresse an, um diesen Benutzer zu erstellen."
"You are not allowed to do this.","Sie haben keine Berechtigung, um dies zu tun."
"Cannot create the customer.","Kunde kann nicht erstellt werden."
"The customer was successfully created.","Der Kunde wurde erfolgreich erstellt."
"You cannot delete yourself.","Sie können sich nicht selbst löschen."
"Cannot delete this user.","Dieser Benutzer kann nicht gelöscht werden."
"The customer was successfully deleted.","Der Kunde wurde erfolgreich gelöscht."
"The customer was successfully updated.","Der Kunde wurde erfolgreich aktualisiert."
"Company Profile","Unternehmensprofil"
"The changes you made on the company profile have been successfully saved.","Die Änderungen im Unternehmensprofil wurden erfolgreich gespeichert."
"You must fill in all required fields before you can continue.","Sie müssen alle erforderlichen Felder ausfüllen, um fortfahren zu können."
"Bad Request","Ungültige Anfrage"
"You have deleted role %companyRoleName.","Sie haben die Rolle %companyRoleName gelöscht."
"Add New Role","Neue Rolle hinzufügen"
"Edit Role","Rolle bearbeiten"
"Roles and Permissions","Rollen und Berechtigungen"
"The tree retrieved successfully.","Der Baum wurde erfolgreich abgerufen."
"The item was successfully moved.","Die Position wurde erfolgreich verschoben."
"The team was successfully deleted.","Das Team wurde erfolgreich gelöscht."
"The team was successfully updated.","Das Team wurde erfolgreich aktualisiert."
"The team was successfully created.","Das Team wurde erfolgreich erstellt."
"Company Users","Unternehmensbenutzer"
"A customer with the same email already assigned to company.","Ein Kunde mit der gleichen E-Mail-Adresse ist dieser Firma bereits zugeordnet."
"Active","Aktiv"
"Pending Approval","Genehmigung ausstehend"
"Rejected","Abgelehnt"
"Blocked","Gesperrt"
"The company admin cannot be moved to a different location in the company structure.","Der Administrator des Unternehmens kann nicht an einen anderen Ort in der Unternehmensstruktur verschoben werden."
"A user or a team cannot be moved under itself.","Ein Benutzer oder Team kann nicht unter sich selbst verschoben werden."
"A user or a team cannot be moved under its child user or team.","Ein Benutzer oder Team kann nicht unter seine untergeordneten Benutzer oder Team verschoben werden."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","Die angegebene übergeordnete ID gehört zu einem anderen Unternehmen. Die angegebene Einheit (Team oder Benutzer) und die neue übergeordnete Einheit müssen zum selben Unternehmen gehören."
"Unable to move customer structure.","Kundenstruktur konnte nicht verschoben werden."
"Cannot delete company with id %1","Unternehmen mit der ID %1 kann nicht gelöscht werden"
"No company admin email is specified in request.","In der Anfrage ist keine Unternehmens-E-Mail-Adresse angegeben."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","No such entity with id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","You cannot update the requested attribute. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Ungültiger Attributwert. Kann Unternehmen für einen Firmen-Admin nicht ändern."
"Company admin","Firmen-Admin"
"Company user","Unternehmensbenutzer"
"Individual user","Individual user"
"Inactive","Inaktiv"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Es ist nicht möglich, die Ressource auf ""erlauben"" zu setzen, da ihre übergeordnete Ressource(n) auf ""ablehnen"" gesetzt ist."
"Invalid login or password.","Ungültiger Benutzername oder Passwort."
"This account is locked.","Das Konto ist gesperrt."
"Your account is not yet approved. If you have questions, please contact the seller.","Ihr Konto ist noch nicht freigeschaltet. Wenn Sie Fragen haben, kontaktieren Sie bitte den Verkäufer."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","Ungültiger Wert ""%value"" für Feld %fieldName."
