"Delete Customer","පාරිභෝගිකයා මකන්න"
"Back","ආපසු"
"Delete Company","සමාගම මකන්න"
"Reset","යළි පිහිටුවන්න"
"Save","සුරකින්න"
"Save & Close","සුරකින්න සහ වසන්න"
"Companies","සමාගම්"
"Add New Company","නව සමාගම එකතු කරන්න"
"(me)","(මට)"
"Company Name:","සමාගම් නාමය:"
"Company Legal Name:","සමාගමේ නෛතික නම:"
"Company Email:","සමාගම් විද්‍යුත් තැපෑල:"
"VAT/TAX ID:","වැට්/බදු ID:"
"Re-seller ID:","නැවත විකුණුම් ID:"
"Street Address:","වීථි ලිපිනය:"
"City:","නගරය:"
"Country:","රට:"
"State/Province:","ප්රාන්තය/පළාත්:"
"ZIP/Postal Code:","සිප් / තැපැල් කේතය:"
"Phone Number:","දුරකථන අංකය:"
"Job Title:","රැකියා තනතුර:"
"Email Address:","විද්යුත් තැපැල් ලිපිනය:"
"Prefix:","උපසර්ගය:"
"First Name:","මුල් නම:"
"Middle Name/Initial:","මැද නම/මුල:"
"Last Name:","අවසන් නම:"
"Suffix:","උපසර්ගය:"
"Gender:","ස්ත්රී පුරුෂ භාවය:"
"Duplicated","අනුපිටපත් කර ඇත"
"Company Structure","සමාගම් ව්යුහය"
"Page not found.","පිටුව හමු නොවීය."
"Something went wrong.","මොකක්හරි වැරැද්දක් වෙලා."
"New Company","නව සමාගම"
"Thank you! We're reviewing your request and will contact you soon","ඔබට ස්තුතියි! අපි ඔබේ ඉල්ලීම සමාලෝචනය කරමින් සිටින අතර ඉක්මනින් ඔබ හා සම්බන්ධ වන්නෙමු"
"An error occurred on the server. Your changes have not been saved.","සේවාදායකයේ දෝෂයක් ඇති විය. ඔබගේ වෙනස්කම් සුරැකී නැත."
"Incorrect CAPTCHA","වැරදි CAPTCHA"
"Create New Company","නව සමාගමක් සාදන්න"
"A total of %1 record(s) were updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කරන ලදී."
"Something went wrong. Please try again later.","මොකක්හරි වැරැද්දක් වෙලා. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Invalid value of ""%value"" provided for the email field.","විද්‍යුත් තැපැල් ක්ෂේත්‍රය සඳහා සපයා ඇති ""%අගය"" හි වලංගු නොවන අගය."
"Invalid value ""%value"" given for the website ID field.","වෙබ් අඩවි ID ක්ෂේත්‍රය සඳහා ලබා දී ඇති වලංගු නොවන අගය ""% අගය""."
"You have deleted company %companyName.","ඔබ සමාගම %companyName මකා ඇත."
"The company no longer exists.","සමාගම තවදුරටත් නොපවතී."
"The requested company is not found","ඉල්ලූ සමාගම හමු නොවේ"
"Please correct the data sent.","කරුණාකර යවන ලද දත්ත නිවැරදි කරන්න."
"can not be saved","සුරැකිය නොහැක"
"A total of %1 record(s) were deleted.","මුළු වාර්තා(ය) %1 ක් මකා ඇත."
"Could not save company","සමාගම සුරැකීමට නොහැකි විය"
"You have saved company %companyName.","ඔබ සමාගම %companyName සුරැකී ඇත."
"You have created company %companyName.","ඔබ සමාගම %companyName නිර්මාණය කර ඇත."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","මෙම විද්‍යුත් තැපැල් ලිපිනය සහිත පරිශීලකයෙකු දැනටමත් පද්ධතිය තුළ සිටී. ඔබ ඉදිරියට ගියහොත්, පරිශීලකයා ඔබේ සමාගමට සම්බන්ධ වනු ඇත."
"A user with this email address is already a member of your company.","මෙම ඊමේල් ලිපිනය සහිත පරිශීලකයෙක් දැනටමත් ඔබේ සමාගමේ සාමාජිකයෙකි."
"A user with this email address already exists in the system. Enter a different email address to create this user.","මෙම විද්‍යුත් තැපැල් ලිපිනය සහිත පරිශීලකයෙකු දැනටමත් පද්ධතිය තුළ සිටී. මෙම පරිශීලකයා සෑදීමට වෙනත් ඊමේල් ලිපිනයක් ඇතුළු කරන්න."
"You are not allowed to do this.","ඔබට මෙය කිරීමට අවසර නැත."
"Cannot create the customer.","පාරිභෝගිකයා නිර්මාණය කළ නොහැක."
"The customer was successfully created.","පාරිභෝගිකයා සාර්ථකව නිර්මාණය කර ඇත."
"You cannot delete yourself.","ඔබට ඔබම මකා දැමිය නොහැක."
"Cannot delete this user.","මෙම පරිශීලකයා මකා දැමිය නොහැක."
