"Delete Customer","Remover cliente"
"Back","Voltar"
"Delete Company","Excluir Empresa"
"Reset","Repor"
"Save","Gravar"
"Save & Close","Guardar & Fechar"
"Companies","Empresas"
"Add New Company","Adicionar Nova Empresa"
"(me)","(eu)"
"Company Name:","Nome da empresa:"
"Company Legal Name:","Razão Social:"
"Company Email:","Emails da Empresa"
"VAT/TAX ID:","NIF/VAT:"
"Re-seller ID:","ID da Revenda:"
"Street Address:","Morada:"
"City:","Localidade"
"Country:","País:"
"State/Province:","Concelho/Distrito:"
"ZIP/Postal Code:","Código Postal:"
"Phone Number:","Número de Telefone:"
"Job Title:","Cargo"
"Email Address:","Endereço de e-mail:"
"Prefix:","Prefixo:"
"First Name:","Nome (primeiro):"
"Middle Name/Initial:","Nome do Meio/Inicial:"
"Last Name:","Sobrenome"
"Suffix:","Sufixo"
"Gender:","Sexo:"
"Duplicated","Duplicar"
"Company Structure","Estrutura da empresa"
"Page not found.","Página não encontrada."
"Something went wrong.","Algo correu mal."
"New Company","Nova Empresa"
"Thank you! We're reviewing your request and will contact you soon","Obrigado! Estamos a verificar o seu pedido e logo entraremos em contato"
"An error occurred on the server. Your changes have not been saved.","Ocorreu um erro no servidor. As suas alterações não foram salvas."
"Incorrect CAPTCHA","CAPTCHA incorreto"
"Create New Company","Criar Nova Empresa"
"A total of %1 record(s) were updated.","Um total de %1 registo(s) foram atualizados."
"Something went wrong. Please try again later.","Ocorreu um erro. Por favor, tente novamente."
"Invalid value of ""%value"" provided for the email field.","Valor inválido de ""%value"" fornecido para o campo ieldName."
"Invalid value ""%value"" given for the website ID field.","O valor ""%value"" informado para o ID do campo site é inválido."
"You have deleted company %companyName.","Você removeu empresa %companyName."
"The company no longer exists.","A empresa não existe mais."
"The requested company is not found","A empresa solicitada não foi encontrada"
"Please correct the data sent.","Por favor, corrija os dados enviados."
"can not be saved","não pode ser salvo"
"A total of %1 record(s) were deleted.","Um total de %1 registo(s) foram apagados."
"Could not save company","Não foi possível gravar a empresa"
"You have saved company %companyName.","Você gravou a empresa %companyName."
"You have created company %companyName.","Você criou a empresa %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Um usuário com este endereço de e-mail já existe no sistema. Se você continuar, o usuário será vinculado para a sua empresa."
"A user with this email address is already a member of your company.","Um usuário com este endereço de e-mail já é membro da sua empresa."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Um usuário com este endereço de e-mail já existe no sistema. Digite um endereço de e-mail diferente para criar este usuário."
"You are not allowed to do this.","Não está autorizado a fazer isso"
"Cannot create the customer.","Não é possível criar o cliente."
"The customer was successfully created.","Resposta actualizada com sucesso."
"You cannot delete yourself.","Não se pode eliminar a si próprio."
"Cannot delete this user.","Não é possível excluir este usuário."
"The customer was successfully deleted.","Utilizador removido com sucesso."
"The customer was successfully updated.","Resposta actualizada com sucesso."
"Company Profile","Perfil da empresa"
"The changes you made on the company profile have been successfully saved.","As alterações feitas no perfil de empresa foram salvas com sucesso."
"You must fill in all required fields before you can continue.","Você tem que preencher todos os campos obrigatórios antes de continuar."
"Bad Request","Pedido Inválido"
"You have deleted role %companyRoleName.","Você removeu a função %companyRoleName."
"Add New Role","Adicionar Nova Função"
"Edit Role","Editar Função"
"Roles and Permissions","Funções e Permissões"
"The tree retrieved successfully.","A árvore foi obtida com sucesso."
"The item was successfully moved.","O item foi removido com sucesso."
"The team was successfully deleted.","A equipa foi removida com sucesso."
"The team was successfully updated.","A equipa foi removida com sucesso."
"The team was successfully created.","The team was successfully created."
"Company Users","Usuários da empresa"
"A customer with the same email already assigned to company.","Um cliente com o mesmo e-mail já foi atribuído para a empresa."
"Active","Ativo"
"Pending Approval","Pendente de Aprovação"
"Rejected","Rejeitada"
"Blocked","Bloqueado"
"The company admin cannot be moved to a different location in the company structure.","The company admin cannot be moved to a different location in the company structure."
"A user or a team cannot be moved under itself.","A user or a team cannot be moved under itself."
"A user or a team cannot be moved under its child user or team.","A user or a team cannot be moved under its child user or team."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company."
"Unable to move customer structure.","Unable to move customer structure."
"Cannot delete company with id %1","Cannot delete company with id %1"
"No company admin email is specified in request.","No company admin email is specified in request."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","No such entity with id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","You cannot update the requested attribute. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Invalid attribute value. Cannot change company for a company admin."
"Company admin","Administrador da empresa"
"Company user","Usuário da empresa"
"Individual user","Usuário individual"
