"Delete Customer","Обриши Купца"
"Back","Назад"
"Delete Company","Обриши компанију"
"Reset","Ресетовати"
"Save","Сачувај"
"Save & Close","Сачувај и затвори"
"Companies","Компаније"
"Add New Company","Додај нову компанију"
"(me)","(me)"
"Company Name:","Назив компаније:"
"Company Legal Name:","Правни назив компаније:"
"Company Email:","Емаил компаније:"
"VAT/TAX ID:","ПИБ:"
"Re-seller ID:","ИД препродавца:"
"Street Address:","Стреет Адреса:"
"City:","Град:"
"Country:","Земља:"
"State/Province:","Држава/Провинција:"
"ZIP/Postal Code:","Поштански број:"
"Phone Number:","Број телефона:"
"Job Title:","Радно место:"
"Email Address:","Е-маил адреса:"
"Prefix:","Префикс:"
"First Name:","Име:"
"Middle Name/Initial:","Средње име/Иницијал:"
"Last Name:","Презиме:"
"Suffix:","Суфикс:"
"Gender:","Пол:"
"Duplicated","Дупликат"
"Company Structure","Структура компаније"
"Page not found.","Страница није пронађена."
"Something went wrong.","Нешто кренуло наопако."
"New Company","Нова компанија"
"Thank you! We're reviewing your request and will contact you soon","Thank you! We're reviewing your request and will contact you soon"
"An error occurred on the server. Your changes have not been saved.","Дошло је до грешке он тхе сервер. Yоур цхангес хаве нот беен савед."
"Incorrect CAPTCHA","Неисправна ЦАПТЦХА"
"Create New Company","Креирај нову компанију"
"A total of %1 record(s) were updated.","Укупно %1 запис(а) је ажурирано."
"Something went wrong. Please try again later.","Нешто није у реду. Покушајте поново латер."
"Invalid value of ""%value"" provided for the email field.","Неважећа вредност ""%валуе"" наведена за поље емаил."
"Invalid value ""%value"" given for the website ID field.","Неважећа вредност ""%валуе"" наведена за поље ИД веб сајта."
"You have deleted company %companyName.","You have deleted company %companyName."
"The company no longer exists.","Компанија више не постоји."
"The requested company is not found","Тражена компанија није пронађена"
"Please correct the data sent.","Исправите послате податке."
"can not be saved","can not be saved"
"A total of %1 record(s) were deleted.","Укупно %1 запис(а) је обрисано."
"Could not save company","Није могуће сачувати компанију"
"You have saved company %companyName.","You have saved company %companyName."
"You have created company %companyName.","You have created company %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Корисник са овом емаил адресом већ постоји у систему. Ако наставите, корисник ће бити повезан са вашом компанијом."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Корисник са овом емаил адресом већ постоји у систему. Унесите другу емаил адресу."
"You are not allowed to do this.","Није вам дозвољено да ово урадите."
"Cannot create the customer.","Не може се креирати купац."
"The customer was successfully created.","Купац је успешно креиран."
"You cannot delete yourself.","Не можете обрисати себе."
"Cannot delete this user.","Не може делете тхис усер."
"The customer was successfully deleted.","Купац је успешно обрисан."
"The customer was successfully updated.","Купац је успешно ажуриран."
"Company Profile","Профил компаније"
"The changes you made on the company profile have been successfully saved.","Тхе цхангес yоу маде он тхе цомпанy профиле су успешно савед."
"You must fill in all required fields before you can continue.","Yоу муст филл ин алл обавезно пољес бефоре yоу цан цонтинуе."
"Bad Request","Бад Захтев"
"You have deleted role %companyRoleName.","You have deleted role %companyRoleName."
"Add New Role","Додај Ново Роле"
"Edit Role","Измени Роле"
"Roles and Permissions","Улоге и дозволе"
"The tree retrieved successfully.","Стабло је успешно преузето."
"The item was successfully moved.","Артикал је успешно премештен."
"The team was successfully deleted.","Тим је успешно обрисан."
"The team was successfully updated.","Тим је успешно ажуриран."
"The team was successfully created.","Тим је успешно креиран."
"Company Users","Корисници компаније"
"A customer with the same email already assigned to company.","A customer with the same email already assigned to company."
"Active","Активан"
"Pending Approval","Чека одобрење"
"Rejected","Одбијено"
"Blocked","Блокирано"
"The company admin cannot be moved to a different location in the company structure.","Тхе цомпанy админ не може бе мовед то а дифферент лоцатион ин тхе цомпанy струцтуре."
"A user or a team cannot be moved under itself.","А усер ор а теам не може бе мовед ундер итселф."
"A user or a team cannot be moved under its child user or team.","А усер ор а теам не може бе мовед ундер итс цхилд усер ор теам."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company."
"Unable to move customer structure.","Није могуће преместити структуру купца."
"Cannot delete company with id %1","Не може делете цомпанy wитх ид %1"
"No company admin email is specified in request.","Не цомпанy админ емаил ис специфиед ин реqуест."
"No company admin website ID is specified in request.","Не цомпанy админ wебсите ИД ис специфиед ин реqуест."
"No such entity with id = %idValue","Не суцх ентитy wитх ид = %идВалуе"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Тхе усер %1 ис тхе цомпанy админ анд не може бе сет то инацтиве. Yоу муст сет анотхер усер ас тхе цомпанy админ фирст."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Yоу не може упдате тхе реqуестед аттрибуте. Роw ИД: %фиелдНаме = %фиелдВалуе."
"Invalid attribute value. Cannot change company for a company admin.","Неисправан аттрибуте валуе. Не може цханге цомпанy фор а цомпанy админ."
"Company admin","Компанија админ"
"Company user","Компанија усер"
"Individual user","Individual user"
"Inactive","Неактиван"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Није могуће поставити ""дозволи"" за ресурс јер је његов надређени ресурс постављен на ""одбиј""."
"Invalid login or password.","Неисправно пријављивање или шифра."
"This account is locked.","Ваш налог је закључан."
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","Неисправна вредност у ""%валуе"" обезбеђеној за %фиелдНаме поље."
"""%fieldName"" is required. Enter and try again.","""%имеПоља"" је обавезно. Унесите и пробајте поново."
"No such entity with %fieldName = %fieldValue","Не постоји ентитет са %фиелдНаме = %фиелдВалуе"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Тхис роле не може бе делетед бецаусе усерс аре ассигнед то ит. Реассигн тхе усерс то анотхер роле то цонтинуе."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Yоу не може делете а роле wхен ит ис тхе онлy роле ин тхе цомпанy. Yоу муст цреате анотхер роле бефоре делетинг тхис роле."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","Не може делете роле wитх ид %1"
"Type %1 is not an instance of %2","Тип %1 није инстанца %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Компанија wитх тхис емаил аддресс алреадy еxистс ин тхе сyстем. Ентер а дифферент емаил аддресс то цонтинуе."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Неисправан аттрибуте валуе. Одбијен дате&тиме анд Одбијен Реасон цан бе цхангед онлy wхен а цомпанy статус ис цхангед то Одбијен."
"Could not save company: %1","Није могао саве цомпанy: %1"
"Cannot delete structure with id %1","Не може делете струцтуре wитх ид %1"
"Could not create team","Није могао цреате теам"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Тхис теам хас цхилд усерс ор теамс алигнед то ит анд не може бе делетед. Плеасе ре-алигн тхе цхилд усерс ор теамс фирст."
"Could not update team","Није могао упдате теам"
"Cannot delete team with id %1","Не може делете теам wитх ид %1"
"You cannot assign a different role to a company admin.","Yоу не може ассигн а дифферент роле то а цомпанy админ."
"You cannot assign multiple roles to a user.","Yоу не може ассигн мултипле ролес то а усер."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Не може делете тхе цомпанy админ. Обриши оператион је стоппед. Плеасе репеат тхе ацтион фор тхе отхер цустомерс."
"Something went wrong","Нешто није у реду"
"This customer company account is blocked and customer cannot place orders.","Тхис цустомер цомпанy аццоунт ис блоцкед анд цустомер не може плаце ордерс."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated","- Дуплицатед"
"message","порука"
"Exception message","Порука о изузећу"
"test","test"
"phrase","phrase"
"exception","exception"
"Localized Exception.","Localized Exception."
"Error message","Порука грешке"
"No such entity.","Не суцх ентитy."
"error message","порука о грешци"
"Could not save role","Није могуће сачувати улогу"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%фиелдНаме"" је обавезно. Унесите и покушајте поново.""%фиелдНаме"" је обавезно. Унесите и покушајте поново."
"Cannot delete team","Не може се обрисати тим"
"Role Name","Назив улоге"
"Role Name 15","Роле Назив 15"
"Edit","Измени"
"Delete","Обрисати"
"Duplicate","Duplicate"
"Company Name","Назив компаније"
"Customer Type:","Тип купца:"
"Company:","Компанија:"
"Company Information","Информације о компанији"
"Company Legal Name","Правни назив компаније"
"Company Email","Емаил компаније"
"VAT/TAX ID","ПИБ"
"Re-seller ID","ИД препродавца"
"Legal Address","Правна адреса"
"Street Address","Адреса"
"City","Град"
"Country","Држава"
"State/Province","Држава"
"Please select a region, state or province.","Молимо одаберите место."
"ZIP/Postal Code","Поштански број"
"Phone Number","Број телефона"
"Company Administrator","Администратор компаније"
"Job Title","Радно место"
"Email","Е-пошта"
"Submit","Пошаљи"
"New Company Account","Нови налог компаније"
