"Delete Customer","Удаление клиента"
"Back","Назад"
"Delete Company","Удалить компанию"
"Reset","Сбросить"
"Save","Сохранить"
"Save & Close","Сохранить и закрыть"
"Companies","Компании"
"Add New Company","Добавить новую компанию"
"(me)","(me)"
"Company Name:","Название компании:"
"Company Legal Name:","Юридическое название компании:"
"Company Email:","E-mail компании:"
"VAT/TAX ID:","НДС/НАЛОГ ID:"
"Re-seller ID:","Re-seller ID:"
"Street Address:","Почтовый адрес:"
"City:","Город:"
"Country:","Страна:"
"State/Province:","Область:"
"ZIP/Postal Code:","Почтовый Индекс:"
"Phone Number:","Номер телефона:"
"Job Title:","Job Title:"
"Email Address:","Email адрес:"
"Prefix:","Префикс:"
"First Name:","Имя:"
"Middle Name/Initial:","Отчество/Инициалы:"
"Last Name:","Фамилия:"
"Suffix:","Суффикс:"
"Gender:","Пол:"
"Duplicated","Дублированный"
"Company Structure","Структура компании"
"Page not found.","Страница не найдена."
"Something went wrong.","Что-то пошло не так."
"New Company","Новая компания"
"Thank you! We're reviewing your request and will contact you soon","Спасибо! Мы рассмотрим ваш запрос и свяжемся с вами в ближайшее время"
"An error occurred on the server. Your changes have not been saved.","На сервере произошла ошибка. Ваши изменения не были сохранены."
"Incorrect CAPTCHA","Некорректная CAPTCHA"
"Create New Company","Создание новой компании"
"A total of %1 record(s) were updated.","В общей сложности обновлено %1 записи(ей)."
"Something went wrong. Please try again later.","Что-то пошло не так. Пожалуйста, попробуйте позже."
"Invalid value of ""%value"" provided for the email field.","Недопустимое значение «%value» для поля электронной почты."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","Вы удалили компанию %companyName."
"The company no longer exists.","Компании больше не существует."
"The requested company is not found","Запрошенная компания не найдена"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"can not be saved","не может быть сохранено"
"A total of %1 record(s) were deleted.","В общей сложности %1 записи было удалено."
"Could not save company","Не удалось сохранить компанию"
"You have saved company %companyName.","Вы сохранили компанию %companyName."
"You have created company %companyName.","Вы создали компанию %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Пользователь с таким адресом электронной почты уже существует в системе. Если вы продолжите, пользователь будетсвязан с вашей компании."
"A user with this email address is already a member of your company.","Пользователь с таким адресом электронной почты уже является членом вашей компании."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Пользователь с таким e-mail уже существует в системе. Введите другой e-mail для создания этого пользователя."
"You are not allowed to do this.","У вас нет на это разрешения."
"Cannot create the customer.","Не удается создать клиента."
"The customer was successfully created.","Клиент был успешно создан."
"You cannot delete yourself.","Вы не можете удалить собственную учётную запись."
"Cannot delete this user.","Не удается удалить этого пользователя."
"The customer was successfully deleted.","Клиент был успешно удален."
"The customer was successfully updated.","Клиент был успешно обновлен."
"Company Profile","Профиль компании"
"The changes you made on the company profile have been successfully saved.","Изменения, внесенные в профиль компании были успешно сохранены."
"You must fill in all required fields before you can continue.","Вам необходимо заполнить все обязательные поля, прежде чем вы можете продолжить."
"Bad Request","Неверный запрос"
"You have deleted role %companyRoleName.","Вы удалили роль %companyRoleName."
"Add New Role","Добавить новую роль"
"Edit Role","Редактировать роль"
"Roles and Permissions","Роли и Разрешения"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","Элемент был успешно перемещен."
"The team was successfully deleted.","The team was successfully deleted."
"The team was successfully updated.","The team was successfully updated."
"The team was successfully created.","The team was successfully created."
