"Delete Customer","Slet kunde"
"Back","Tilbage"
"Delete Company","Slet virksomhed"
"Reset","Nulstil"
"Save","Gem"
"Save & Close","Gem & luk"
"Companies","Virksomheder"
"Add New Company","Tilføj en ny virksomhed"
"(me)","(mig)"
"Company Name:","Virksomhedens navn:"
"Company Legal Name:","Virksomhedens juridiske navn:"
"Company Email:","Virksomhedens e-mail:"
"VAT/TAX ID:","CVR-nr:"
"Re-seller ID:","Forhandler ID:"
"Street Address:","Gade/vejnavn:"
"City:","By:"
"Country:","Land:"
"State/Province:","Stat eller Region:"
"ZIP/Postal Code:","Postnr:"
"Phone Number:","Tlf:"
"Job Title:","Jobtitel:"
"Email Address:","E-mailadresse:"
"Prefix:","Præfiks:"
"First Name:","Fornavn:"
"Middle Name/Initial:","Mellemnavn/initialer:"
"Last Name:","Efternavn:"
"Suffix:","Suffiks:"
"Gender:","Køn:"
"Duplicated","Duplikeret"
"Company Structure","Selskabsstruktur"
"Page not found.","Siden blev ikke fundet."
"Something went wrong.","Noget gik galt."
"New Company","Ny virksomhed"
"Thank you! We're reviewing your request and will contact you soon","Tak! Vi gennemgår din anmodning og vil kontakte dig snarest"
"An error occurred on the server. Your changes have not been saved.","Der opstod en fejl på serveren. Dine ændringer er ikke blevet gemt."
"Incorrect CAPTCHA","Forkert CAPTCHA"
"Create New Company","Opret virksomhed"
"A total of %1 record(s) were updated.","Ialt %1 post(er) blev opdateret."
"Something went wrong. Please try again later.","Ups! Noget gik galt, prøv igen senere."
"Invalid value of ""%value"" provided for the email field.","Ugyldig værdi for ""%value"" for feltet e-mail."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","Du har slettet virksomheden %companyName."
"The company no longer exists.","Virksomheden eksisterer ikke længere."
"The requested company is not found","Den søgte virksomhed blev ikke fundet"
"Please correct the data sent.","Venligst korrigere data, der sendes."
"can not be saved","kan ikke gemmes"
"A total of %1 record(s) were deleted.","Ialt %1 post(er) blev slettet."
"Could not save company","Kunne ikke gemme virksomheden"
"You have saved company %companyName.","Du har gemt virksomheden %companyName."
"You have created company %companyName.","Du har oprettet virksomheden %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","En bruger med e-mailen findes allerede. Hvis du fortsætter, vil brugeren være knyttet til din virksomhed."
"A user with this email address is already a member of your company.","En bruger med e-mail er allerede medlem af din virksomhed."
"A user with this email address already exists in the system. Enter a different email address to create this user.","En bruger med denne e-mail findes allerede.. Angiv en anden e-mail for at oprette denne bruger."
"You are not allowed to do this.","Du har ikke rettigheder til dette."
"Cannot create the customer.","Kan ikke oprette kunden."
"The customer was successfully created.","Kunden er oprettet."
"You cannot delete yourself.","Du kan ikke slette dig selv."
"Cannot delete this user.","Kan ikke slette denne bruger."
"The customer was successfully deleted.","Kunden blev slettet."
"The customer was successfully updated.","Kunden blev opdateret."
"Company Profile","Virksomhedsprofil"
"The changes you made on the company profile have been successfully saved.","Ændringerne på virksomhedsprofilen er gemt."
"You must fill in all required fields before you can continue.","Du skal udfylde alle påkrævede felter, før du kan fortsætte."
"Bad Request","Ugyldig forespørgsel"
"You have deleted role %companyRoleName.","Du har slettet rollen %companyRoleName."
"Add New Role","Tilføj ny rolle"
"Edit Role","Rediger rolle"
"Roles and Permissions","Roller og rettigheder"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","Varen blev flyttet."
"The team was successfully deleted.","Teamet er slettet."
"The team was successfully updated.","Teamet er opdateret."
"The team was successfully created.","Teamet er oprettet."
"Company Users","Virksomhedsbrugere"
"A customer with the same email already assigned to company.","En kunde med den samme e-mail er allerede tilknyttet virksomheden."
"Active","Aktiv"
"Pending Approval","Afventer godkendelse"
"Rejected","Afvist"
"Blocked","Blokeret"
"The company admin cannot be moved to a different location in the company structure.","Virksomheden kan ikke flyttes til en anden lokation i virksomhedsstruktionen."
"A user or a team cannot be moved under itself.","En bruger eller gruppe kan ikke flyttes ind under sig selv."
"A user or a team cannot be moved under its child user or team.","En bruger eller gruppe kan ikke flyttes ind under en underbruger eller undergruppe."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","Det angivne overordnede ID tilhører en anden virksomhed. Den angivne enhed (team eller bruger) og dets nye moderselskab skal tilhøre samme virksomhed."
"Unable to move customer structure.","Kan ikke flytte kundestruktur."
"Cannot delete company with id %1","Kan ikke slette virksomheden med id %1"
"No company admin email is specified in request.","Ingen virksomheds admin e-mail er angivet i anmodningen."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","Ingen enhed med id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Brugeren %1 er virksomhedens administrator og kan ikke deaktiveres. Du må vælge en anden admin først."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Du kan ikke opdatere den anmodede attribut. Række-ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Ugyldig attributværdi. Kan ikke ændre virksomhed for en virksomheds admin."
"Company admin","Virksomheds admin"
"Company user","Virksomhedsbruger"
"Individual user","Individuel bruger"
"Inactive","Inaktiv"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Kan ikke sætte ""Tillad"" for ressourcen, fordi dets overordnede ressource(r) er angivet til ""Afvis""."
"Invalid login or password.","Ugyldig login eller adgangskode."
"This account is locked.","Denne konto er låst."
"Your account is not yet approved. If you have questions, please contact the seller.","Din konto er endnu ikke godkendt. Hvis du har spørgsmål, bedes du kontakte forhandleren."
"There was an error saving custom attributes.","Der opstod en fejl under lagring af brugerdefinerede attributter."
"Invalid value of ""%value"" provided for the %fieldName field.","Ugyldig værdi for ""%value"" for feltet %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","You cannot delete a role when it is the only role in the company. You must create another role before deleting this role."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","Cannot delete role with id %1"
"Type %1 is not an instance of %2","Type %1 is not an instance of %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Company with this email address already exists in the system. Enter a different email address to continue."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected."
"Could not save company: %1","Kunne ikke gemme virksomheden: %1"
"Cannot delete structure with id %1","Kan ikke slette struktur med id %1"
"Could not create team","Kunne ikke oprette team"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Dette team har tilknytte brugere eller teams, og kan ikke slettes."
"Could not update team","Kunne ikke opdatere team"
"Cannot delete team with id %1","Kan ikke slette team med id %1"
"You cannot assign a different role to a company admin.","Du kan ikke tildele en anden rolle til en virksomheds admin."
"You cannot assign multiple roles to a user.","Du kan ikke tildele en bruger flere roller."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Kan ikke slette virksomhedens admin. Sletningen er blevet stoppet. Gentag handlingen for de andre kunder."
"Something went wrong","Noget gik galt"
"This customer company account is blocked and customer cannot place orders.","Denne kundes virksomhedskonto er blokeret og kunden ikke kan afgive ordrer."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated"," - Duplikeret"
"message","besked"
"Exception message","Undtagelsesbesked"
"test","test"
"phrase","sætning"
"exception","undtagelse"
"Localized Exception.","Lokaliseret undtagelse."
"Error message","Fejlmeddelelse"
"No such entity.","Ingen sådan enhed."
"error message","fejlmeddelelse"
"Could not save role","Kunne ikke gemme rollen"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again."
"Cannot delete team","Kan ikke slette team"
"Role Name","Rollenavn"
"Role Name 15","Rollenavn 15"
"Edit","Redigér"
"Delete","Slet"
"Duplicate","Duplikér"
"Company Name","Virksomhedens navn"
"Customer Type:","Kundetype:"
"Company:","Firma:"
"Company Information","Virksomhedsoplysninger"
"Company Legal Name","Virksomhedens juridiske navn"
"Company Email","Virksomhedens e-mail"
"VAT/TAX ID","CVR-nr"
"Re-seller ID","Forhandler ID"
"Legal Address","Juridiske adresse"
"Street Address","Gade/vejnavn"
"City","By"
"Country","Land"
"State/Province","Stat eller Region"
"Please select a region, state or province.","Vælg en region, stat eller provins."
"ZIP/Postal Code","Postnummer"
"Phone Number","Telefonnummer"
"Company Administrator","Virksomhedsadministratoren"
"Job Title","Jobtitel"
"Email","E-mail"
"Submit","Send"
"New Company Account","Ny virksomhedskonto"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Opret en virksomhedskonto"
"Business Structure","Forretningsstruktur"
"Expand All","Vis alle"
"Collapse All","Skjul alle"
"Add User","Tilføj bruger"
"Add Team","Tilføj team"
"Edit Selected","Rediger valgte"
"Delete Selected","Slet valgte"
"Error","Fejl"
"User Role","Brugerrolle"
"First Name","Fornavn"
"Last Name","Efternavn"
"Status","Status"
"Team Title","Team Title"
"Description","Beskrivelse"
"You don't have a company account yet.","You don't have a company account yet."
"Account Information","Konto Information"
"VAT/TAX ID: ","VAT/TAX ID: "
"Re-seller ID: ","Re-seller ID: "
"You have no other address entries in your address book.","Du har ikke gemt nogle adresser."
"T: %1","T: %1"
"Contacts","Kontakter"
"Sales Representative","Sælger"
"Role Information","Role Information"
"Role Permissions","Role Permissions"
"Save Role","Save Role"
"Add New User","Tilføj ny bruger"
"Company","Firma"
"Create an Account","Opret en konto"
"Change","Skift"
"This action will replace your Company Admin.","This action will replace your Company Admin."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin."
