"Delete Customer","Διαγραφή πελάτη"
"Back","Πίσω"
"Delete Company","Διαγραφή Εταιρείας"
"Reset","Επαναφορά"
"Save","Αποθήκευση"
"Save & Close","Αποθήκευση & Κλείσιμο"
"Companies","Εταιρείες"
"Add New Company","Προσθήκη Νέας Εταιρείας"
"(me)","(εγώ)"
"Company Name:","Επωνυμία Εταιρείας:"
"Company Legal Name:","Επίσημη Επωνυμία ΕταιρΕίας:"
"Company Email:","Εταιρικό Email:"
"VAT/TAX ID:","Α.Φ.Μ.:"
"Re-seller ID:","Re-seller ID:"
"Street Address:","Οδός και Αριθμός:"
"City:","Πόλη:"
"Country:","Χώρα:"
"State/Province:","Νομός/Δήμος:"
"ZIP/Postal Code:","Ταχυδρομικός κώδικας:"
"Phone Number:","Αριθμός Τηλεφώνου:"
"Job Title:","Επάγγελμα:"
"Email Address:","Διεύθυνση Email:"
"Prefix:","Πρόθεμα:"
"First Name:","Όνομα:"
"Middle Name/Initial:","Μεσαίο Όνομα/Αρχικά:"
"Last Name:","Επώνυμο:"
"Suffix:","Suffix:"
"Gender:","Φύλο:"
"Duplicated","Duplicated"
"Company Structure","Company Structure"
"Page not found.","Η σελίδα δεν βρέθηκε."
"Something went wrong.","Κάτι πήγε στραβά."
"New Company","Νέα Εταιρεία"
"Thank you! We're reviewing your request and will contact you soon","Thank you! We're reviewing your request and will contact you soon"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"Incorrect CAPTCHA","Λάθος CAPTCHA"
"Create New Company","Create New Company"
"A total of %1 record(s) were updated.","Συνολικά %1 εγγραφή(ές) ενημερώθηκαν."
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"Invalid value of ""%value"" provided for the email field.","Invalid value of ""%value"" provided for the email field."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","You have deleted company %companyName."
"The company no longer exists.","The company no longer exists."
"The requested company is not found","The requested company is not found"
"Please correct the data sent.","Παρακαλώ διορθώστε τα απεσταλμένα δεδομένα."
"can not be saved","can not be saved"
"A total of %1 record(s) were deleted.","Συνολικά %1 εγγραφη(ές) διαγράφηκαν."
"Could not save company","Could not save company"
"You have saved company %companyName.","You have saved company %companyName."
"You have created company %companyName.","You have created company %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","A user with this email address already exists in the system. If you proceed, the user will be linked to your company."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
"A user with this email address already exists in the system. Enter a different email address to create this user.","A user with this email address already exists in the system. Enter a different email address to create this user."
"You are not allowed to do this.","Δεν επιτρέπεται να το κάνετε αυτό."
"Cannot create the customer.","Cannot create the customer."
"The customer was successfully created.","The customer was successfully created."
"You cannot delete yourself.","Δεν μπορείτε να διαγράψετε τον εαυτό σας."
"Cannot delete this user.","Δεν μπορείτε να διαγράψετε αυτόν τον χρήστη."
"The customer was successfully deleted.","Ο πελάτης διαγράφηκε με επιτυχία."
"The customer was successfully updated.","Ο πελάτης ενημερώθηκε με επιτυχία."
"Company Profile","Company Profile"
"The changes you made on the company profile have been successfully saved.","The changes you made on the company profile have been successfully saved."
"You must fill in all required fields before you can continue.","You must fill in all required fields before you can continue."
"Bad Request","Εσφαλμένο Αίτημα"
