"Delete Customer","Slett kunde"
"Back","Tilbake"
"Delete Company","Slett et firma"
"Reset","Nullstill"
"Save","Lagre"
"Save & Close","Lagre & lukk"
"Companies","Selskaper"
"Add New Company","Nytt selskap"
"(me)","(me)"
"Company Name:","Firmanavn:"
"Company Legal Name:","Company Legal Name:"
"Company Email:","Firma-e-post:"
"VAT/TAX ID:","MVA / SKATT ID:"
"Re-seller ID:","Re-seller ID:"
"Street Address:","Gateadresse:"
"City:","By:"
"Country:","Land:"
"State/Province:","Stat/provins:"
"ZIP/Postal Code:","ZIP/Postnummer:"
"Phone Number:","Telefonnummer:"
"Job Title:","Jobbtittel:"
"Email Address:","E-postadresse:"
"Prefix:","Prefiks:"
"First Name:","Fornavn:"
"Middle Name/Initial:","Mellomnavn/Initial:"
"Last Name:","Etternavn:"
"Suffix:","Suffiks:"
"Gender:","Kjønn:"
"Duplicated","Duplisert"
"Company Structure","Firmastruktur"
"Page not found.","Siden finnes ikke."
"Something went wrong.","Noe gikk galt."
"New Company","Nytt selskap"
"Thank you! We're reviewing your request and will contact you soon","Thank you! We're reviewing your request and will contact you soon"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"Incorrect CAPTCHA","Feil CAPTCHA"
"Create New Company","Opprett et nytt selskap"
"A total of %1 record(s) were updated.","Totalt %1 post(er) ble oppdatert."
"Something went wrong. Please try again later.","Noe gikk galt. Prøv på nytt senere."
"Invalid value of ""%value"" provided for the email field.","Invalid value of ""%value"" provided for the email field."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","You have deleted company %companyName."
"The company no longer exists.","Firmaet finnes ikke lengre."
"The requested company is not found","Den forespurte firmaet ble ikke funnet"
"Please correct the data sent.","Korriger dataene som sendes."
"can not be saved","kan ikke bli lagret"
"A total of %1 record(s) were deleted.","Totalt %1 post(er) ble slettet."
"Could not save company","Kunne ikke lagre firmaet"
"You have saved company %companyName.","You have saved company %companyName."
"You have created company %companyName.","You have created company %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","A user with this email address already exists in the system. If you proceed, the user will be linked to your company."
"A user with this email address is already a member of your company.","A user with this email address is already a member of your company."
"A user with this email address already exists in the system. Enter a different email address to create this user.","A user with this email address already exists in the system. Enter a different email address to create this user."
"You are not allowed to do this.","You are not allowed to do this."
"Cannot create the customer.","Cannot create the customer."
"The customer was successfully created.","The customer was successfully created."
"You cannot delete yourself.","You cannot delete yourself."
"Cannot delete this user.","Kan ikke slette brukeren."
"The customer was successfully deleted.","Sletting av kunde var vellykket."
"The customer was successfully updated.","Oppdatering av kunden var vellykket."
"Company Profile","Firmaprofil"
"The changes you made on the company profile have been successfully saved.","The changes you made on the company profile have been successfully saved."
"You must fill in all required fields before you can continue.","You must fill in all required fields before you can continue."
"Bad Request","Bad Request"
"You have deleted role %companyRoleName.","You have deleted role %companyRoleName."
"Add New Role","Legg til ny regel"
"Edit Role","Endre rolle"
"Roles and Permissions","Roles and Permissions"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","The item was successfully moved."
"The team was successfully deleted.","The team was successfully deleted."
"The team was successfully updated.","The team was successfully updated."
"The team was successfully created.","The team was successfully created."
"Company Users","Company Users"
"A customer with the same email already assigned to company.","A customer with the same email already assigned to company."
"Active","Aktiv"
"Pending Approval","Pending Approval"
"Rejected","Avvist"
