"Delete Customer","حذف مشتری"
"Back","بازگشت"
"Delete Company","حذف شرکت"
"Reset","بازنشانی"
"Save","ذخيره"
"Save & Close","ذخیره و بستن"
"Companies","شرکت ها"
"Add New Company","افزودن شرکت جدید"
"(me)","(من)"
"Company Name:","نام شرکت:"
"Company Legal Name:","نام قانونی شرکت:"
"Company Email:","ایمیل شرکت:"
"VAT/TAX ID:","شناسه مالیات بر ارزش افزوده/ مالیات:"
"Re-seller ID:","شناسه نماینده فروش:"
"Street Address:","آدرس:"
"City:","شهر:"
"Country:","کشور:"
"State/Province:","استان / شهرستان:"
"ZIP/Postal Code:","کد پستی:"
"Phone Number:","شماره تلفن:"
"Job Title:","شغل:"
"Email Address:","آدرس ایمیل:"
"Prefix:","پیشوند:"
"First Name:","نام:"
"Middle Name/Initial:","Middle Name/Initial:"
"Last Name:","نام خانوادگی:"
"Suffix:","پسوند:"
"Gender:","جنسیت:"
"Duplicated","تکراری"
"Company Structure","ساختار شرکت"
"Page not found.","صفحه یافت نشد."
"Something went wrong.","مشکلی پیش آمده است."
"New Company","شرکت جدید"
"Thank you! We're reviewing your request and will contact you soon","متشکریم! ما درخواست شما را بررسی کرده و به زودی با شما تماس خواهیم گرفت"
"An error occurred on the server. Your changes have not been saved.","خطایی در سرور رخ داد. تغییرات شما ذخیره نشد."
"Incorrect CAPTCHA","CAPTCHA نادرست است"
"Create New Company","ایجاد شرکت جدید"
"A total of %1 record(s) were updated.","%1 رکورد به روز رسانی شد."
"Something went wrong. Please try again later.","با عرض پوزش، خطایی رخ داده است. لطفا بعدا دوباره امتحان کنید."
"Invalid value of ""%value"" provided for the email field.","مقدار نامعتبر ""%value"" برای فیلد ایمیل ارائه شده است."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","شما شرکت %companyName را حذف کردید."
"The company no longer exists.","این شرکت دیگر وجود ندارد."
"The requested company is not found","شرکت مورد نظر یافت نشد"
"Please correct the data sent.","لطفا داده های ارسال شده را اصلاح کنید."
"can not be saved","ذخیره نمی شود"
"A total of %1 record(s) were deleted.","%1 رکورد حذف شد."
"Could not save company","شرکت ذخیره نشد"
"You have saved company %companyName.","شما شرکت %companyName را ذخیره کردید."
"You have created company %companyName.","شما شرکت %companyName را ایجاد کردید."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","کاربری با این آدرس ایمیل در حال حاضر در سیستم وجود دارد. درصورت ادامه، کاربر به شرکت شما لینک می شود."
"A user with this email address is already a member of your company.","کاربری با این آدرس ایمیل در حال حاضر عضو شرکت شما است."
"A user with this email address already exists in the system. Enter a different email address to create this user.","کاربری با این آدرس ایمیل در حال حاضر در سیستم وجود دارد. برای ایجاد کاربر جدید آدرس ایمیل دیگری وارد کنید."
"You are not allowed to do this.","شما مجاز به انجام این کار نیستید."
"Cannot create the customer.","نمی‌توان مشتری ایجاد کرد."
"The customer was successfully created.","مشتری با موفقیت ایجاد شد."
"You cannot delete yourself.","شما نمی توانید خودتان را حذف کنید."
"Cannot delete this user.","این کاربر را نمی توان حذف کرد."
"The customer was successfully deleted.","مشتری با موفقیت حذف شد."
"The customer was successfully updated.","مشتری با موفقیت به روز شد."
"Company Profile","مشخصات شرکت"
"The changes you made on the company profile have been successfully saved.","تغییرات در مشخصات شرکت با موفقیت ذخیره شد."
"You must fill in all required fields before you can continue.","قبل از ادامه باید تمام فیلدهای مورد نیاز را پر کنید."
"Bad Request","درخواست بد"
"You have deleted role %companyRoleName.","شما نقش %companyName را حذف کردید."
"Add New Role","افزودن نقش جدید"
"Edit Role","ویرایش نقش"
"Roles and Permissions","نقش ها و دسترسی ها"
"The tree retrieved successfully.","درخت با موفقیت بازیافت شد."
"The item was successfully moved.","محصول با موفقیت منتقل شد."
"The team was successfully deleted.","تیم با موفقیت حذف شد."
"The team was successfully updated.","تیم با موفقیت به روز شد."
"The team was successfully created.","تیم با موفقیت ایجاد شد."
"Company Users","کاربران شرکت"
"A customer with the same email already assigned to company.","یک مشتری با این ایمیل در حال حاضر به شرکت اختصاص داده شده است."
"Active","فعال"
"Pending Approval","در انتظار تأیید"
"Rejected","رد شده"
"Blocked","مسدود شده"
"The company admin cannot be moved to a different location in the company structure.","مدیر شرکت نمی تواند به مکان های مختلف در ساختار شرکت منتقل شود."
"A user or a team cannot be moved under itself.","کاربر و یا تیم نمی تواند به مکانی زیر دسته خود منتقل شود."
"A user or a team cannot be moved under its child user or team.","کاربر و یا تیم نمی تواند به مکانی زیر زیر دسته خود یا تیمش منتقل شود."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","شناسه مادر مشخص شده به شرکت متفاوتی تعلق دارد. ورودی مشخص شده (تیم یا کاربر) و والد جدیدش باید به یک شرکت یکسان تعلق داشته باشد."
"Unable to move customer structure.","نمی توان ساختار مشتری را منتقل کرد."
"Cannot delete company with id %1","نمیتوان شرکت با شناسه %1 را حذف کرد"
"No company admin email is specified in request.","هیچ ایمیلی برای مدیر شرکت در درخواست مشخص نشده است."
"No company admin website ID is specified in request.","No company admin website ID is specified in request."
"No such entity with id = %idValue","هیچ ورودی با شناسه %idValue وجود ندارد"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","کاربر %1 مدیر شرکت است و نمی تواند غیرفعال شود. شما باید یک کاربر دیگر را به عنوان مدیر شرکت تنظیم کنید."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","نمی توانید ویژگی مورد نظر را به روز کنید. شناسه ریدف: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","مقدار ویژگی غیرمعتبر است. نمی توان برای مدیریت شرکت، شرکت را تغییر داد."
"Company admin","مدیر شرکت"
"Company user","کاربر شرکت"
"Individual user","کاربر مستقل"
"Inactive","غیرفعال"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","نمی توان منبع را مجاز اعلام کرد زیرا منبع (های) والد روی ""رد کن"" تنظیم شده است."
"Invalid login or password.","ورود به سیستم و یا کلمه عبور نامعتبر است."
"This account is locked.","این حساب کاربری قفل شده است."
"Your account is not yet approved. If you have questions, please contact the seller.","حساب کاربری شما هنوز تأیید نشده است. اگر سؤالی دارید، لطفا با فروشنده تماس بگیرید."
"There was an error saving custom attributes.","در هنگام ذخیره ویژگی های سفارشی خطایی رخ داد."
"Invalid value of ""%value"" provided for the %fieldName field.","مقدار نامعتبر ""%value"" برای فیلد %fieldName ارائه شده است."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue وجود ندارد"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","این نقش را نمی توان حذف کرد، زیرا به آن کاربر اختصاص داده شده است. ابتدا کاربران را به نقش های دیگر اختصاص داده و ادامه دهید."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","شما نمی توانید تنها نقش موجود در شرکت را حذف کنید. قبل از حذف این نقش باید نقش دیگری ایجاد کنید."
"User role with this name already exists. Enter a different name to save this role.","کاربر با این نقش در حال حاضر وجود دارد. نام دیگری برای این نقش وارد کنید."
"Cannot delete role with id %1","نمیتوان نقش با شناسه %1 را حذف کرد"
"Type %1 is not an instance of %2","نوع %1 نمونه ای از %2 نیست"
"The selected user is inactive. To continue, select another user or activate the current user.","کاربر انتخاب شده غیرفعال است. برای ادامه، کاربر دیگری را انتخاب کنید و یا کاربر فعلی را فعال کنید."
"This customer is a user of a different company. Enter a different email address to continue.","این مشتری کاربر شرکت دیگری است. برای ادامه آدرس ایمیل دیگری وارد کنید."
"Company with this email address already exists in the system. Enter a different email address to continue.","یک شرکت با این آدرس ایمیل در حال حاضر در سیستم وجود دارد. برای ادامه آدرس ایمیل دیگری وارد کنید."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","مقدار ویژگی غیرمعتبر است. تاریخ و زمان و علت رد شده تنها زمانی می تواند تغییر کند که وضعیت شرکت به رد شده تغییر یابد."
"Could not save company: %1","شرکت %1 ذخیره نشد"
"Cannot delete structure with id %1","نمیتوان ساختار با شناسه %1 را حذف کرد"
