"Delete Customer","Usuń tego klienta"
"Back","Powrót"
"Delete Company","Usuń tę firmę"
"Reset","Resetuj"
"Save","Zapisz"
"Save & Close","Zapisz i zamknij"
"Companies","Firmy"
"Add New Company","Dodaj nową firmę"
"(me)","(ja)"
"Company Name:","Nazwa firmy:"
"Company Legal Name:","Nazwa prawna firmy:"
"Company Email:","Adres mailowy firmy:"
"VAT/TAX ID:","Regon/NIP:"
"Re-seller ID:","ID Sprzedawcy:"
"Street Address:","Adres:"
"City:","Miasto:"
"Country:","Kraj:"
"State/Province:","Województwo:"
"ZIP/Postal Code:","Kod pocztowy:"
"Phone Number:","Numer telefonu:"
"Job Title:","Zawód:"
"Email Address:","Adres email:"
"Prefix:","Tytuł:"
"First Name:","Imię:"
"Middle Name/Initial:","Drugie imię:"
"Last Name:","Nazwisko:"
"Suffix:","Przyrostek:"
"Gender:","Płeć:"
"Duplicated","Duplikat"
"Company Structure","Struktura firmy"
"Page not found.","Nie znaleziono strony."
"Something went wrong.","Coś poszło nie tak."
"New Company","Nowa firma"
"Thank you! We're reviewing your request and will contact you soon","Dziękujemy! Zajmujemy się Twoją prośbą i niedługo się do Ciebie odezwiemy."
"An error occurred on the server. Your changes have not been saved.","Na serwerze wystąpił błąd. Twoje zmiany nie zostały zapisane."
"Incorrect CAPTCHA","Niepoprawna CAPTCHA"
"Create New Company","Stwórz nową firmę"
"A total of %1 record(s) were updated.","(%1) wpisów zostało zaktualizowanych."
"Something went wrong. Please try again later.","Coś poszło nie tak. Proszę spróbować później."
"Invalid value of ""%value"" provided for the email field.","W polu wiadomości email podano nieprawidłową wartość ""%value""."
"Invalid value ""%value"" given for the website ID field.","Nieprawidłowa wartość ""%value"" podana dla pola identyfikatora witryny."
"You have deleted company %companyName.","Usunąłeś firmę %companyName."
"The company no longer exists.","Firma już nie istnieje."
"The requested company is not found","Nie można znaleźć firmy."
"Please correct the data sent.","Proszę poprawić wprowadzone dane."
"can not be saved","Nie można zachować."
