"Delete Customer","ഉപഭോക്താവിനെ ഇല്ലാതാക്കുക"
"Back","പിന്നിലേക്കു"
"Delete Company","കമ്പനി ഇല്ലാതാക്കുക"
"Reset","പുനഃക്രമീകരിക്കുക"
"Save","സേവ് ചെയ്യുക"
"Save & Close","സേവ് ചെയ്ത് അടക്കുക"
"Companies","കമ്പനികൾ"
"Add New Company","പുതിയ കമ്പനി ചേർക്കുക"
"(me)","(ഞാൻ)"
"Company Name:","കമ്പനി പേര്:"
"Company Legal Name:","കമ്പനി നിയമപരമായ പേര്:"
"Company Email:","കമ്പനി ഇമെയിൽ:"
"VAT/TAX ID:","വാറ്റ് / ടാക്സ് ഐഡി:"
"Re-seller ID:","വീണ്ടും വിൽക്കുന്ന ഐഡി:"
"Street Address:","സ്ട്രീറ്റ് വിലാസം:"
"City:","പട്ടണം:"
"Country:","രാജ്യം:"
"State/Province:","സംസ്ഥാനം / പ്രവിശ്യ:"
"ZIP/Postal Code:","സിപ്/പോസ്റ്റൽ കോഡ്:"
"Phone Number:","ഫോൺ നമ്പർ:"
"Job Title:","തൊഴില് പേര്:"
"Email Address:","ഈ - മെയില് വിലാസം:"
"Prefix:","പ്രിഫിക്‌സ്:"
"First Name:","പേരിന്റെ ആദ്യഭാഗം:"
"Middle Name/Initial:","മധ്യനാമം/ഇനിഷ്യൽ:"
"Last Name:","പേരിന്റെ അവസാന ഭാഗം:"
"Suffix:","സഫിക്സ്:"
"Gender:","ലിംഗം:"
"Duplicated","തനിപ്പകർപ്പ്"
"Company Structure","കമ്പനി ഘടന"
"Page not found.","പേജ് കണ്ടെത്തിയില്ല."
"Something went wrong.","എന്തോ കുഴപ്പം സംഭവിച്ചു."
"New Company","പുതിയ കമ്പനി"
"Thank you! We're reviewing your request and will contact you soon","നന്ദി! ഞങ്ങൾ നിങ്ങളുടെ അഭ്യർത്ഥന അവലോകനം ചെയ്യുകയാണ്, ഉടൻ തന്നെ നിങ്ങളെ ബന്ധപ്പെടും"
"An error occurred on the server. Your changes have not been saved.","സെർവറിൽ ഒരു പിശക് സംഭവിച്ചു. നിങ്ങളുടെ മാറ്റങ്ങൾ സംരക്ഷിച്ചിട്ടില്ല."
"Incorrect CAPTCHA","തെറ്റായ കാപ്ച"
"Create New Company","പുതിയ കമ്പനി സൃഷ്ടിക്കുക"
"A total of %1 record(s) were updated.","മൊത്തം%1 റെക്കോർഡ് (കൾ) അപ്‌ഡേറ്റുചെയ്‌തു."
"Something went wrong. Please try again later.","എന്തോ കുഴപ്പം സംഭവിച്ചു. പിന്നീട് വീണ്ടും ശ്രമിക്കുക."
"Invalid value of ""%value"" provided for the email field.","ഇമെയിൽ ഫീൽഡിനായി നൽകിയ ""% മൂല്യം"" അസാധുവായ മൂല്യം."
"Invalid value ""%value"" given for the website ID field.","വെബ്‌സൈറ്റ് ഐഡി ഫീൽഡിനായി അസാധുവായ മൂല്യം ""% മൂല്യം"" നൽകി."
"You have deleted company %companyName.","കമ്പനി %companyName നിങ്ങൾ ഇല്ലാതാക്കി."
"The company no longer exists.","ഈ നിബന്ധന നിലവിലില്ല."
"The requested company is not found","അഭ്യർത്ഥിച്ച കമ്പനി കണ്ടെത്തിയില്ല"
"Please correct the data sent.","അയച്ച ഡാറ്റ ശരിയാക്കുക."
"can not be saved","സേവ് ചെയ്യാൻ കഴിയില്ല"
"A total of %1 record(s) were deleted.","മൊത്തം %1 റെക്കോർഡ് (കൾ) ഇല്ലാതാക്കി."
"Could not save company","കമ്പനി സേവ് ചെയ്യാൻ കഴിഞ്ഞില്ല"
"You have saved company %companyName.","കമ്പനി %companyName നിങ്ങൾ സേവ് ചെയ്തു."
"You have created company %companyName.","നിങ്ങൾ കമ്പനി %companyName സൃഷ്ടിച്ചു."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","ഈ ഇമെയിൽ വിലാസമുള്ള ഒരു ഉപയോക്താവ് ഇതിനകം സിസ്റ്റത്തിൽ നിലവിലുണ്ട്. നിങ്ങൾ തുടരുകയാണെങ്കിൽ, ഉപയോക്താവ് നിങ്ങളുടെ കമ്പനിയുമായി ലിങ്ക് ചെയ്യപ്പെടും."
"A user with this email address is already a member of your company.","ഈ ഇമെയിൽ വിലാസമുള്ള ഒരു ഉപയോക്താവ് ഇതിനകം നിങ്ങളുടെ കമ്പനിയിലെ അംഗമാണ്."
"A user with this email address already exists in the system. Enter a different email address to create this user.","ഈ ഇമെയിൽ വിലാസമുള്ള ഒരു ഉപയോക്താവ് ഇതിനകം സിസ്റ്റത്തിൽ നിലവിലുണ്ട്. ഈ ഉപയോക്താവിനെ സൃഷ്ടിക്കുന്നതിന് മറ്റൊരു ഇമെയിൽ വിലാസം നൽകുക."
"You are not allowed to do this.","ഇത് ചെയ്യാൻ നിങ്ങളെ അനുവദിച്ചിട്ടില്ല."
"Cannot create the customer.","ഉപഭോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയില്ല."
"The customer was successfully created.","ഉപഭോക്താവ് വിജയകരമായി സൃഷ്ടിച്ചു."
"You cannot delete yourself.","നിങ്ങൾക്ക് സ്വയം ഇല്ലാതാക്കാൻ കഴിയില്ല."
"Cannot delete this user.","ഈ ഉപയോക്താവിനെ ഇല്ലാതാക്കാൻ കഴിയില്ല."
"The customer was successfully deleted.","ഉപഭോക്താവ് വിജയകരമായി ഇല്ലാതാക്കി."
"The customer was successfully updated.","ഉപഭോക്താവ് വിജയകരമായി അപ്‌ഡേറ്റുചെയ്‌തു."
"Company Profile","കമ്പനി പ്രൊഫൈൽ"
"The changes you made on the company profile have been successfully saved.","കമ്പനി പ്രൊഫൈലിൽ നിങ്ങൾ വരുത്തിയ മാറ്റങ്ങൾ വിജയകരമായി സേവ് ചെയ്തു."
"You must fill in all required fields before you can continue.","തുടരുന്നതിന് മുമ്പ് ആവശ്യമായ എല്ലാ ഫീൽഡുകളും നിങ്ങൾ പൂരിപ്പിക്കണം."
"Bad Request","മോശം അപേക്ഷ"
"You have deleted role %companyRoleName.","നിങ്ങൾ റോൾ %companyRoleName ഇല്ലാതാക്കി."
"Add New Role","പുതിയ റോൾ ചേർക്കുക"
"Edit Role","റോൾ എഡിറ്റുചെയ്യുക"
"Roles and Permissions","റോളുകളും അനുമതികളും"
"The tree retrieved successfully.","The tree retrieved successfully."
"The item was successfully moved.","ഇനം വിജയകരമായി നീക്കി."
"The team was successfully deleted.","ടീം വിജയകരമായി ഇല്ലാതാക്കി."
"The team was successfully updated.","ടീം വിജയകരമായി അപ്‌ഡേറ്റുചെയ്‌തു."
"The team was successfully created.","ടീം വിജയകരമായി സൃഷ്ടിച്ചു."
"Company Users","കമ്പനി ഉപയോക്താക്കൾ"
"A customer with the same email already assigned to company.","ഇതിനകം തന്നെ കമ്പനിക്ക് നൽകിയിട്ടുള്ള സമാന ഇമെയിൽ ഉള്ള ഒരു ഉപഭോക്താവ്."
"Active","സജീവമാണ്"
"Pending Approval","അംഗീകാരം തീർപ്പുകൽപ്പിച്ചിട്ടില്ല"
"Rejected","നിരസിച്ചു"
"Blocked","തടഞ്ഞു"
