"Delete Customer","Изтрий клиент"
"Back","Обратно"
"Delete Company","Изтрий компания"
"Reset","Изчисти"
"Save","Запиши"
"Save & Close","Запази и затвори"
"Companies","Компании"
"Add New Company","Добави нова компания"
"(me)","(за мен)"
"Company Name:","Име на компанията:"
"Company Legal Name:","Юридическо име на компанията:"
"Company Email:","Фирмен имейл:"
"VAT/TAX ID:","ДДС/ДАНЪК ID:"
"Re-seller ID:","ID на посредник:"
"Street Address:","Адрес на улица:"
"City:","Град:"
"Country:","Държава:"
"State/Province:","Област / Провинция:"
"ZIP/Postal Code:","Пощенски код:"
"Phone Number:","Телефонен номер:"
"Job Title:","Длъжност:"
"Email Address:","Имейл адрес:"
"Prefix:","Префикс:"
"First Name:","Собствено име:"
"Middle Name/Initial:","Бащино име:"
"Last Name:","Фамилия:"
"Suffix:","Суфикс:"
"Gender:","Пол:"
"Duplicated","Дублиран"
"Company Structure","Структура на компанията"
"Page not found.","Страницата не е намерена."
"Something went wrong.","Възникна грешка."
"New Company","Нова компания"
"Thank you! We're reviewing your request and will contact you soon","Благодаря Ви! Ще регледаме заявката ви и скоро ще се свържем с вас"
"An error occurred on the server. Your changes have not been saved.","Възникна грешка в сървъра. Промените не бяха запазени."
"Incorrect CAPTCHA","Неправилен CAPTCHA"
"Create New Company","Създаване на нова кампания"
"A total of %1 record(s) were updated.","Общо %1 запис(и) бяха актуализирани."
"Something went wrong. Please try again later.","Нещо се обърка. Моля, опитайте отново."
"Invalid value of ""%value"" provided for the email field.","Неваидна стойност ""%value"" в полето за имейл."
"Invalid value ""%value"" given for the website ID field.","Невалидна стойност ""%value"" е зададена за ID на сайт."
"You have deleted company %companyName.","Вие изтрихте компания %companyName."
"The company no longer exists.","Компанията вече не съществува."
"The requested company is not found","Търсената компания не е намерена"
"Please correct the data sent.","Моля коригирайте изпратените данни."
"can not be saved","не може да се съхрани"
"A total of %1 record(s) were deleted.","Общо %1 запис(и) са изтрити."
"Could not save company","Не може да запази компанията"
"You have saved company %companyName.","Вие съхранихте компания %companyName."
"You have created company %companyName.","Вие създадохте компания %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Клиент с този имейл адрес вече съществува в системата. Ако продължите, този потребител ще бъде свързан с вашата фирма."
"A user with this email address is already a member of your company.","Потрбител с този имейл адрес вече е член на вашата компания."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Потребител с този адрес вече съществува в системата. Задайте различен имейл адрес за новия потребител."
"You are not allowed to do this.","Не можете да направите това."
"Cannot create the customer.","Не можете да създадете клиента."
"The customer was successfully created.","Потребителят беше създаден успешно."
"You cannot delete yourself.","Не можете да се изтриете."
"Cannot delete this user.","Не можете да изтриете този потребител."
"The customer was successfully deleted.","Потребителят е изтрит."
"The customer was successfully updated.","Потребителят е обновен."
"Company Profile","Фирмен профил"
"The changes you made on the company profile have been successfully saved.","Промените направени в профила на копанията са успешно запаметени."
"You must fill in all required fields before you can continue.","Трябва да запълните всички полета преди да продължите."
"Bad Request","Лоша заявка"
"You have deleted role %companyRoleName.","Изтрихте ролята %companyRoleName."
"Add New Role","Добавяне на нова роля"
"Edit Role","Редактиране на роля"
"Roles and Permissions","Роли и Права"
"The tree retrieved successfully.","Дървото е възстановено успешно."
"The item was successfully moved.","Изделието е успешно преместено."
"The team was successfully deleted.","Групата е преместена успешно."
"The team was successfully updated.","Групата е успешно актуализирана."
"The team was successfully created.","Грпата е успешно създадена."
"Company Users","Потребители в компанията"
"A customer with the same email already assigned to company.","Клиент с този имейл вече е присъединен към компанията."
"Active","Активно"
"Pending Approval","Очаква одобрение"
"Rejected","Отхвърлена"
"Blocked","Блокирано"
"The company admin cannot be moved to a different location in the company structure.","Админитраторът на компанията не може да се мести в структурата на компанията."
"A user or a team cannot be moved under itself.","Потребител или група не може да се премести под себе си."
"A user or a team cannot be moved under its child user or team.","Потрбител и група не мога да се преместят под техни дъщерни потребители или групи."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","Посоченият родителски ID принадлежи на друга компания. Посочената единица (група или потребител) и новият родител трябва да принадлежат на същата компания."
"Unable to move customer structure.","Не може да се премести клиентската структура."
"Cannot delete company with id %1","Не може да изтрие компания с Ид %1"
"No company admin email is specified in request.","В заявката не е посочен имейл на компанията."
"No company admin website ID is specified in request.","В заявката не е посочен ID на админ сайта на компанията."
"No such entity with id = %idValue","Няма изделие с id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Потребителят %1 е Админ на компанията и не може да бъде деактивиран. Първо трябва да посочите друг потребител за Админ."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Не може да актуализирате заявения атрибут. Ред ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Некоректна стойност на атрибут. Не може да промените копманията на Админ на компания."
"Company admin","Админ на компания"
"Company user","Потребители в компанията"
"Individual user","Индивидуален потребител"
"Inactive","Неактивен"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Не може да се зададе ""разреши"" за ресурса, защото неговият родителски ресурс(и) са зададени като ""забрани""."
"Invalid login or password.","Невалидно потребителско име или парола."
"This account is locked.","Този профил е заключен."
"Your account is not yet approved. If you have questions, please contact the seller.","Вашият акаунт още не е одобрен. Ако имате въпроси, свържете се с продавача."
"There was an error saving custom attributes.","Възникна грешка при записване на специфични атрибути."
"Invalid value of ""%value"" provided for the %fieldName field.","Невалидно стойност на ""%value"" зададена от %fieldName поле."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължително. Въведете и опитайте пак."
"No such entity with %fieldName = %fieldValue","Няма такъв субект с %fieldName = %fieldValue"
