"Delete Customer","Klant verwijderen"
"Back","Terug"
"Delete Company","Bedrijf verwijderen"
"Reset","Resetten"
"Save","Opslaan"
"Save & Close","Opslaan & Sluiten"
"Companies","Bedrijven"
"Add New Company","Nieuw bedrijf toevoegen"
"(me)","(ik)"
"Company Name:","Bedrijfsnaam:"
"Company Legal Name:","Handelsnaam:"
"Company Email:","Bedrijfsemail:"
"VAT/TAX ID:","BTW-nummer:"
"Re-seller ID:","Verkoper ID:"
"Street Address:","Adres:"
"City:","Plaats:"
"Country:","Land:"
"State/Province:","Provincie:"
"ZIP/Postal Code:","Postcode:"
"Phone Number:","Telefoonnummer:"
"Job Title:","Functietitel:"
"Email Address:","Emailadres:"
"Prefix:","Voorvoegsel:"
"First Name:","Voornaam:"
"Middle Name/Initial:","Tussenvoegsel:"
"Last Name:","Achternaam:"
"Suffix:","Achtervoegsel:"
"Gender:","Geslacht:"
"Duplicated","Gedupliceerd"
"Company Structure","Bedrijfsstructuur"
"Page not found.","Pagina niet gevonden."
"Something went wrong.","Er is iets fout gegaan."
"New Company","Nieuw bedrijf"
"Thank you! We're reviewing your request and will contact you soon","Bedankt! We beoordelen je verzoek en nemen spoedig contact met je op"
"An error occurred on the server. Your changes have not been saved.","Er is een fout opgetreden op de server. Je wijzigingen zijn niet opgeslagen."
"Incorrect CAPTCHA","Onjuiste CAPTCHA"
"Create New Company","Nieuw bedrijf aanmaken"
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"Something went wrong. Please try again later.","Er ging iets mis. Probeer het later opnieuw."
"Invalid value of ""%value"" provided for the email field.","Ongeldige waarde voor ""%value"" opgegeven voor het e-mail veld."
"Invalid value ""%value"" given for the website ID field.","Ongeldige waarde voor ""%value"" opgegeven voor het website veld."
"You have deleted company %companyName.","Je hebt bedrijf %companyName verwijderd."
"The company no longer exists.","Het bedrijf bestaat niet meer."
"The requested company is not found","Het gevraagde bedrijf kan niet worden gevonden"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"can not be saved","kan niet worden opgeslagen"
"A total of %1 record(s) were deleted.","Een totaal van %1 veld(en) werden verwijderd."
"Could not save company","Het bedrijf kon niet worden opgeslagen"
"You have saved company %companyName.","Je hebt bedrijf %companyName opgeslagen."
"You have created company %companyName.","Je hebt bedrijf %companyName aangemaakt."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Een gebruiker met dit e-mailadres bestaat al in het systeem. Als je doorgaat, wordt de gebruiker gekoppeld aan je bedrijf."
"A user with this email address is already a member of your company.","Een gebruiker met dit e-mailadres is al lid van je bedrijf."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Een gebruiker met dit e-mailadres bestaat al in het systeem. Voer een ander e-mailadres in om deze gebruiker te maken."
"You are not allowed to do this.","Je bent niet bevoegd om dit te doen."
"Cannot create the customer.","Kan de klant niet aanmaken."
"The customer was successfully created.","De klant is succesvol aangemaakt."
"You cannot delete yourself.","Je kunt uzelf niet verwijderen."
"Cannot delete this user.","Kan deze gebruiker niet verwijderen."
"The customer was successfully deleted.","De klant was succesvol verwijderd."
"The customer was successfully updated.","De klant was succesvol bijgewerkt."
"Company Profile","Bedrijfsprofiel"
"The changes you made on the company profile have been successfully saved.","De wijzigingen die je in het bedrijfsprofiel hebt aangebracht zijn succesvol opgeslagen."
"You must fill in all required fields before you can continue.","Je moet alle verplichte velden invullen voordat je verder kunt gaan."
"Bad Request","Foute aanvraag"
"You have deleted role %companyRoleName.","Je hebt de rol %companyRoleName verwijderd."
"Add New Role","Nieuwe rol toevoegen"
"Edit Role","Wijzig rol"
"Roles and Permissions","Rollen en Rechten"
"The tree retrieved successfully.","De boom is succesvol opgehaald."
"The item was successfully moved.","Het item is succesvol verplaatst."
"The team was successfully deleted.","Het team is succesvol verwijderd."
"The team was successfully updated.","Het team is succesvol bijgewerkt."
"The team was successfully created.","Het team is succesvol aangemaakt."
"Company Users","Bedrijf gebruikers"
"A customer with the same email already assigned to company.","Een klant met hetzelfde e-mailadres is al gekoppeld aan een bedrijf."
"Active","Actief"
"Pending Approval","Wacht op goedkeuring"
"Rejected","Afgewezen"
"Blocked","Geblokkeerd"
"The company admin cannot be moved to a different location in the company structure.","De bedrijfsbeheerder kan niet worden verplaatst naar een andere locatie in de bedrijfsstructuur."
"A user or a team cannot be moved under itself.","Een gebruiker of een team kan niet onder zichzelf worden verplaatst."
"A user or a team cannot be moved under its child user or team.","Een gebruiker of een team kan niet worden verplaatst onder zijn onderliggende gebruiker of team."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","De opgegeven bovenliggende ID hoort bij een ander bedrijf. De opgegeven entiteit (team of gebruiker) en de nieuwe bovenliggende moeten tot hetzelfde bedrijf behoren."
"Unable to move customer structure.","Klantstructuur kan niet worden verplaatst."
"Cannot delete company with id %1","Kan bedrijf met ID %1 niet verwijderen"
"No company admin email is specified in request.","Er is geen e-mailadres van een bedrijfsbeheerder opgegeven in het verzoek."
"No company admin website ID is specified in request.","Er is geen bedrijfs-ID voor de bedrijfsbeheerder opgegeven in het verzoek."
"No such entity with id = %idValue","Geen dergelijke entiteit met ID = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","De gebruiker %1 is de bedrijfsbeheerder en kan niet worden ingesteld op inactief. Je moet eerst een andere gebruiker instellen als de bedrijfsbeheerder."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Je kunt het aangevraagde attribuut niet bijwerken. Rij-ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Ongeldig attribuut waarde. Kan bedrijf niet veranderen voor een bedrijfsbeheerder."
"Company admin","Bedrijfsbeheerder"
"Company user","Bedrijf gebruiker"
"Individual user","Individuele gebruiker"
"Inactive","Inactief"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Kan ""toestaan"" niet instellen voor de resource omdat de bovenliggende resource(s) is ingesteld op ""weigeren""."
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"This account is locked.","Dit account is geblokkeerd."
"Your account is not yet approved. If you have questions, please contact the seller.","Je account is nog niet goedgekeurd. Wanneer je vragen hebt kan je contact op nemen met de verkoper."
"There was an error saving custom attributes.","Er is een fout opgetreden bij het opslaan van handmatige attributen."
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is verplicht. Voer in en probeer het nogmaals."
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Deze rol kan niet worden verwijderd omdat gebruikers eraan zijn toegewezen. Wijs de gebruikers opnieuw toe aan een andere rol om door te gaan."
