"Delete Customer","顧客の削除"
"Back","戻る"
"Delete Company","会社を削除"
"Reset","リセット"
"Save","保存"
"Save & Close","保存と終了"
"Companies","会社"
"Add New Company","新しい会社を追加"
"(me)","（私）"
"Company Name:","会社名:"
"Company Legal Name:","会社の登録名:"
"Company Email:","会社Eメール:"
"VAT/TAX ID:","VAT/税ID:"
"Re-seller ID:","再販業者ID:"
"Street Address:","番地:"
"City:","市区町村:"
"Country:","国:"
"State/Province:","都道府県:"
"ZIP/Postal Code:","郵便番号:"
"Phone Number:","電話番号:"
"Job Title:","職名:"
"Email Address:","メールアドレス:"
"Prefix:","接頭辞:"
"First Name:","名:"
"Middle Name/Initial:","ミドルネーム/イニシャル:"
"Last Name:","姓:"
"Suffix:","サフィックス:"
"Gender:","性別:"
"Duplicated","複製"
"Company Structure","社内体制"
"Page not found.","ページが見つかりません。"
"Something went wrong.","問題が発生しました。"
"New Company","新しい会社"
"Thank you! We're reviewing your request and will contact you soon","ありがとうございました！リクエストを確認し、すぐにご連絡致します"
"An error occurred on the server. Your changes have not been saved.","サーバーでエラーが発生しました。 あなたの変更は保存されていません。"
"Incorrect CAPTCHA","不正なCAPTCHAです"
"Create New Company","新規会社を作成"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"Something went wrong. Please try again later.","問題が発生しました。後で再度お試し下さい。"
"Invalid value of ""%value"" provided for the email field.","メールフィールドに指定された ""%value"" の値が無効です。"
"Invalid value ""%value"" given for the website ID field.","ウェブサイトIDフィールドに与えられた ""%value"" は不正な値です。"
"You have deleted company %companyName.","会社 %companyName を削除しました。"
"The company no longer exists.","会社は存在しません。"
"The requested company is not found","要求された会社が見つかりません。"
"Please correct the data sent.","送信データを修正してください。"
"can not be saved","保存できません"
"A total of %1 record(s) were deleted.","合計 %1のレコードが削除されました。"
"Could not save company","会社を保存できませんでした"
"You have saved company %companyName.","会社 %companyName を保存しました。"
"You have created company %companyName.","会社 %companyName を作成しました。"
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","このメールアドレスを持つユーザーはすでにシステムに存在しています。 続行すると、ユーザーはあなたの会社にリンクされます。"
"A user with this email address is already a member of your company.","このメールアドレスのユーザーはすでにあなたの会社の社員です。"
"A user with this email address already exists in the system. Enter a different email address to create this user.","このメールアドレスを持つユーザーはすでにシステムに存在しています。 このユーザーを作成するために、別のメールアドレスを入力してください。"
"You are not allowed to do this.","この操作は許可されていません"
"Cannot create the customer.","顧客を作成できません"
"The customer was successfully created.","顧客は正常に作成されました。"
"You cannot delete yourself.","自分自身を削除することはできません。"
"Cannot delete this user.","このユーザーを削除できません"
"The customer was successfully deleted.","顧客が正常に削除されました。"
"The customer was successfully updated.","顧客は正常に更新されました。"
"Company Profile","会社概要"
"The changes you made on the company profile have been successfully saved.","会社概要に加えた変更は正常に保存されました。"
"You must fill in all required fields before you can continue.","続行する前に、必要なすべてのフィールドに記入する必要があります。"
"Bad Request","不正なリクエスト"
"You have deleted role %companyRoleName.","権限 %companyRoleName を削除しました。"
"Add New Role","新しい権限の追加"
"Edit Role","権限の編集"
"Roles and Permissions","ロールとパーミッション"
"The tree retrieved successfully.","ツリーが正常に取得されました。"
"The item was successfully moved.","商品は正常に移動されました。"
"The team was successfully deleted.","チームが正常に削除されました。"
"The team was successfully updated.","チームが正常に更新されました。"
"The team was successfully created.","チームが正常に作成されました。"
"Company Users","会社のユーザー"
"A customer with the same email already assigned to company.","同じメールを持つ顧客が既に会社に割り当てられています。"
"Active","アクティブ"
"Pending Approval","承認待ち"
"Rejected","拒否済"
"Blocked","ブロック済み"
"The company admin cannot be moved to a different location in the company structure.","会社管理者は、社内体制を別の場所に移動することはできません。"
"A user or a team cannot be moved under itself.","ユーザーまたはチームは、それ自身の下には移動できません。"
"A user or a team cannot be moved under its child user or team.","ユーザーまたはチームは、その子ユーザーまたはその子チームの下には移動できません。"
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","指定された親IDは別の会社に属しています。 指定されたエンティティ（チームまたはユーザー）とその新しい親は、同じ会社に属している必要があります。"
"Unable to move customer structure.","顧客構造を移動できません"
"Cannot delete company with id %1","id %1の会社を削除できません"
"No company admin email is specified in request.","リクエストに会社管理者のメールが指定されていません。"
"No company admin website ID is specified in request.","リクエストに会社管理者のウェブサイトIDが指定されていません。"
"No such entity with id = %idValue","id = %idValue のようなエンティティはありません。"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","ユーザー %1 は会社の管理者であり、未アクティブに設定することができません。最初に会社のアドミンとして別のユーザーを設定して下さい。"
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","要求された属性を更新できません。行ID: %fieldName = %fieldValue"
"Invalid attribute value. Cannot change company for a company admin.","不正な属性値です。会社と会社管理者を交換することはできません。"
"Company admin","会社管理者"
"Company user","会社のユーザー"
