"Delete Customer","Müşteriyi Sil"
"Back","Geri"
"Delete Company","Firmayı Sil"
"Reset","Sıfırla"
"Save","Kaydet"
"Save & Close","Kaydet ve Kapat"
"Companies","Firmalar"
"Add New Company","Yeni Firma Ekle"
"(me)","(bana)"
"Company Name:","Firma Adı:"
"Company Legal Name:","Firma Yasal Adı:"
"Company Email:","Firma E-posta:"
"VAT/TAX ID:","Vergi No:"
"Re-seller ID:","Bayi ID:"
"Street Address:","Posta Adresi:"
"City:","İlçe:"
"Country:","Ülke:"
"State/Province:","İl:"
"ZIP/Postal Code:","Posta Kodu:"
"Phone Number:","Telefon Numarası:"
"Job Title:","İş Ünvanı:"
"Email Address:","E-posta Adresi:"
"Prefix:","Öntakı:"
"First Name:","Adı:"
"Middle Name/Initial:","İkinci Ad / Başlangıç:"
"Last Name:","Soyadı:"
"Suffix:","Sontakı:"
"Gender:","Cinsiyet:"
"Duplicated","Kopyalandı"
"Company Structure","Firma Yapısı"
"Page not found.","Sayfa bulunamadı."
"Something went wrong.","Birşeyler ters gitti."
"New Company","Yeni Firma"
"Thank you! We're reviewing your request and will contact you soon","Teşekkür ederim! İsteğinizi inceliyoruz ve en kısa zamanda sizinle iletişim kuracağız"
"An error occurred on the server. Your changes have not been saved.","Sunucuda bir hata oluştu. Değişiklikleriniz kaydedilmedi."
"Incorrect CAPTCHA","Yanlış CAPTCHA"
"Create New Company","Yeni Firma Ekle"
"A total of %1 record(s) were updated.","Toplam %1 kayıt(lar) güncellendi."
"Something went wrong. Please try again later.","Bir şeyler ters gitti. Lütfen tekrar deneyin."
"Invalid value of ""%value"" provided for the email field.","E-posta alanı için girilen ""%value"" değeri hatalı."
"Invalid value ""%value"" given for the website ID field.","Web site ID alanı için girilen ""%value"" değeri hatalı."
"You have deleted company %companyName.","%companyName firması silindi."
"The company no longer exists.","Firma artık mevcut değil."
"The requested company is not found","Sorgulanan firma bulunamadı"
"Please correct the data sent.","Hatalı girişleri düzeltiniz."
"can not be saved","kaydedilemedi"
"A total of %1 record(s) were deleted.","Toplam %1 kayıt(lar) silindi."
"Could not save company","Firma kaydedilemiyor"
"You have saved company %companyName.","%companyName firması kaydedildi."
"You have created company %companyName.","%companyName firması eklendi."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Bu e-posta adresine sahip bir kullanıcı sistemde zaten var. Devam ederseniz, kullanıcı firmanıza bağlanır."
"A user with this email address is already a member of your company.","Bu e-posta adresine sahip kullanıcı zaten firmanızın bir üyesi."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Bu e-posta adresine sahip bir kullanıcı sistemde zaten var. Bu kullanıcıyı oluşturmak için farklı bir e-posta adresi girin."
"You are not allowed to do this.","Bunu yapmanıza izin verilmiyor."
"Cannot create the customer.","Müşteri eklenemiyor."
