"Delete Customer","ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಿ"
"Back","ಹಿಂದೆ"
"Delete Company","ಸಂಸ್ಥೆಯನ್ನು ಅಳಿಸಿ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Save","ಉಳಿಸಿ"
"Save & Close","ಉಳಿಸಿ & ಮುಚ್ಚಿರಿ"
"Companies","ಸಂಸ್ಥೆಗಳು"
"Add New Company","ಹೊಸ ಸಂಸ್ಥೆಯನ್ನು ಸೇರಿಸಿ"
"(me)","(me)"
"Company Name:","ಸಂಸ್ಥೆಯ ಹೆಸರು:"
"Company Legal Name:","ಸಂಸ್ಥೆಯ ಕಾನೂನುಬದ್ಧ ಹೆಸರು:"
"Company Email:","ಸಂಸ್ಥೆಯ ಮಿಂಚೆ:"
"VAT/TAX ID:","VAT/TAX ID:"
"Re-seller ID:","ಮರುಮಾರಾಟಗಾರರ ಐಡಿ:"
"Street Address:","ಬೀದಿ ವಿಳಾಸ:"
"City:","ನಗರ:"
"Country:","ದೇಶ:"
"State/Province:","ರಾಜ್ಯ:"
"ZIP/Postal Code:","ಪಿನ್ ಕೋಡ್:"
"Phone Number:","ದೂರವಾಣಿ ಸಂಖ್ಯೆ:"
"Job Title:","ಹುದ್ದೆಯ ಹೆಸರು:"
"Email Address:","ಮಿಂಚೆ ವಿಳಾಸ:"
"Prefix:","ಪೂರ್ವಪ್ರತ್ಯಯ:"
"First Name:","ಮೊದಲ ಹೆಸರು:"
"Middle Name/Initial:","ಮಧ್ಯದ ಹೆಸರು/ಇನಿಶಿಯಲ್ಲು:"
"Last Name:","ಕೊನೆಯ ಹೆಸರು:"
"Suffix:","ಅಂತ್ಯ ಪ್ರತ್ಯಯ:"
"Gender:","ಲಿಂಗ:"
"Duplicated","ನಕಲಿಸಿದೆ"
"Company Structure","ಸಂಸ್ಥೆಯ ರಚನೆ"
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"Something went wrong.","ಯಾವುದೋ ತಪ್ಪು ಸಂಭವಿಸಿದೆ."
"New Company","ಹೊಸ ಸಂಸ್ಥೆ"
"Thank you! We're reviewing your request and will contact you soon","ಧನ್ಯವಾದಗಳು! ನಾವು ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇವೆ ಮತ್ತು ಶೀಘ್ರದಲ್ಲಿ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತೇವೆ"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"Incorrect CAPTCHA","ಅಸಿಂಧುವಾದ CAPTCHA"
"Create New Company","ಹೊಸ ಸಂಸ್ಥೆಯನ್ನು ರಚಿಸಿ"
