"Delete Customer","Eliminar Cliente"
"Back","Atrás"
"Delete Company","Eliminar Empresa"
"Reset","Restablecer"
"Save","Guardar"
"Save & Close","Guardar Y Cerrar"
"Companies","Empresas"
"Add New Company","Agregar Nueva Empresa"
"(me)","(yo)"
"Company Name:","Nombre de la empresa:"
"Company Legal Name:","Nombre Legal de la Empresa:"
"Company Email:","Correo electrónico de la empresa:"
"VAT/TAX ID:","IVA/IMP ID:"
"Re-seller ID:","ID de Distribuidor:"
"Street Address:","Dirección:"
"City:","Ciudad:"
"Country:","País:"
"State/Province:","Estado/Provincia:"
"ZIP/Postal Code:","Código Postal:"
"Phone Number:","Número de teléfono:"
"Job Title:","Puesto:"
"Email Address:","Correo electrónico:"
"Prefix:","Prefijo:"
"First Name:","Nombre:"
"Middle Name/Initial:","Segundo Nombre/Inicial:"
"Last Name:","Apellidos:"
"Suffix:","Sufijo:"
"Gender:","Género:"
"Duplicated","Duplicado"
"Company Structure","Estructura de la empresa"
"Page not found.","Página no encontrada."
"Something went wrong.","Algo salió mal."
"New Company","Nueva empresa"
"Thank you! We're reviewing your request and will contact you soon","¡Gracias! Estamos revisando su solicitud y nos pondremos en contacto con usted pronto"
"An error occurred on the server. Your changes have not been saved.","Se ha producido un error en el servidor. Sus cambios no se han guardado."
"Incorrect CAPTCHA","CAPTCHA incorrecto"
"Create New Company","Crear Nueva Empresa"
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"Something went wrong. Please try again later.","Algo salió mal. Por favor, inténtelo de nuevo más tarde."
"Invalid value of ""%value"" provided for the email field.","Valor no válido de ""%value"" proporcionado para el campo de correo electrónico."
"Invalid value ""%value"" given for the website ID field.","Valor invalido ""%value"" para el campo pagina web."
"You have deleted company %companyName.","Has eliminado la empresa %companyName."
"The company no longer exists.","La empresa ya no existe."
"The requested company is not found","No se ha encontrado la empresa solicitada"
"Please correct the data sent.","Por favor, corrija los datos enviados."
"can not be saved","no puede ser guardado"
"A total of %1 record(s) were deleted.","Un total de %1 registro(s) fueron eliminados."
"Could not save company","No se pudo guardar la empresa"
"You have saved company %companyName.","Has guardado la empresa %companyName."
"You have created company %companyName.","Has creado la empresa %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Un usuario con esta dirección de correo electrónico ya existe en el sistema. Si procede, el usuario se vinculará a su empresa."
"A user with this email address is already a member of your company.","Un usuario con esta dirección de correo electrónico ya es un miembro de su empresa."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Un usuario con esta dirección de correo electrónico ya existe en el sistema. Escriba una dirección de correo electrónico diferente para crear este usuario."
"You are not allowed to do this.","No tiene permitido hacer esto."
"Cannot create the customer.","No se puede crear el cliente."
"The customer was successfully created.","El cliente fue creado exitosamente."
"You cannot delete yourself.","No puedes eliminarte a ti mismo."
"Cannot delete this user.","No se puede eliminar este usuario."
"The customer was successfully deleted.","El cliente fue eliminado exitosamente."
"The customer was successfully updated.","El cliente fue actualizado exitosamente."
"Company Profile","Perfil de la empresa"
