"Delete Customer","Elimina cliente"
"Back","Indietro"
"Delete Company","Elimina Azienda"
"Reset","Reimposta"
"Save","Salva"
"Save & Close","Salva & Chiudi"
"Companies","Aziende"
"Add New Company","Aggiungi nuova azienda"
"(me)","(me)"
"Company Name:","Denominazione:"
"Company Legal Name:","Ragione Sociale:"
"Company Email:","Email azienda:"
"VAT/TAX ID:","P.IVA/Tax ID:"
"Re-seller ID:","ID Rivenditore:"
"Street Address:","Indirizzo:"
"City:","Città:"
"Country:","Paese:"
"State/Province:","Stato/Provincia:"
"ZIP/Postal Code:","CAP:"
"Phone Number:","Numero di telefono:"
"Job Title:","Qualifica:"
"Email Address:","Indirizzo Email:"
"Prefix:","Prefisso:"
"First Name:","Nome:"
"Middle Name/Initial:","Secondo nome/Iniziali:"
"Last Name:","Cognome:"
"Suffix:","Suffisso:"
"Gender:","Sesso:"
"Duplicated","Duplicato"
"Company Structure","Struttura aziendale"
"Page not found.","Pagina non trovata."
"Something went wrong.","Qualcosa è andato storto."
"New Company","Nuova Azienda"
"Thank you! We're reviewing your request and will contact you soon","Grazie! Stiamo controllando la tua richiesta, vi contatteremo presto"
"An error occurred on the server. Your changes have not been saved.","Si è verificato un errore sul server. Le modifiche non sono state salvate."
"Incorrect CAPTCHA","CAPTCHA errato"
"Create New Company","Crea nuova azienda"
"A total of %1 record(s) were updated.","Un totale di %1 record(s) sono stati aggiornati."
"Something went wrong. Please try again later.","Qualcosa è andato storto. Riprova di nuovo."
"Invalid value of ""%value"" provided for the email field.","Valore non valido di ""% valore"" fornito per il campo email."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
"You have deleted company %companyName.","Hai cancellato l'azienda %companyName."
"The company no longer exists.","L'azienda non esiste più."
"The requested company is not found","L'azienda richiesta non è stata trovata"
"Please correct the data sent.","Si prega di correggere i dati inviati."
"can not be saved","non può essere salvato"
"A total of %1 record(s) were deleted.","%1 record eliminato/i."
"Could not save company","Non è possibile salvare l'azienda"
"You have saved company %companyName.","Hai salvato l'azienda %companyName."
"You have created company %companyName.","Hai creato l'azienda %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Un utente con questo indirizzo email esiste già nel sistema. Scegliendo di continuare, questo utente verrà collegato alla tua azienda."
"A user with this email address is already a member of your company.","Un utente con questo nome risulta già essere un membro della tua azienda."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Un utente con questo indirizzo email esiste già nel sistema. Inserisci un indirizzo email differente per creare l'utente."
"You are not allowed to do this.","Non è consentito eseguire questa operazione."
"Cannot create the customer.","Impossibile creare il cliente."
"The customer was successfully created.","Cliente creato con successo."
"You cannot delete yourself.","Non puoi eliminare te stesso."
"Cannot delete this user.","Non è possibile eliminare questo utente."
"The customer was successfully deleted.","Cliente eliminato con successo."
"The customer was successfully updated.","Cliente aggiornato con successo."
"Company Profile","Profilo Aziendale"
"The changes you made on the company profile have been successfully saved.","Le modifiche apportate al profilo aziendale sono state salvate correttamente."
"You must fill in all required fields before you can continue.","Devi compilare tutti i campi richiesti prima di continuare."
"Bad Request","Richiesta non valida"
"You have deleted role %companyRoleName.","Hai eliminato il ruolo di %companyRoleName."
"Add New Role","Aggiungi Nuovo Ruolo"
"Edit Role","Modifica Ruolo"
"Roles and Permissions","Ruolo e Permessi"
"The tree retrieved successfully.","Gerarchia recuperata con successo."
"The item was successfully moved.","L'elemento è stato spostato con successo."
"The team was successfully deleted.","L'elemento è stato eliminato con successo."
"The team was successfully updated.","L'elemento è stato aggiornato con successo."
"The team was successfully created.","La squadra è stata creata con successo."
"Company Users","Utenti Aziendali"
"A customer with the same email already assigned to company.","Un cliente con lo stesso indirizzo email già assegnato all'azienda."
"Active","Attiva"
"Pending Approval","In Attesa di Approvazione"
"Rejected","Rifiutato"
"Blocked","Bloccato"
