"Delete Customer","Supprimer client"
"Back","Retour"
"Delete Company","Supprimer l'entreprise"
"Reset","Réinitialiser"
"Save","Sauvegarder"
"Save & Close","Sauvegarder & Fermer"
"Companies","Entreprises"
"Add New Company","Ajouter une nouvelle entreprise"
"(me)","(moi)"
"Company Name:","Nom de l'entreprise :"
"Company Legal Name:","Dénomination sociale de l’entreprise :"
"Company Email:","E-mail de l'entreprise :"
"VAT/TAX ID:","Numéro de TVA :"
"Re-seller ID:","Identifiant du revendeur :"
"Street Address:","Adresse :"
"City:","Ville :"
"Country:","Pays :"
"State/Province:","État/région :"
"ZIP/Postal Code:","Code postal :"
"Phone Number:","Numéro de téléphone :"
"Job Title:","Nom du poste :"
"Email Address:","Adresse mail :"
"Prefix:","Préfixe :"
"First Name:","Prénom :"
"Middle Name/Initial:","Deuxième prénom / Initiale :"
"Last Name:","Nom :"
"Suffix:","Suffixe :"
"Gender:","Sexe :"
"Duplicated","Dupliqué"
"Company Structure","Structure de l’entreprise"
"Page not found.","Page introuvable."
"Something went wrong.","Un problème est survenu."
"New Company","Nouvelle entreprise"
"Thank you! We're reviewing your request and will contact you soon","Merci ! Nous allons étudier votre requête et nous vous contacterons bientôt"
"An error occurred on the server. Your changes have not been saved.","Une erreur s’est produite sur le serveur. Vos modifications n’ont pas été enregistrées."
"Incorrect CAPTCHA","CAPTCHA incorrect"
"Create New Company","Créer une nouvelle entreprise"
"A total of %1 record(s) were updated.","%1 enregistrement(s) ont été mis à jour."
"Something went wrong. Please try again later.","Une erreur s'est produite. Merci d'essayer ultérieurement."
"Invalid value of ""%value"" provided for the email field.","Valeur non valide ""%value"" fournie pour le champ email."
"Invalid value ""%value"" given for the website ID field.","Valeur non valide ""%value"" fournie pour le champ ID de site web (website ID)."
"You have deleted company %companyName.","Vous avez supprimé l'entreprise %companyName."
"The company no longer exists.","L'entreprise n'existe plus."
"The requested company is not found","L'entreprise demandée n'a pas été trouvée"
"Please correct the data sent.","Merci de corriger les données envoyées."
"can not be saved","ne peut pas être enregistré"
"A total of %1 record(s) were deleted.","%1 enregistrement(s) ont été effacés."
"Could not save company","Impossible de sauvegarder l'entreprise"
"You have saved company %companyName.","Vous avez enregistré l'entreprise %companyName."
"You have created company %companyName.","Vous avez créé l'entreprise %companyName."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Un utilisateur ayant cette adresse email existe déjà dans le système. Si vous continuez, cet utilisateur sera rattaché à votre entreprise."
"A user with this email address is already a member of your company.","Un utilisateur ayant cette adresse email est déjà un membre de votre entreprise."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Un utilisateur ayant cette adresse email existe déjà dans le système. Entrez une adresse email différente pour créer cet utilisateur."
"You are not allowed to do this.","Vous n'êtes pas autorisé à faire cela."
"Cannot create the customer.","Impossible de créer le client."
"The customer was successfully created.","Le client a été créé avec succès."
"You cannot delete yourself.","Vous ne pouvez pas vous supprimer vous-même."
"Cannot delete this user.","Impossible de supprimer cet utilisateur."
"The customer was successfully deleted.","Le client a été supprimé avec succès."
"The customer was successfully updated.","Le client a été mis à jour avec succès."
"Company Profile","Profil de l’entreprise"
"The changes you made on the company profile have been successfully saved.","Les modifications apportées sur le profil de la société ont été enregistrées avec succès."
"You must fill in all required fields before you can continue.","Vous devez renseigner tous les champs obligatoires avant de pouvoir continuer."
"Bad Request","Requête Incorrecte"
"You have deleted role %companyRoleName.","Vous avez supprimé le rôle %companyRoleName."
"Add New Role","Ajouter un nouveau rôle"
"Edit Role","Modifier le rôle"
"Roles and Permissions","Rôles et permissions"
"The tree retrieved successfully.","La structure a été récupérée avec succès."
"The item was successfully moved.","L'article a été déplacé avec succès."
"The team was successfully deleted.","L'équipe a été supprimée avec succès."
"The team was successfully updated.","L'équipe a été mise à jour avec succès."
"The team was successfully created.","L'équipe a été créée avec succès."
"Company Users","Utilisateurs de l’entreprise"
"A customer with the same email already assigned to company.","Un client avec la même adresse email est déjà attribué à la société."
"Active","Actif"
"Pending Approval","En attente d'approbation"
"Rejected","Rejeté"
"Blocked","Bloqué"
"The company admin cannot be moved to a different location in the company structure.","L’administrateur de la société ne peut pas être déplacé vers un autre emplacement dans la structure de la société."
"A user or a team cannot be moved under itself.","Un utilisateur ou une équipe ne peut pas être déplacée sous lui-même."
"A user or a team cannot be moved under its child user or team.","Un utilisateur ou une équipe ne peut pas être déplacée sous ses sous-niveaux d'utilisateurs ou d'équipe."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","L’identifiant spécifié du niveau supérieur appartient à une autre société. L’entité spécifiée (équipe ou utilisateur) et son nouveau niveau supérieur doivent appartenir à la même société."
"Unable to move customer structure.","Impossible de déplacer la structure client."
"Cannot delete company with id %1","Impossible de supprimer la société ayant l'identifiant %1"
"No company admin email is specified in request.","L'adresse email de l'administrateur de la société n'est pas mentionnée dans la requête."
"No company admin website ID is specified in request.","Aucun identifiant du site web d'administration de l'entreprise n'est spécifié dans la requête."
"No such entity with id = %idValue","Pas d'entité ayant id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","L'utilisateur %1 est l’administrateur de la société et ne peut pas être défini comme inactif. Vous devez tout d’abord définir un autre utilisateur comme administrateur de la société."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Vous ne pouvez pas mettre à jour l’attribut requis. ID de la ligne : %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Valeur d’attribut non valide. On ne peut pas changer la société pour un administrateur de société."
"Company admin","Administrateur de la société"
"Company user","Utilisateur de la société"
"Individual user","Utilisateur individuel"
"Inactive","Inactif"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Impossible de définir « autoriser » pour la ressource, car ses ressources du niveau supérieur sont définies comme « refuser »."
