"Attribute Properties","Egenskaber for attribut"
"Default Label","Default Label"
"Default label","Default label"
"Attribute Code","Attribut kode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette bruges internt. Kontroller, at du ikke bruger mellemrum eller mere end %1 symboler."
"Catalog Input Type for Store Owner","Katalog input type for forretningsejer"
"Values Required","Values Required"
"Default Value","Standardværdi"
"Unique Value","Unik værdi"
"Unique Value (not shared with other products)","Unik værdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Input validering for butiksejeren"
"Required","Påkrævet"
"Yes","Ja"
"No","Nej"
"System","System"
"None","Ingen"
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
"Email","E-mail"
"URL","URL"
"Letters","Breve"
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Attribute object is undefined","Attribute object is undefined"
"Entity object is undefined","Entity object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" indeholder ikke-alfabetiske eller ikke-numeriske tegn."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" indeholder ikke-numeriske tegn."
"""%1"" contains non-alphabetic characters.","""%1"" indeholder ikke-alfabetiske tegn."
"""%1"" is not a valid email address.","""%1"" er ikke en gyldig e-mailadresse."
"""%1"" is not a valid hostname.","""%1"" er ikke et gyldigt værtsnavn."
"""%1"" uses too many characters.","""%1"" bruger alt for mange tegn."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ligner en IP-adresse ikke er en acceptabel format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' ligner en DNS-værtsnavn, men indeholder en bindestreg i en ugyldig placering."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ligner en DNS-værtsnavn, men vi kan ikke matche det mod hostname skema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ligner en DNS-værtsnavn, men kan ikke udtrække TLD del."
"'%value%' does not look like a valid local network name.","'%value%' ligner ikke en gyldig lokale netværksnavn."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ligner en lokale netværksnavn, der ikke er et acceptabelt format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' synes at være en DNS-værtsnavn, men givet punycode notation kan ikke afkodes."
"""%1"" is not a valid URL.","""%1"" er ikke en gyldig URL-adresse."
"""%1"" is not a valid date.","""%1"" er ikke en gyldig dato."
"""%1"" does not fit the entered date format.","""%1"" passer ikke det angivne datoformat."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Indtast en gyldig dato mellem %1 og %2 på %3."
"Please enter a valid date equal to or greater than %1 at %2.","Indtast en gyldig dato lig med eller større end %1 på %2."
"Please enter a valid date less than or equal to %1 at %2.","Indtast en gyldig dato, mindre end eller lig %1 på %2."
"""%1"" is not a valid file extension.","""%1"" er ikke en gyldig filendelse."
"""%1"" is not a valid file.","""%1"" er ikke en gyldig fil."
"""%1"" exceeds the allowed file size.","""%1"" overstiger den tilladte filstørrelse."
"""%1"" is not a valid image format","""%1"" is not a valid image format"
"""%1"" width exceeds allowed value of %2 px.","""%1"" bredde overstiger tilladte værdi af %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" højde overstiger tilladte værdi af %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" cannot contain more than %2 lines."
"""%1"" length must be equal or greater than %2 characters.","""%1"" længde skal være lig med eller større end %2 tegn."
