"Attribute Properties","ગુણધર્મો ગુણધર્મો"
"Default Label","ડિફોલ્ટ લેબલ"
"Default label","ડિફોલ્ટ લેબલ"
"Attribute Code","એટ્રિબ્યુટ કોડ"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","આનો ઉપયોગ આંતરિક રીતે થાય છે. ખાતરી કરો કે તમે ખાલી જગ્યાઓ અથવા %1 થી વધુ પ્રતીકોનો ઉપયોગ નથી કરતા."
"Catalog Input Type for Store Owner","સ્ટોર માલિક માટે કેટલોગ ઇનપુટ પ્રકાર"
"Values Required","મૂલ્યો આવશ્યક છે"
"Default Value","ડિફaultલ્ટ મૂલ્ય"
"Unique Value","અનન્ય મૂલ્ય"
"Unique Value (not shared with other products)","અનન્ય મૂલ્ય (અન્ય ઉત્પાદનો સાથે વહેંચાયેલું નથી)"
"Not shared with other products.","અન્ય ઉત્પાદનો સાથે શેર કરેલ નથી."
"Input Validation for Store Owner","સ્ટોર માલિક માટે ઇનપુટ માન્યતા"
"Required","જરૂરી"
"Yes","હા"
"No","ના"
"System","સિસ્ટમ"
"None","કંઈ નહીં"
"Decimal Number","દશાંશ નંબર"
"Integer Number","પૂર્ણાંક નંબર"
"Email","ઇમેઇલ"
"URL","URL"
"Letters","અક્ષરો"
"Letters (a-z, A-Z) or Numbers (0-9)","લેટર્સ (એ-ઝેડ, એ-ઝેડ) અથવા સંખ્યાઓ (0-9)"
"Text Field","ટેક્સ્ટ ફીલ્ડ"
"Text Area","ટેક્સ્ટ ક્ષેત્ર"
"Date","તારીખ"
"Yes/No","હા નાં"
"Multiple Select","મલ્ટીપલ સિલેક્ટ"
"Dropdown","નીચે આવતા"
"Input type ""%value%"" not found in the input types list.","ઇનપુટ પ્રકાર ""%value%"" ઇનપુટ પ્રકારો સૂચિમાં મળ્યું નથી."
"Attribute object is undefined","લક્ષણ objectબ્જેક્ટ અસ્પષ્ટ છે"
"Entity object is undefined","એન્ટિટી objectબ્જેક્ટ અસ્પષ્ટ છે"
"""%1"" invalid type entered.","""%1"" અમાન્ય પ્રકાર દાખલ કર્યો."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" માં બિન-આલ્ફાબેટીક અથવા ન nonન્યુમેરિક અક્ષરો શામેલ છે."
"""%1"" is an empty string.","""%1"" એ ખાલી શબ્દમાળા છે."
"""%1"" contains non-numeric characters.","""%1"" માં અ-આંકડાકીય અક્ષરો શામેલ છે."
"""%1"" contains non-alphabetic characters.","""%1"" માં મૂળાક્ષર સિવાયના અક્ષરો શામેલ છે."
"""%1"" is not a valid email address.","""%1"" એ માન્ય ઇમેઇલ સરનામું નથી."
"""%1"" is not a valid hostname.","""%1"" એ માન્ય હોસ્ટનામ નથી."
"""%1"" uses too many characters.","""%1"" ઘણા બધા અક્ષરોનો ઉપયોગ કરે છે."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' એ IP સરનામાં જેવો દેખાય છે, જે સ્વીકાર્ય બંધારણ નથી."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' DNS હોસ્ટનામ જેવું લાગે છે પરંતુ અમે જાણીતી સૂચિની વિરુદ્ધ TLD સાથે મેચ કરી શકતા નથી."
