"Attribute Properties","Attribuut-eigenschappen"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt een DNS hostname maar bevat een streepje in een ongeldige positie."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format","""%1"" is geen geldig formaat voor afbeeldingen"
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" mag niet meer dan %2 regels bevatten."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn."
"Attribute group does not belong to provided attribute set","Attribuut groep behoort niet tot de opgegeven attribuut set"
"Cannot save attributeGroup","Kan de attributeGroup niet opslaan"
"Group with id ""%1"" does not exist.","Groep met id ""%1"" bestaat niet."
"Cannot delete attributeGroup with id %1","Kan de attribuutgroep met id %1 niet verwijderen"
"AttributeSet with id ""%1"" does not exist.","Attributenset met id ""%1"" bestaat niet."
"Wrong attribute set id provided","Verkeerde attributenset id opgegeven"
"Attribute group does not belong to attribute set","Attribuut groep behoort niet to attribuut set"
"Attribute set not found: %1","Attribuutset %1 kan niet worden gevonden"
"Attribute ""%1"" not found in attribute set %2.","Attribuut ""%1"" werd niet gevonden in attribuut set %2."
"System attribute can not be deleted","Systeem attribuut kan niet worden verwijderd"
"Cannot save attribute","Kan attribuut niet opslaan"
"Attribute with attributeCode ""%1"" does not exist.","Attribuut met attributeCode ""%1"" werd niet gevonden."
"Cannot delete attribute.","Verwijderen van attribute kan niet."
"Attribute with id ""%1"" does not exist.","Kenmerk met id ""%1"" bestaat niet."
"There was an error saving attribute set.","Er was een fout bij het opslaan van de attribuut set."
"Default attribute set can not be deleted","De standaard attribuut set kan niet worden verwijderd"
"There was an error deleting attribute set.","Er was een fout bij het verwijderen van de attribuut set."
"Invalid entity_type specified: %1","Ongeldige entity_type opgegeven: %1"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"Unknown parameter","Onbekende parameter"
"Unique constraint violation found","Unique constraint violation gevonden"
"The attribute code '%1' is reserved by system. Please try another attribute code","De attribuut code '%1' is gereserveerd door het systeem. Probeer een andere attribuut code"
"An attribute code must not be more than %1 characters.","Een attribuutcode mag niet meer dan %1 karakters zijn."
"Invalid default decimal value","Ongeldige standaard decimale waarde"
"Invalid default date","Ongeldige standaard datum"
"Invalid entity supplied","Ongeldige entiteit opgegeven"
"Invalid backend model specified: %1","Ongeldig backend model opgegeven: %1"
"Source model ""%1"" not found for attribute ""%2""","Bron model ""%1"" niet gevonden voor attribuut ""%2"""
"The value of attribute ""%1"" must be set","De waarde van attribuut ""%1"" moet ingesteld worden"
"The value of attribute ""%1"" must be unique","De waarde van attribuut ""%1"" moet uniek zijn"
"Invalid date","Ongeldige datum"
"Empty attribute code","Lege attribuut code"
"Attribute %1 doesn't work with options","Attribuut %1 werkt niet met opties"
"Cannot save attribute %1","Attribuut %1 kan niet worden opgeslagen"
"Attribute %1 doesn't have any option","Attribuut %1 heeft geen enkele optie"
"Cannot load options for attribute %1","Kan opties voor attribuut %1 niet laden"
"Attribute %1 does not contain option with Id %2","Attribuut %1 heeft geen optie met Id %2"
"Entity attribute with id ""%1"" not found","Atribuut met ID ""%1"" niet gevonden"
"Attribute set name is empty.","Attribuutset naam is leeg."
"An attribute set named ""%1"" already exists.","Attribuut-set ""%1"" bestaat al."
"No options found.","Geen opties gevonden."
"label","label"
"Invalid entity supplied: %1","Ongeldige entiteit opgegeven: %1"
"Attempt to add an invalid object","Poging om een ongeldig object toe te voegen"
"Invalid attribute identifier for filter (%1)","Ongeldige attribuut-identifier voor filter (%1)"
"Invalid attribute requested: %1","Ongeldig attribuut opgevraagd: %1"
"Joint field or attribute expression with this alias is already declared","Gezamenlijk veld of attribuut expressie met deze alias is al afgekondigd"
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in gejoinde attributen"
"Invalid foreign key","Ongeldige referentiesleutel"
"Invalid entity type","Ongeldig entiteittype"
"Invalid attribute type","Ongeldig attribuuttype"
"A joined field with this alias is already declared.","Gekoppeld veld met deze alias bestaat al."
"Invalid joint fields","Invalid joint fields"
"A joint field with this alias (%1) is already declared.","Een joint-field met deze alias (%1) is al gedeclareerd."
"Data integrity: No header row found for attribute","Data-integriteit: Geen header-rij gevonden voor attribuut"
"Invalid attribute name: %1","Ongeldige attribuutnaam: %1"
"Invalid character encountered in increment ID: %1","Ongeldig teken in oplopend ID: %1"
"The current module pathname is undefined.","De huidige module padnaam is niet gedefinieerd."
"The current module EAV entity is undefined.","De huidige module EAV entiteit is undefined."
"The form code is not defined.","Code voor het formulier is niet gedefinieerd."
"The entity instance is not defined.","Het exemplaar van de entiteit is niet gedefinieerd."
"Invalid form type.","Ongeldig formuliertype."
"Invalid EAV attribute","Ongeldigde EAV-attribuut"
"Attribute with the same code","Attribuut met dezelfde code"
"The storefront label is not defined.","Het storefront label is niet gedefinieerd."
"Default option value is not defined","Waarde van standaard-optie is niet gedefinieerd"
"Attribute group with same code already exist. Please rename ""%1"" group","Er bestaan reeds een kenmerkgroep met dezelfde code. Wijzig de ""%1"" groep"
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"The value of attribute ""%1"" is invalid.","De waarde van attribuut '%1' is ongeldig."
"Wrong entity ID","Onjuiste entiteit-ID"
"Wrong attribute set ID","Onjuiste attributenset-ID"
"Wrong attribute group ID","Onjuiste attribuutgroep-ID"
"Attribute with ID: ""%1"" does not exist","Kenmerk met id ""%1"" bestaat niet"
"AttributeSet does not exist.","AttributeSet bestaat niet."
"hello","hallo"
"Some internal exception message.","Een interne uitzonderingsbericht."
"The value of attribute not valid","De waarde van het attribuut is niet geldig"
"EAV types and attributes","EAV typen en kenmerken"
"Entity types declaration cache","Entiteit typen verklaringen cache"
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
