"Attribute Properties","属性设置"
"Default Label","默认标签"
"Default label","默认标签"
"Attribute Code","属性代码"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","这是在内部使用。确保你不要使用空格或超过1%的符号。"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Values Required","必须设定任务名"
"Default Value","默认值"
"Unique Value","独特价值"
"Unique Value (not shared with other products)","(不能与其他产品共享) 的独特价值"
"Not shared with other products.","不能与其他产品共享。"
"Input Validation for Store Owner","输入商店所有者的验证信息"
"Required","必填"
"Yes","是"
"No","否"
"System","系统"
"None","无"
"Decimal Number","十进制数"
"Integer Number","整数"
"Email","邮箱"
"URL","URL"
"Letters","字母"
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a 到 z、 A 到 Z) 或数字 (0-9)"
"Text Field","文本区"
"Text Area","文本区域"
"Date","日期"
"Yes/No","URL"
"Multiple Select","多选"
"Dropdown","下拉"
"Input type ""%value%"" not found in the input types list.","""%value%""在输入的类型列表中未找到的输入的类型。"
"Attribute object is undefined","未定义的属性对象"
"Entity object is undefined","是未定义的实体对象"
"""%1"" invalid type entered.","""%1""输入的类型无效。"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""中包含非字母或非数字字符。"
"""%1"" is an empty string.","""%1""是一个空字符串。"
"""%1"" contains non-numeric characters.","""%1""包含非数字字符。"
"""%1"" contains non-alphabetic characters.","""%1""中包含非字母字符。"
"""%1"" is not a valid email address.","""%1""不是一个有效的电子邮件地址。"
"""%1"" is not a valid hostname.","""%1""不是一个有效的主机名。"
"""%1"" uses too many characters.","""%1""使用太多的字符。"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' 看上去像一个 IP 地址，不是一种可接受的格式。"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' 看上去像一个 DNS 主机名，但不能对应已知列表中的TLD 。"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' 看上去像一个 DNS 主机名，但包含一个破折号在无效的位置。"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","% '看起来像一个DNS主机名，但是我们无法将它与TLD ' % TLD % '的主机名模式相匹配。"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' 看上去像一个 DNS 主机名，但不能提取 TLD 部分。"
"'%value%' does not look like a valid local network name.","'%value%' 不像一个有效的本地网络名称。"
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' 看上去像一个本地网络名称，不是一种可接受的格式。"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' 似乎是一个 DNS 主机名，但不能解码的给定的 punycode 符号。"
"""%1"" is not a valid URL.","""%1""不是一个有效的 URL。"
"""%1"" is not a valid date.","""%1""不是一个有效的日期。"
"""%1"" does not fit the entered date format.","“% 1”不符合输入日期格式。"
"""%1"" is a required value.","“%1”的长度必须等于或小于%2个字符。"
"Please enter a valid date between %1 and %2 at %3.","请在% 1和% 2之间输入有效日期。"
"Please enter a valid date equal to or greater than %1 at %2.","请输入一个有效的日期等于或大于 %1 在 %2。"
"Please enter a valid date less than or equal to %1 at %2.","请输入较少或等于 %1 在 %2 有效日期。"
"""%1"" is not a valid file extension.","""%1""不是一个有效的文件扩展名。"
"""%1"" is not a valid file.","""%1""不是一个有效的文件。"
"""%1"" exceeds the allowed file size.","""%1""超出了允许的文件大小。"
"""%1"" is not a valid image format","""%1""不是一种有效的图像格式"
"""%1"" width exceeds allowed value of %2 px.","“% 1”的宽度超过允许的% 2像素。"
"""%1"" height exceeds allowed value of %2 px.","“% 1”的高度超过允许的% 2像素。"
"""%1"" cannot contain more than %2 lines.","""%1""不能包含超过 %2 行。"
"""%1"" length must be equal or greater than %2 characters.","""%1""长度必须等于或大于 %2 个字符。"
"""%1"" length must be equal or less than %2 characters.","""%1""长度必须等于或小于 %2 字符。"
"Attribute group does not belong to provided attribute set","属性组不属于提供的属性集"
"Cannot save attributeGroup","无法保存属性组"
"Group with id ""%1"" does not exist.","Id 为""%1""组不存在。"
"Cannot delete attributeGroup with id %1","不能删除属性组与 id %1"
"AttributeSet with id ""%1"" does not exist.","不存在 id 为""%1""AttributeSet。"
"Wrong attribute set id provided","错了属性集 id 提供"
"Attribute group does not belong to attribute set","属性组不属于属性集"
"Attribute set not found: %1","属性设置找不到: %1"
"Attribute ""%1"" not found in attribute set %2.","属性“%1”没有在属性设置%2中找到。"
"System attribute can not be deleted","不能删除系统属性"
"Cannot save attribute","无法保存属性"
"Attribute with attributeCode ""%1"" does not exist.","属性与attributeCode“%1”不存在。"
"Cannot delete attribute.","无法删除属性。"
"Attribute with id ""%1"" does not exist.","Id 为""%1""属性不存在。"
"There was an error saving attribute set.","保存属性集时出错。"
"Default attribute set can not be deleted","不能删除默认属性集"
"There was an error deleting attribute set.","删除属性集时出错。"
"Invalid entity_type specified: %1","指定的无效 entity_type: %1"
"Entity is not initialized","实体是未初始化"
"Unknown parameter","未知的参数"
"Unique constraint violation found","发现违反唯一约束"
"The attribute code '%1' is reserved by system. Please try another attribute code","属性代码 '%1' 是系统保留的。请尝试另一个属性代码"
"An attribute code must not be more than %1 characters.","属性代码不能超过 %1 个字符。"
"Invalid default decimal value","无效的默认十进制值"
"Invalid default date","无效的默认日期"
