"Attribute Properties","गुण विशेषता"
"Default Label","डिफ़ॉल्ट लेबल"
"Default label","डिफ़ॉल्ट लेबल"
"Attribute Code","विशेषता कोड"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","यह आंतरिक रूप से उपयोग किया जाता है। सुनिश्चित करें कि आप रिक्त स्थान या %1 से अधिक प्रतीकों का उपयोग नहीं करते हैं।"
"Catalog Input Type for Store Owner","स्टोर मालिक के लिए कैटलॉग इनपुट प्रकार"
"Values Required","मूल्यों की आवश्यकता"
"Default Value","डिफ़ॉल्ट मान"
"Unique Value","अनोखा मूल्य"
"Unique Value (not shared with other products)","अद्वितीय मान (अन्य उत्पादों के साथ साझा नहीं)"
"Not shared with other products.","अन्य उत्पादों के साथ साझा नहीं किया गया।"
"Input Validation for Store Owner","स्टोर मालिक के लिए इनपुट सत्यापन"
"Required","अपेक्षित"
"Yes","हाँ"
"No","नहीं"
"System","प्रणाली"
"None","कोई नहीं"
"Decimal Number","दशमलव संख्या"
"Integer Number","पूर्णांक संख्या"
"Email","ईमेल"
"URL","यूआरएल"
"Letters","पत्र"
"Letters (a-z, A-Z) or Numbers (0-9)","पत्र (ए-जेड, ए-जेड) या नंबर (0-9)"
"Text Field","पाठ का क्षेत्र"
"Text Area","पाठ क्षेत्र"
"Date","दिनांक"
"Yes/No","हाँ नही"
"Multiple Select","एकाधिक चयन करें"
"Dropdown","ड्रॉप डाउन"
"Input type ""%value%"" not found in the input types list.","इनपुट प्रकार सूची में इनपुट प्रकार ""%value%"" नहीं मिला।"
"Attribute object is undefined","विशेषता वस्तु अपरिभाषित है"
"Entity object is undefined","इकाई वस्तु अपरिभाषित है"
"""%1"" invalid type entered.","""%1"" अमान्य प्रकार दर्ज किया गया।"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" में गैर-वर्णनात्मक या गैर-संख्यात्मक वर्ण शामिल हैं।"
"""%1"" is an empty string.","""%1"" एक रिक्त स्ट्रिंग है।"
"""%1"" contains non-numeric characters.","""%1"" में गैर-संख्यात्मक वर्ण हैं।"
"""%1"" contains non-alphabetic characters.","""%1"" में गैर-अक्षर वर्ण होते हैं।"
"""%1"" is not a valid email address.","""%1"" एक मान्य ईमेल पता नहीं है।"
"""%1"" is not a valid hostname.","""%1"" एक मान्य होस्टनाम नहीं है।"
"""%1"" uses too many characters.","""%1"" बहुत सारे वर्णों का उपयोग करता है।"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' एक आईपी पते की तरह दिखता है, जो स्वीकार्य प्रारूप नहीं है।"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' DNS होस्टनाम की तरह दिखता है लेकिन इसमें अमान्य स्थिति में डैश होता है।"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' एक DNS होस्टनाम की तरह दिखता है, लेकिन हम इसे TLD '%tld%' के होस्टनाम स्कीमा के विरुद्ध मेल नहीं कर सकते।"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' एक DNS होस्टनाम जैसा दिखता है, लेकिन TLD हिस्सा नहीं निकाल सकता है।"
"'%value%' does not look like a valid local network name.","'%value%' एक मान्य स्थानीय नेटवर्क नाम की तरह नहीं दिखता है।"
"'%value%' looks like a local network name, which is not an acceptable format.","like%value%’एक स्थानीय नेटवर्क नाम की तरह दिखता है, जो स्वीकार्य प्रारूप नहीं है।"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' DNS होस्टनाम प्रतीत होता है, लेकिन दिए गए पेनीकोड नोटेशन को डिकोड नहीं किया जा सकता है।"
"""%1"" is not a valid URL.","""%1"" एक मान्य URL नहीं है।"
"""%1"" is not a valid date.","""%1"" वैध तिथि नहीं है।"
"""%1"" does not fit the entered date format.","""%1"" दर्ज दिनांक प्रारूप में फिट नहीं है।"
"""%1"" is a required value.","""%1"" एक आवश्यक मूल्य है।"
"Please enter a valid date between %1 and %2 at %3.","कृपया%1 और%2 के बीच%3 में एक मान्य दिनांक दर्ज करें।"
"Please enter a valid date equal to or greater than %1 at %2.","कृपया%2 पर%1 के बराबर या उससे अधिक मान्य दिनांक दर्ज करें।"
"Please enter a valid date less than or equal to %1 at %2.","कृपया%2 पर%1 से कम या उसके बराबर एक मान्य दिनांक दर्ज करें।"
"""%1"" is not a valid file extension.","""%1"" एक मान्य फ़ाइल एक्सटेंशन नहीं है।"
"""%1"" is not a valid file.","""%1"" एक मान्य फ़ाइल नहीं है।"
"""%1"" exceeds the allowed file size.","""%1"" अनुमत फ़ाइल आकार से अधिक है।"
"""%1"" is not a valid image format","""%1"" एक मान्य छवि प्रारूप नहीं है"
"""%1"" width exceeds allowed value of %2 px.","""%1"" चौड़ाई%2 px के अनुमत मूल्य से अधिक है।"
"""%1"" height exceeds allowed value of %2 px.","""%1"" ऊंचाई%2 px के अनुमत मूल्य से अधिक है।"
"""%1"" cannot contain more than %2 lines.","""%1"" में%2 से अधिक लाइनें नहीं हो सकती हैं।"
"""%1"" length must be equal or greater than %2 characters.","""%1"" की लंबाई%2 वर्णों के बराबर या अधिक होनी चाहिए।"
"""%1"" length must be equal or less than %2 characters.","""%1"" की लंबाई%2 वर्णों के बराबर या कम होनी चाहिए।"
"Attribute group does not belong to provided attribute set","Attribute group does not belong to provided attribute set"
"Cannot save attributeGroup","Cannot save attributeGroup"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Cannot delete attributeGroup with id %1","Cannot delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","AttributeSet with id ""%1"" does not exist."
"Wrong attribute set id provided","Wrong attribute set id provided"
"Attribute group does not belong to attribute set","Attribute group does not belong to attribute set"
"Attribute set not found: %1","Attribute set not found: %1"
"Attribute ""%1"" not found in attribute set %2.","Attribute ""%1"" not found in attribute set %2."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Cannot save attribute"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Cannot delete attribute."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","अमान्य इकाई_प्रकार निर्दिष्ट किया गया:%1"
"Entity is not initialized","इकाई शुरू नहीं की गई है"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","अद्वितीय बाधा उल्लंघन पाया गया"
"The attribute code '%1' is reserved by system. Please try another attribute code","विशेषता कोड '%1' सिस्टम द्वारा आरक्षित है। कृपया एक और विशेषता कोड आज़माएं"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","स्रोत मॉडल ""%1"" विशेषता ""%2"" के लिए नहीं मिला"
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","अमान्य तिथि"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Cannot save attribute %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","कोई विकल्प नहीं मिला।"
"label","लेबल"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","फ़िल्टर के लिए अमान्य विशेषता पहचानकर्ता (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","इस क्षेत्र के साथ संयुक्त क्षेत्र या विशेषता अभिव्यक्ति पहले से ही घोषित है"
"Invalid alias, already exists in joint attributes","अमान्य उपनाम, पहले से ही संयुक्त विशेषताओं में मौजूद है"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","इस उपनाम के साथ एक सम्मिलित क्षेत्र पहले से ही घोषित है।"
"Invalid joint fields","अवैध संयुक्त क्षेत्र"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","वेतन वृद्धि आईडी में अमान्य वर्ण: 1%"
"The current module pathname is undefined.","वर्तमान मॉड्यूल पथनाम अपरिभाषित है।"
"The current module EAV entity is undefined.","वर्तमान मॉड्यूल ईएवी इकाई अपरिभाषित है।"
"The form code is not defined.","फॉर्म कोड परिभाषित नहीं है।"
"The entity instance is not defined.","इकाई उदाहरण परिभाषित नहीं है।"
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","एक ही कोड के साथ विशेषता"
"The storefront label is not defined.","स्टोरफ्रंट लेबल परिभाषित नहीं है।"
"Default option value is not defined","Default option value is not defined"
"Attribute group with same code already exist. Please rename ""%1"" group","समान कोड वाला समूह पहले से मौजूद है। कृपया ""%1"" समूह का नाम बदलें"
"Form Element with the same attribute","एक ही विशेषता के साथ फार्म तत्व"
"Form Fieldset with the same code","एक ही कोड के साथ फॉर्म फ़ील्ड"
"Form Type with the same code","एक ही कोड के साथ फॉर्म टाइप करें"
"The value of attribute ""%1"" is invalid.","विशेषता ""%1"" का मान अमान्य है।"
"Wrong entity ID","Wrong entity ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","आईडी के साथ विशेषता: ""%1"" मौजूद नहीं है"
"AttributeSet does not exist.","विशेषता मौजूद नहीं है।"
"hello","नमस्ते"
"Some internal exception message.","कुछ आंतरिक अपवाद संदेश।"
"The value of attribute not valid","विशेषता का मान मान्य नहीं है"
"EAV types and attributes","EAV प्रकार और विशेषताएँ"
"Entity types declaration cache","इकाई प्रकार घोषणा कैश"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
