"Attribute Properties","Propiedades de atributo"
"Default Label","Etiqueta (predeterminada)"
"Default label","Etiqueta predeterminada"
"Attribute Code","Código de atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Se utiliza internamente. Asegúrate de no utilizar espacios o más de %1 símbolos."
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Values Required","Valor obligatorio"
"Default Value","Valor predeterminado"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor exclusivo (no compartido con otros artículos)"
"Not shared with other products.","No se comparte con otros artículos."
"Input Validation for Store Owner","Validación de entrada para el dueño de la tienda"
"Required","Requerido"
"Yes","Sí"
"No","No"
"System","Sistema"
"None","Ninguno"
"Decimal Number","Número decimal"
"Integer Number","Número entero"
"Email","Correo electrónico"
"URL","URL"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) o números (0-9)"
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Date","Fecha"
"Yes/No","Sí/No"
"Multiple Select","Selección múltiple"
"Dropdown","Lista desplegable"
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Attribute object is undefined","Objeto de campo indefinido"
"Entity object is undefined","Objeto de entidad indefinido"
"""%1"" invalid type entered.","""%1"" tipo introducido inválido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contiene caracteres que no son números ni letras."
"""%1"" is an empty string.","""%1"" es una cadena vacía."
"""%1"" contains non-numeric characters.","""%1"" contiene caracteres no numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contiene caracteres no alfabéticos."
"""%1"" is not a valid email address.","""%1"" no es una dirección válida de email."
"""%1"" is not a valid hostname.","""%1"" no es un nombre de host válido."
"""%1"" uses too many characters.","""%1"" utiliza demasiados caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' se parece a una dirección IP, que no es un formato aceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' parece ser un nombre de host DNS, pero contiene un guión en una posición no válida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece ser un nombre de host DNS, pero no podemos coincidir con el esquema de nombre de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' como un nombre de host DNS pero no se puede extraer parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' no parece ser un nombre válido de red local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se ve como un nombre de red local, que no es un formato aceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido."
"""%1"" is not a valid URL.","""%1"" no es una dirección URL válida."
"""%1"" is not a valid date.","""%1"" no es una fecha válida."
