"Attribute Properties","Властивості атрибута"
"Default Label","Типова наліпка"
"Default label","Типова наліпка"
"Attribute Code","Код атрибуту"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Це використовується внутрішньо. Переконайтеся, що ви не використовуєте пробіли або більше за %1 символів."
"Catalog Input Type for Store Owner","Тип входу каталога для власника магазину"
"Values Required","Поле ""Значення"" є обовʼязковим"
"Default Value","Типове значення"
"Unique Value","Унікальне значення"
"Unique Value (not shared with other products)","Унікальне Значення (не використовується спільно з іншими товарами)"
"Not shared with other products.","Не використовується спільно з іншими товарами."
"Input Validation for Store Owner","Перевірка вхідних даних для власника крамниці"
"Required","Обов'язкове"
"Yes","Так"
"No","Ні"
"System","Система"
"None","Жоден"
"Decimal Number","Десяткове число"
"Integer Number","Ціле число"
"Email","Електронна пошта"
"URL","URL-АДРЕСА"
"Letters","Літери"
"Letters (a-z, A-Z) or Numbers (0-9)","Літери (a-z, A-Z), або цифри (0-9)"
"Text Field","Текстове поле"
"Text Area","Текстове поле"
"Date","Дата"
"Yes/No","Так/Ні"
"Multiple Select","Множинний вибір"
"Dropdown","Випадаючий"
"Input type ""%value%"" not found in the input types list.","Тип вводу ""%value%"" не знайдено в списку типів."
"Attribute object is undefined","Об’єкт атрибута не визначено"
"Entity object is undefined","Об’єкт сутності не визначено"
"""%1"" invalid type entered.","""%1"" є неприпустимим типом."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" містить неалфавітні або нечислові символи."
"""%1"" is an empty string.","""%1"" є порожнім рядком."
"""%1"" contains non-numeric characters.","""%1"" містить нечислові символи."
"""%1"" contains non-alphabetic characters.","""%1"" містить неалфавітні символи."
"""%1"" is not a valid email address.","""%1"" є недійсним імейлом."
"""%1"" is not a valid hostname.","""%1"" є недійсним hostname."
"""%1"" uses too many characters.","""%1"" використовує занадто багато символів."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' виглядає як IP адреса, що є неприйнятним форматом."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' виглядає як DNS hostname, проте дефіс знаходиться у невірній позиції."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' виглядає як DNS hostname, але ми не можемо порівняти його зі схемою hostname для TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' виглядає як DNS hostname, але ми не можемо вилучити TLD частину."
"'%value%' does not look like a valid local network name.","'%value%' не схоже на правильне ім'я локальної мережі."
"'%value%' looks like a local network name, which is not an acceptable format.","«%value%» виглядає як назва локальної мережі, та це неприйнятний формат."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","«%value%» виглядає як DNS hostname, але ця Punycode нотація не може бути декодована."
"""%1"" is not a valid URL.","«%1» не є допустимою URL-адресою."
"""%1"" is not a valid date.","«%1» не є допустимою датою."
"""%1"" does not fit the entered date format.","«%1» не відповідає введеному формату дати."
"""%1"" is a required value.","«%1» - обов'язкове значення."
"Please enter a valid date between %1 and %2 at %3.","Будь ласка, введіть допустимі значення в інтервалі від %1 до %2 в «%3»."
"Please enter a valid date equal to or greater than %1 at %2.","Введіть дату, що дорівнює або перевищує %1, в %2."
"Please enter a valid date less than or equal to %1 at %2.","Введіть дату, що менше або дорівнює %1, в %2."
"""%1"" is not a valid file extension.","Розширення файлу «%1» не є допустимим."
"""%1"" is not a valid file.","«%1» – не валідний файл."
"""%1"" exceeds the allowed file size.","«%1» перевищує дозволений розмір файлу."
"""%1"" is not a valid image format","Формат світлини «%1» не є допустимим."
"""%1"" width exceeds allowed value of %2 px.","Ширина світлини «%1» перевищує допустиме значення %2 px."
"""%1"" height exceeds allowed value of %2 px.","Висота світлини «%1» перевищує допустиме значення %2 px."
"""%1"" cannot contain more than %2 lines.","Значення «%1» не може містити більше ніж %2 рядків."
"""%1"" length must be equal or greater than %2 characters.","Довжина «%1» повинна бути рівною або більшою, ніж %2 символів."
"""%1"" length must be equal or less than %2 characters.","Довжина «%1» повинна бути рівною або меншою, ніж %2 символів."
"Attribute group does not belong to provided attribute set","Група атрибутів (Attribute group) не належить до вказаного Набору атрибутів (Attribute Set)."
"Cannot save attributeGroup","Не вдалося зберегти Групу атрибутів (Attribute Group)."
"Group with id ""%1"" does not exist.","Групи з ID «%1» не існує."
"Cannot delete attributeGroup with id %1","Не вдалося видалити Групу атрибутів (Attribute group) з ID «%1»."
"AttributeSet with id ""%1"" does not exist.","Набору атрибутів (Attribute Set) з ID «%1» не існує."
"Wrong attribute set id provided","Надано неправильний ID Набору атрибутів (Attribute Set)."
"Attribute group does not belong to attribute set","Група атрибутів (Attribute group) не належить до вказаного Набору атрибутів (Attribute Set)."
"Attribute set not found: %1","Не знайдено Набір атрибутів (Attribute Set): %1."
"Attribute ""%1"" not found in attribute set %2.","Атрибут «%1» не знайдено у Наборі атрибутів (Attribute Set) «%2»."
"System attribute can not be deleted","System attribute can not be deleted"
"Cannot save attribute","Не вдалося зберегти атрибут"
"Attribute with attributeCode ""%1"" does not exist.","Attribute with attributeCode ""%1"" does not exist."
"Cannot delete attribute.","Не вдалося видалити атрибут."
"Attribute with id ""%1"" does not exist.","Attribute with id ""%1"" does not exist."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Default attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Invalid entity_type specified: %1"
"Entity is not initialized","Entity is not initialized"
"Unknown parameter","Unknown parameter"
"Unique constraint violation found","Unique constraint violation found"
"The attribute code '%1' is reserved by system. Please try another attribute code","The attribute code '%1' is reserved by system. Please try another attribute code"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Invalid default decimal value"
"Invalid default date","Invalid default date"
"Invalid entity supplied","Invalid entity supplied"
"Invalid backend model specified: %1","Invalid backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","Source model ""%1"" not found for attribute ""%2"""
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"The value of attribute ""%1"" must be unique","The value of attribute ""%1"" must be unique"
"Invalid date","Некоректна дата"
"Empty attribute code","Empty attribute code"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Не вдалося зберегти атрибут %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Cannot load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Attribute %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Entity attribute with id ""%1"" not found"
"Attribute set name is empty.","Attribute set name is empty."
"An attribute set named ""%1"" already exists.","An attribute set named ""%1"" already exists."
"No options found.","No options found."
"label","етикетка"
"Invalid entity supplied: %1","Invalid entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Invalid attribute identifier for filter (%1)","Invalid attribute identifier for filter (%1)"
"Invalid attribute requested: %1","Invalid attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","Joint field or attribute expression with this alias is already declared"
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
"Invalid foreign key","Invalid foreign key"
"Invalid entity type","Invalid entity type"
"Invalid attribute type","Invalid attribute type"
"A joined field with this alias is already declared.","A joined field with this alias is already declared."
"Invalid joint fields","Invalid joint fields"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Invalid attribute name: %1","Invalid attribute name: %1"
"Invalid character encountered in increment ID: %1","Invalid character encountered in increment ID: %1"
"The current module pathname is undefined.","The current module pathname is undefined."
"The current module EAV entity is undefined.","The current module EAV entity is undefined."
"The form code is not defined.","The form code is not defined."
"The entity instance is not defined.","The entity instance is not defined."
"Invalid form type.","Invalid form type."
"Invalid EAV attribute","Invalid EAV attribute"
"Attribute with the same code","Attribute with the same code"
"The storefront label is not defined.","Наліпка для Фасад крамниці (Storefront) незазначена."
"Default option value is not defined","Типове значення незазначене."
"Attribute group with same code already exist. Please rename ""%1"" group","Група атрибутів (Attribute group) з таким кодом вже існує. Перейменуйте групу «%1»."
"Form Element with the same attribute","Form Element з таким самим атрибутом."
"Form Fieldset with the same code","Form Fieldset з таким самим кодом."
"Form Type with the same code","Form Type з таким самим кодом."
"The value of attribute ""%1"" is invalid.","Значення атрибута «%1» – неприпустиме."
"Wrong entity ID","Невірний ID сутності."
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong attribute group ID","Wrong attribute group ID"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Attribute with ID: ""%1"" does not exist"
"AttributeSet does not exist.","Набір атрибутів не існує."
"hello","hello"
"Some internal exception message.","Some internal exception message."
"The value of attribute not valid","The value of attribute not valid"
"EAV types and attributes","EAV types and attributes"
"Entity types declaration cache","Entity types declaration cache"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
