"Attribute Properties","Atribut properti"
"Default Label","Label bawaan"
"Default label","Label bawaan"
"Attribute Code","Kode Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Catalog Input Type for Store Owner","Jenis Masukan Katalog untuk Pemilik Toko"
"Values Required","Nilai yang diperlukan"
"Default Value","Nilai Default"
"Unique Value","Nilai yang Unik"
"Unique Value (not shared with other products)","Nilai yang unik (tidak dibagi dengan produk lain)"
"Not shared with other products.","Tidak dibagi dengan produk lain."
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Required","Wajib"
"Yes","Ya"
"No","Tidak"
"System","Sistem"
"None","Kosong"
"Decimal Number","Angka desimal"
"Integer Number","Angka bilangan bulat"
"Email","Email"
"URL","URL"
"Letters","Surat"
"Letters (a-z, A-Z) or Numbers (0-9)","Surat (a-z, A-Z) atau angka (0-9)"
"Text Field","Bidang Teks"
"Text Area","Area Teks"
"Date","Tanggal"
"Yes/No","Ya/Tidak"
"Multiple Select","Pilihan Ganda"
"Dropdown","Tarik kebawah"
"Input type ""%value%"" not found in the input types list.","Jenis yang dimasukan ""%value%"" tidak ada di daftar jenis masukan."
"Attribute object is undefined","Sifat objek tidak diketahui"
"Entity object is undefined","Satuan objek tidak diketahui"
"""%1"" invalid type entered.","''%1'' salah ketikan."
"""%1"" contains non-alphabetic or non-numeric characters.","''%1'' berisi karakter non-huruf atau non-angka."
"""%1"" is an empty string.","''%1'' merupakan baris kosong."
"""%1"" contains non-numeric characters.","''%1'' berisi karakter-karakter non-angka."
"""%1"" contains non-alphabetic characters.","''%1'' berisi karakter-karakter non-huruf."
"""%1"" is not a valid email address.","''%1'' bukan alamat email yang benar."
"""%1"" is not a valid hostname.","''%1'' bukan hostname yang benar."
"""%1"" uses too many characters.","''%1'' menggunakan terlalu banyan karakter."
"'%value%' looks like an IP address, which is not an acceptable format.","%value% terlihat seperti alamat IP, tetapi bukan format yang dapat diterima."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' tampak seperti DNS hostname tetapi berisi tanda hubung pada posisi yang tidak benar."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' tampak seperti DNS hostname tetapi tidak bisa cocokkan dengan skema hostname untuk TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' tampak seperti DNS hostname tetapi tidak dapat mengambil bgian TLD."
"'%value%' does not look like a valid local network name.","'%value%' tidak terlihat seperti nama jaringan lokal yang benar."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' terlihat seperti nama jaringan lokal, tetapi formatnya tidak dapat diterima."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' muncul sebagai DNS hostname, tetapi notasi punycode yang diberikan tidak bisa diterjemahkan."
"""%1"" is not a valid URL.","""%1"" bukan URL yang benar."
"""%1"" is not a valid date.","""%1"" bukan tanggal yang benar."
"""%1"" does not fit the entered date format.","""%1"" tidak sesuai dengan format tanggal yang dimasukkan."
"""%1"" is a required value.","""%1"" nilai yang dibutuhkan."
"Please enter a valid date between %1 and %2 at %3.","Harap masukkan tanggal yang benar antara %1 dan %2 ke %3."
"Please enter a valid date equal to or greater than %1 at %2.","Harap masukkan tanggal yang benar sama dengan atau lebih dari %1 ke %2."
"Please enter a valid date less than or equal to %1 at %2.","Harap masukkan tanggal yang benar kurang dari atau sama dengan %1 ke %2."
"""%1"" is not a valid file extension.","''%1'' bukan berkas ekstensi yang benar."
"""%1"" is not a valid file.","''%1'' buan berkas yang benar."
"""%1"" exceeds the allowed file size.","''%1'' melebihi ukuran berkas yang diperbolehkan."
"""%1"" is not a valid image format","""%1"" bukan format gambar yang benar"
"""%1"" width exceeds allowed value of %2 px.","""%1"" lebar melebihi nilai yang diperbolehkan %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" tinggi melibihi nilai yang diperbolehkan dari %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" isi tidak boleh lebih dari %2 baris."
"""%1"" length must be equal or greater than %2 characters.","""%1"" panjang harus sama atau lebih dari %2 karakter."
"""%1"" length must be equal or less than %2 characters.","""%1"" panjang harus sama atau kurang dari %2 karakter."
"Attribute group does not belong to provided attribute set","Atribut kelompok tidak termasuk pada atribut yang tersedia"
"Cannot save attributeGroup","Atribut kelompok tidak bisa disimpan"
"Group with id ""%1"" does not exist.","Grup dengan id ""%1"" tidak ada."
"Cannot delete attributeGroup with id %1","Tidak bisa menghapus atribut grup dengan id %1"
"AttributeSet with id ""%1"" does not exist.","Id dengan atributset ""%1"" tidak ada."
"Wrong attribute set id provided","Id yang disajikan atributnya salah"
"Attribute group does not belong to attribute set","Atribut kelompok tidak termasuk ke atribut yang ditetapkan"
"Attribute set not found: %1","Atribut yang ditetapkan tidak ada: %1"
"Attribute ""%1"" not found in attribute set %2.","Atribut ""%1"" tidak ada pada atribut yang ditetapkan %2."
"System attribute can not be deleted","Sistem atribut tidak bisa dihapus"
"Cannot save attribute","Tidak bisa menyimpan atribut"
"Attribute with attributeCode ""%1"" does not exist.","Atribut dengan kodeatribut ""%1"" tidak ada."
"Cannot delete attribute.","Tidak bisa menghapus atribut."
"Attribute with id ""%1"" does not exist.","Id dengan atribut ""%1"" tidak ada."
"There was an error saving attribute set.","Ada kesalahan ketika menyimpan penetapan atribut."
"Default attribute set can not be deleted","Atribut bawaan tidak bisa dihapus"
"There was an error deleting attribute set.","Ada kesalahan ketika menghapus penetapan atribut."
"Invalid entity_type specified: %1","Entity_type tidak valid ditentukan:% 1"
"Entity is not initialized","Entitas tidak diinialisasi"
"Unknown parameter","Parameter tidak diketahui"
"Unique constraint violation found","Pelaggaran kendala yang janggal di temukan"
"The attribute code '%1' is reserved by system. Please try another attribute code","The attribute code '%1' is reserved by system. Please try another attribute code"
"An attribute code must not be more than %1 characters.","Kode atribut tidak boleh lebih dari %1 karakter."
"Invalid default decimal value","Nilai desimal bawaan tidak benar"
"Invalid default date","Tanggal bawaan tidak benar"
"Invalid entity supplied","Entitas tidak benar diberikan"
"Invalid backend model specified: %1","Model akhir belakang tidak sah ditentukan: %1"
"Source model ""%1"" not found for attribute ""%2""","Model Sumber ""%1"" tidak ditemukan untuk perlengkapan ""%2"""
"The value of attribute ""%1"" must be set","Nilai atribut ""%1"" harus ditetapkan"
"The value of attribute ""%1"" must be unique","Nilai perlengkapan ""%1"" harus unik"
"Invalid date","Tanggal tidak benar"
"Empty attribute code","Kode perlengkapan kosong"
"Attribute %1 doesn't work with options","Attribute %1 doesn't work with options"
"Cannot save attribute %1","Tidak bisa menyimpan perlengkapan %1"
"Attribute %1 doesn't have any option","Attribute %1 doesn't have any option"
"Cannot load options for attribute %1","Tidak bisa memuat opsi untuk perlengkapan %1"
"Attribute %1 does not contain option with Id %2","Perlengkapan %1 tidak terisi pilihan dengan Id %2"
"Entity attribute with id ""%1"" not found","Perlengkapan entitas dengan Id ""%1"" tidak ditemukan"
"Attribute set name is empty.","Nama set perlengkapan kosong."
"An attribute set named ""%1"" already exists.","Atur perlengkapan bernama ""%1"" sudah ada."
"No options found.","Pilihan tidak ditemukan."
"label","lebel"
"Invalid entity supplied: %1","Entitas tidak benar diberikan: %1"
"Attempt to add an invalid object","Mencoba menambahkan objek yang tidak benar"
"Invalid attribute identifier for filter (%1)","Pengenal perlengkapan tidak sah untuk disaring (%1)"
"Invalid attribute requested: %1","Perlengkapan tidak sah diminta: %1"
"Joint field or attribute expression with this alias is already declared","Ekspresi lapangan bersama atau perlengkapan dengan alias ini sudah dinyatakan"
"Invalid alias, already exists in joint attributes","Alias tidak sah, sudah ada perlengkapan bersama"
"Invalid foreign key","Kunci asing tidak sah"
"Invalid entity type","Jenis entitas tidak sah"
"Invalid attribute type","Jenis perlengkapan tidak sah"
"A joined field with this alias is already declared.","Bergabung dengan alias ini sudah dideklarasikan."
"Invalid joint fields","Bidang gabungan tidak sah"
"A joint field with this alias (%1) is already declared.","Bidang gabungan dengan alias ini (%1) sudah dinyatakan."
"Data integrity: No header row found for attribute","Integritas data: tidak ada baris yang ditemukan untuk perlengkapan"
"Invalid attribute name: %1","Nama perlengkapan tidak sah: %1"
"Invalid character encountered in increment ID: %1","Karakter tidak sah ditemukan di ID kenaikan: %1"
"The current module pathname is undefined.","Nama jalur modul saat ini tidak terdefinisi."
