"Attribute Properties","Propriedades do atributo"
"Default Label","Etiqueta Pré-definida"
"Default label","Etiqueta padrão"
"Attribute Code","Código do Atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s)."
"Catalog Input Type for Store Owner","Tipo de entrada no catálogo para o dono da loja"
"Values Required","Valores necessários"
"Default Value","Valor Padrão"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Not shared with other products.","Não compartilhado com outros produtos."
"Input Validation for Store Owner","Campo de Validação para o dono da loja"
"Required","Obrigatório"
"Yes","Sim"
"No","Não"
"System","Sistema"
"None","Nenhum"
"Decimal Number","Número decimal"
"Integer Number","Número inteiro"
"Email","E-mail"
"URL","Url"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Text Field","Campo de Texto"
"Text Area","Área de Texto"
"Date","Data"
"Yes/No","Sim/Não"
"Multiple Select","Múltipla Seleção"
"Dropdown","Menu suspenso"
"Input type ""%value%"" not found in the input types list.","O tipo de entrada ""%value%"" não foi encontrado na lista de tipos de entrada."
"Attribute object is undefined","Atributo de objeto não definido"
"Entity object is undefined","O objeto da entidade é indefinido"
"""%1"" invalid type entered.","""%1"" tipo inválido inserido."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contém caracteres não-alfabéticos ou não-numéricos."
"""%1"" is an empty string.","""%1"" é uma seqüência vazia."
"""%1"" contains non-numeric characters.","""%1"" contém caracteres não-numéricos."
"""%1"" contains non-alphabetic characters.","""%1"" contém caracteres não-alfabéticos."
"""%1"" is not a valid email address.","""%1"" não é um endereço de email válido."
"""%1"" is not a valid hostname.","""%1"" não é um hostname válido."
"""%1"" uses too many characters.","""%1"" usa muitos caracteres."
"'%value%' looks like an IP address, which is not an acceptable format.","""%value%"" o formato do endereço de IP informado não é aceitável."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' se parece com um nome de host DNS, mas contém um traço em uma posição inválida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' se parece com um nome de host DNS, mas nós não podemos combiná-lo contra o esquema de nome de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' se parece com um nome de host DNS, mas não pode extrair parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' não se parece com um nome válido de rede local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se parece com um nome de rede local, que não é um formato aceitável."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser um nome de host DNS, mas a notação de punycode determinado não pode ser decodificada."
"""%1"" is not a valid URL.","""%1"" não é uma URL válida."
"""%1"" is not a valid date.","""%1"" não é uma data válida."
"""%1"" does not fit the entered date format.","""%1"" não se encaixa no formato de data inserida."
"""%1"" is a required value.","""%1"" é um valor necessário."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduza uma data válida entre %1 e %2 no %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduza uma data válida igual ou maior que %1 em %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduza uma data válida menor ou igual a %1 em %2."
"""%1"" is not a valid file extension.","""%1"" não é uma extensão de arquivo válido."
"""%1"" is not a valid file.","""%1"" não é um arquivo válido."
"""%1"" exceeds the allowed file size.","""%1"" excede o tamanho de arquivo permitidos."
"""%1"" is not a valid image format","""%1"" não é um formato de imagem válida"
"""%1"" width exceeds allowed value of %2 px.","""%1"" excede a largura permitida de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede o valor permitido de %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" não contem mais que %2 linha(s)."
"""%1"" length must be equal or greater than %2 characters.","""%1"" comprimento deve ser igual ou maior que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","""%1"" comprimento deve ser igual ou menor que %2 caracteres."
"Attribute group does not belong to provided attribute set","O grupo de atributos não pertence ao conjunto de atributos fornecido"
"Cannot save attributeGroup","Não foi possível salvar o attributeGroup"
"Group with id ""%1"" does not exist.","Grupo com id ""%1"" não existe."
"Cannot delete attributeGroup with id %1","Não foi possível excluir o attributeGroup com o id %1"
"AttributeSet with id ""%1"" does not exist.","O AttributeSet com id ""%1"" não existe."
"Wrong attribute set id provided","O id definido para o atributo está incorreto"
"Attribute group does not belong to attribute set","O grupo de atributos não pertence ao conjunto de atributos"
"Attribute set not found: %1","Atributo definido não foi encontrado: %1"
"Attribute ""%1"" not found in attribute set %2.","O atributo ""%1"" não foi encontrado no conjunto de atributos %2."
"System attribute can not be deleted","O atributo do sistema não pode ser excluído"
"Cannot save attribute","Não é possível salvar atributo"
"Attribute with attributeCode ""%1"" does not exist.","O atributo com attributeCode ""%1"" não existe."
"Cannot delete attribute.","Não é possível excluir o atributo."
"Attribute with id ""%1"" does not exist.","O atributo com id ""%1"" não existe."
"There was an error saving attribute set.","Ocorreu um erro ao salvar conjunto de atributos."
"Default attribute set can not be deleted","O conjunto de atributos padrão não pode ser excluído"
"There was an error deleting attribute set.","Ocorreu um erro ao excluir o conjunto de atributos."
"Invalid entity_type specified: %1","Entity_type inválido especificado: %1"
"Entity is not initialized","Entity não foi inicializada"
"Unknown parameter","Parâmetro desconhecido"
"Unique constraint violation found","Violação de chave única encontrada"
"The attribute code '%1' is reserved by system. Please try another attribute code","O código do atributo '%1' é reservado pelo sistema. Por favor, utilize outro código de atributo"
"An attribute code must not be more than %1 characters.","Um código de atributo não deve ser mais do que %1 caracteres."
"Invalid default decimal value","Valor decimal padrão inválido"
"Invalid default date","Data padrão inválido"
"Invalid entity supplied","A entidade fornecida é inválida"
"Invalid backend model specified: %1","Modelo de backend inválido: %1"
"Source model ""%1"" not found for attribute ""%2""","Modelo de fonte ""%1"" não foi encontrado para o atributo ""%2"""
"The value of attribute ""%1"" must be set","O valor do atributo ""%1"" deve ser definido"
"The value of attribute ""%1"" must be unique","O valor do atributo ""%1"" deve ser exclusivo"
"Invalid date","Data inválida"
"Empty attribute code","Código de atributo vazio"
"Attribute %1 doesn't work with options","O atributo %1 não funciona com opções"
"Cannot save attribute %1","Não é possível salvar o atributo %1"
"Attribute %1 doesn't have any option","Atributo %1 não tem qualquer opção"
"Cannot load options for attribute %1","Não foi possível carregar as opções para o atributo %1"
"Attribute %1 does not contain option with Id %2","O atributo %1 não contém opção com Id %2"
"Entity attribute with id ""%1"" not found","Atributo de entidade com id ""%1"" não foi encontrado"
"Attribute set name is empty.","O nome do conjunto de atributo está vazio."
"An attribute set named ""%1"" already exists.","Um conjunto de atributo chamado ""%1"" já existe."
"No options found.","Não há opções encontradas."
"label","rótulo"
"Invalid entity supplied: %1","A entidade fornecida é inválida: %1"
"Attempt to add an invalid object","Foi realizado uma tentativa de adicionar um objeto inválido"
"Invalid attribute identifier for filter (%1)","Identificador de atributo inválido para filtro (%1)"
"Invalid attribute requested: %1","Foi solicitado um atributo inválido: %1"
"Joint field or attribute expression with this alias is already declared","O campo de junção ou expressão de atributo com este apelido já foi declarado"
"Invalid alias, already exists in joint attributes","Apelido inválido, já existe nos conjuntos de atributos"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid entity type","Tipo de entidade inválido"
"Invalid attribute type","Tipo de atributo inválido"
"A joined field with this alias is already declared.","Um campo associado com este alias já está declarado."
"Invalid joint fields","Conjunto de atributo inválido"
"A joint field with this alias (%1) is already declared.","Um conjunto de atributos com este apelido (%1) já foi declarado."
"Data integrity: No header row found for attribute","Integridade de dados: Não foram encontrados registros para atributo"
"Invalid attribute name: %1","Nome do atributo inválido: %1"
"Invalid character encountered in increment ID: %1","Caractere inválido encontrado no incremento ID: %1"
"The current module pathname is undefined.","O nome do caminho do módulo atual é indefinido."
"The current module EAV entity is undefined.","O módulo atual da entidade EAV é indefinido."
"The form code is not defined.","O código do formulário não está definido."
"The entity instance is not defined.","A instância da entidade não está definida."
