"Attribute Properties","Propriétés de l'attribut"
"Default Label","Libellé par défaut"
"Default label","Libellé par défaut"
"Attribute Code","Code d'attribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Nom qui apparaîtra sous votre application lorsque les utilisateurs l'installeront sur leur terminal. Nous vous recommandons d'utiliser un nom de 10 à 12 caractères reconnaissable par vos clients."
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Values Required","Valeurs requises"
"Default Value","Valeur par défaut"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Not shared with other products.","Non partagé avec les autres produits."
"Input Validation for Store Owner","Validation requise"
"Required","Obligatoire"
"Yes","Oui"
"No","Non"
"System","Système"
"None","Aucun"
"Decimal Number","Nombre décimal"
"Integer Number","Nombre entier"
"Email","Courriel"
"URL","URL"
"Letters","Lettres"
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Le type d'entrée de l'éditeur de texte nécessite que WYSIWYG soit activé dans les magasins > Configuration > Gestion de contenu."
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" n'a pas été trouvé dans la liste des types d'entrée."
"Attribute object is undefined","L'objet attribut est indéfini"
"Entity object is undefined","L'objet entité n'est pas défini"
"""%1"" invalid type entered.","""%1"" est une entrée non valide."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contient des caractères non alphabétiques ou non numériques."
"""%1"" is an empty string.","""%1"" est une chaîne vide."
"""%1"" contains non-numeric characters.","""%1"" contient des caractères non numériques."
"""%1"" contains non-alphabetic characters.","""%1"" contient des caractères non alphabétiques."
"""%1"" is not a valid email address.","""%1"" n'est pas un email valide."
"""%1"" is not a valid hostname.","""%1"" n'est pas un nom d'hôte valide."
"""%1"" uses too many characters.","""%1"" utilise trop de caractères."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ressemble à une adresse IP, ce qui n'est pas un format acceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' ressemble à un nom d'hôte DNS mais contient un trait d'union à une position incorrecte."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ressemble à un nom d’hôte DNS, mais nous ne pouvons pas le faire correspondre avec le schéma de nom d’hôte pour TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' ressemble à un nom d’hôte DNS, mais ne peut pas extraire une partie TLD."
"'%value%' does not look like a valid local network name.","'%value%' ne ressemble pas à un nom de réseau local valide."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' ressemble à un nom de réseau local, ce qui n’est pas un format acceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' semble être un nom d'hôte de DNS, mais la notation punycode donnée ne peut pas être décodée."
"""%1"" is not a valid URL.","""%1"" n'est pas une URL valide."
"""%1"" is not a valid date.","""%1"" n'est pas une date valide."
"""%1"" does not fit the entered date format.","""%1"" ne correspond pas au format de date entré."
"""%1"" is a required value.","""%1"" est une valeur obligatoire."
"Please enter a valid date between %1 and %2 at %3.","Veuillez entrer une date valide entre %1 et %2 à %3."
"Please enter a valid date equal to or greater than %1 at %2.","Veuillez entrer une date valide égale ou supérieure de %1 à %2."
"Please enter a valid date less than or equal to %1 at %2.","Veuillez entrer une date valide inférieure ou égale de %1 à %2."
"""%1"" is not a valid file extension.","""%1"" n'est pas une extension de fichier valide."
"""%1"" is not a valid file.","""%1"" n'est pas un fichier valide."
"""%1"" exceeds the allowed file size.","""%1"" excède la taille maxi autorisée pour les fichiers."
"""%1"" is not a valid image format","""%1"" n'est pas un format d'image valide"
"""%1"" width exceeds allowed value of %2 px.","La largeur de ""%1"" excède la valeur de %2 px."
"""%1"" height exceeds allowed value of %2 px.","La hauteur de ""%1"" excède la valeur de %2 px."
"""%1"" cannot contain more than %2 lines.","«%1» ne peut pas contenir plus de %2 lignes."
"""%1"" length must be equal or greater than %2 characters.","La longueur de ""%1"" doit être supérieure ou égale à %2 caractères."
"""%1"" length must be equal or less than %2 characters.","La longueur de ""%1"" doit être égale ou inférieure à %2 caractères."
"The attribute group doesn't belong to the provided attribute set.","Le groupe d'attributs n'appartient pas au jeu d'attributs fourni."
"The attributeGroup can't be saved.","Le groupe d'attributs ne peut pas être enregistré."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Le groupe avec l'identifiant ""%1"" n'existe pas. Vérifiez l'identifiant et essayez à nouveau."
"The attribute group with id ""%1"" can't be deleted.","Le groupe d'attributs avec l'id ""%1"" ne peut pas être supprimé."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","Le jeu d'attributs avec un ID ""%1"" n'existe pas. Vérifiez le jeu d'attributs et réessayez."
"The attribute set ID is incorrect. Verify the ID and try again.","L'ID du jeu d'attributs est incorrect. Vérifiez l'ID et réessayez."
"The attribute group doesn't belong to the attribute set.","Le groupe d'attributs n'appartient pas au jeu d'attributs."
"The ""%1"" attribute set wasn't found. Verify and try again.","Le jeu d'attributs ""%1"" n'a pas été trouvé. Vérifiez et réessayez."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","L'attribut ""%1"" n'a pas été trouvé dans le jeu d'attributs ""%2"". Entrez l'attribut et réessayez."
"The system attribute can't be deleted.","L'attribut système ne peut pas être supprimé."
"The attribute can't be saved.","L'attribut ne peut pas être sauvegardé."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","L'attribut avec un code d'attribut ""%1"" n'existe pas. Vérifiez l'attribut et réessayez."
"The attribute can't be deleted.","L'attribut ne peut pas être supprimé."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","L'attribut avec un ID ""%1"" n'existe pas. Vérifiez l'attribut et réessayez."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","L'ensemble d'attributs n'a pas pu être enregistré en raison d'une erreur. Vérifiez vos informations et réessayez. Si l'erreur persiste, veuillez réessayer plus tard."
"The default attribute set can't be deleted.","Le jeu d'attributs par défaut ne peut pas être supprimé."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","L'ensemble d'attributs n'a pas pu être supprimé en raison d'une erreur. Réessayez — si l'erreur persiste, veuillez réessayer plus tard."
"Invalid entity_type specified: %1","Entity_type spécifié non valide : %1"
"Entity is not initialized","L'entité n'est pas initialisée."
"This parameter is unknown. Verify and try again.","Ce paramètre est inconnu. Vérifiez et réessayez."
"Unique constraint violation found","Une violation de contrainte d'unicité a été trouvée"
"The attribute code '%1' is reserved by system. Please try another attribute code","Le code d'attribut '%1' est réservé par le système. Veuillez essayer un autre code d'attribut"
"The default decimal value is invalid. Verify the value and try again.","La valeur décimale par défaut n'est pas valide. Vérifiez la valeur et réessayez."
"The default date is invalid. Verify the date and try again.","La date par défaut est non valide. Vérifiez la date et réessayez."
"Do not change entity type.","Ne pas modifier le type d'entité."
"The entity supplied is invalid. Verify the entity and try again.","L'entité fourni est invalide. Vérifiez l'entité et réessayez."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","Le modèle ""%1"" de backend est non valide. Vérifiez le modèle de backend et réessayez."
"Source model ""%1"" not found for attribute ""%2""","Le modèle source ""%1"" n'a pas été trouvé pour l'attribut ""%2"""
"The ""%1"" attribute value is empty. Set the attribute and try again.","La valeur de l'attribut ""%1"" est vide. Définissez l'attribut et réessayez."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","La valeur de l'attribut ""%1"" n'est pas unique. Définissez une valeur unique et réessayez."
"Invalid date","Date non valide"
"The attribute option label is empty. Enter the value and try again.","L'Étiquette de l'option d'attribut est vide. Entrez la valeur et réessayez."
"Admin store attribute option label ""%1"" is already exists.","L'Étiquette d'option d'attribut de la boutique d'administration «%1» existe déjà."
"The option id is empty. Enter the value and try again.","L'ID de l'option est vide. Entrez la valeur et réessayez."
"The '%1' attribute doesn't include an option id '%2'.","L'attribut ""%1"" n'inclut pas un ID d'option ""%2""."
"Admin store attribute option label '%1' is already exists.","L'Étiquette d'option d'attribut de la boutique d'administration «%1» existe déjà."
"The ""%1"" attribute can't be saved.","L'attribut ""%1"" ne peut pas être sauvegardé."
"The attribute code is empty. Enter the code and try again.","Le code de l'attribut est vide. Entrez le code et réessayez."
"The options for ""%1"" attribute can't be loaded.","Les options de l'attribut ""%1"" ne peuvent pas être chargées."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","L'attribut ""%1"" n'inclut pas d'option avec l'ID ""%2""."
"The ""%1"" attribute doesn't work with options.","L'attribut ""%1"" ne fonctionne pas avec les options."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","L'attribut d'entité avec l'ID ""%1"" n'a pas été trouvé. Réinitialisez l'attribut et réessayez."
"The attribute set name is empty. Enter the name and try again.","Le nom du jeu d'attributs est vide. Entrez le nom et réessayez."
