"Now Shopping by","अब शॉपिंग करके"
"Previous","पिछला"
"Remove","हटाना"
"Remove This Item","इस सामान को हटाओ"
"Shop By","द्वारा खरीदारी"
"Clear All","सभी साफ करें"
"Shopping Options","खरीदारी के विकल्प"
"Welcome to %store_name","%store_name में आपका स्वागत है"
"%name,","%name,"
"Welcome to %store_name.","%store_name में आपका स्वागत है।"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","हमारी साइट पर साइन इन करने के लिए, चेकआउट के दौरान या <a href=""%customer_url""> मेरा खाता </a> पृष्ठ पर इन क्रेडेंशियल्स का उपयोग करें:"
"Email:","ईमेल:"
"Password:","पारण शब्द:"
"Password you set when creating account","खाता बनाते समय आपके द्वारा निर्धारित पासवर्ड"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","अपना खाता पासवर्ड भूल गए? इसे रीसेट करने के लिए <a href=""%reset_url""> यहां </a> क्लिक करें।"
"When you sign in to your account, you will be able to:","जब आप अपने खाते में साइन इन करते हैं, तो आप निम्न में सक्षम होंगे:"
"Quick Checkout","त्वरित जाँच"
"Proceed through checkout faster","तेजी से चेकआउट के माध्यम से आगे बढ़ें"
"Order Status","आदेश की स्थिति"
"Check the status of orders","आदेशों की स्थिति की जाँच करें"
"Manage Addresses","पते प्रबंधित करें"
"Store alternative addresses","वैकल्पिक पते स्टोर करें"
"For shipping to multiple family members and friends","कई परिवार के सदस्यों और दोस्तों के लिए शिपिंग के लिए"
"Order History","आदेश इतिहास"
"View past orders","पिछले आदेश देखें"
"Footer","फ़ुटबाल"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us> हमारे बारे में </a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service> ग्राहक सेवा </a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone </a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","संचालन का समय: <br /> <span class = ""no-link"">%store_hours </ span>।"
"Credit memo for your %store_name order","आपके% store_name ऑर्डर के लिए क्रेडिट मेमो"
"Thank you for your order from %store_name.","% Store_name से आपके आदेश के लिए धन्यवाद।"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","आप अपने आदेश की स्थिति <a href=""%account_url""> अपने खाते में लॉग इन करके </a> देख सकते हैं।"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","यदि आपके पास अपने आदेश के बारे में प्रश्न हैं, तो आप हमें <a href=""mailto:%store_email"">% store_mailail </a> पर ईमेल कर सकते हैं।"
"Your Credit Memo #%creditmemo_id for Order #%order_id","आपका क्रेडिट मेमो #%creditmemo_id ऑर्डर के लिए #%order_id"
"Billing Info","बिलिंग जानकारी"
"Shipping Info","शिपिंग जानकारी"
"Payment Method","भुगतान का तरीका"
"Shipping Method","शिपिंग का तरीका"
"Update to your %store_name credit memo","अपने %store_name क्रेडिट मेमो को अपडेट करें"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","आपके आदेश #%increment_id को <strong>%order_status </ strong> की स्थिति के साथ अपडेट किया गया है।"
"Invoice for your %store_name order","आपके %store_name ऑर्डर के लिए चालान"
"Your Invoice #%invoice_id for Order #%order_id","आपका चालान #%invoice_id ऑर्डर के लिए #%order_id"
"Update to your %store_name invoice","अपने% store_name चालान पर अपडेट करें"
"Your %store_name order confirmation","आपका% store_name आदेश की पुष्टि करता है"
"%customer_name,","%ग्राहक का नाम,"
"Once your package ships we will send you a tracking number.","एक बार आपके पैकेज के जहाज हम आपको एक ट्रैकिंग नंबर भेज देंगे।"
"Your Order <span class=""no-link"">#%increment_id</span>","आपका आदेश <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","<Span class = ""no-link"">% create_at </ span> पर रखा गया"
"Update to your %store_name order","अपने% store_name क्रम में अपडेट करें"
"Your %store_name order has shipped","आपके %store_name आदेश को भेज दिया गया है"
"Your shipping confirmation is below. Thank you again for your business.","आपके शिपिंग पुष्टि नीचे है। आपके व्यवसाय के लिए फिर से धन्यवाद।"
"Your Shipment #%shipment_id for Order #%order_id","आपका शिपमेंट #%शिपमेंट_ के लिए ऑर्डर #% ऑर्डर_आईडी"
"Update to your %store_name shipment","अपने %store_name शिपमेंट में अपडेट करें"
"Account Dashboard","खाता डैशबोर्ड"
"Address Book","पता पुस्तिका"
"Account Information","खाते की जानकारी"
"About Us","हमारे बारे में"
"Customer Service","ग्राहक सेवा"
"My Account","मेरा खाता"
