"Now Shopping by","Пазаруване сега по"
"Previous","Назад"
"Remove","Премахване"
"Remove This Item","Премахнете този елемент"
"Shop By","Пазаруване по"
"Clear All","Изчисти всички"
"Shopping Options","Опции за пазаруване"
"Welcome to %store_name","Добре дошли в %store_name"
"%name,","%name,"
"Welcome to %store_name.","Добре дошли в %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","За да влезете в нашият сайт, използвайте тези идентификационни данни при приключване на поръчката или на страницата <a href=""%customer_url"">Моят профил</a>:"
"Email:","Имейл:"
"Password:","Парола:"
"Password you set when creating account","Парола, която сте задали при регистрация"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забравили сте паролата си? Щракнете <a href=""%reset_url""> тук</a> за да генерирате нова парола."
"When you sign in to your account, you will be able to:","Когато влезете профила си, ще можете да:"
"Quick Checkout","Бърза поръчка"
"Proceed through checkout faster","Продължете по-бързо през финализиране на поръчката"
"Order Status","Статус на поръчката"
"Check the status of orders","Проверка на статуса на поръчките"
"Manage Addresses","Управление на адреси"
"Store alternative addresses","Съхраняване на допълнителни адреси"
"For shipping to multiple family members and friends","За доставка на няколко членове на семейството и приятели"
"Order History","История на поръчките"
"View past orders","Покажи последните поръчки"
"Footer","Футър"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Кредитно известие за вашата поръчка %store_name"
"Thank you for your order from %store_name.","Благодарим ви за вашата поръчка от %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да проверите статуса на вашата поръчка като <a href=""%account_url""> влезете във вашия акаунт</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ако имате въпроси относно вашата поръчка, можете да ни пишете на <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Вашето кредитно известие #%creditmemo_id за поръчка #%order_id"
"Billing Info","Информация за фактуриране"
"Shipping Info","Shipping Info"
"Payment Method","Метод на плащане"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Актуализиране на вашия %store_name кредитно известие"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Вашата поръчка #%increment_id е актуализирана със статут на <strong>%order_status</strong>."
"Invoice for your %store_name order","Фактура за вашата поръчка %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Вашата фактура #%invoice_id за поръчка #%order_id"
"Update to your %store_name invoice","Актуализиране на вашата %store_name фактура"
"Your %store_name order confirmation","%store_name потвърждение на поръчката"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","След изпращане на вашата поръчка ще ви изпратим номер за проследяване."
"Your Order <span class=""no-link"">#%increment_id</span>","Вашата поръчка <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Пуснати на <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Актуализиране на вашата поръчка за %store_name"
"Your %store_name order has shipped","%store_name поръчката е изпратена"
"Your shipping confirmation is below. Thank you again for your business.","Потвърждение за доставката. Благодаря ви отново за вашата поръчка."
"Your Shipment #%shipment_id for Order #%order_id","Вашата пратка #%shipment_id за поръчка #%order_id"
"Update to your %store_name shipment","Актуализиране на вашата %store_name пратка"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
