"Now Shopping by","Ați filtrat după"
"Previous","Anterior"
"Remove","Ștergeți"
"Remove This Item","Ștergeți acest articol"
"Shop By","Filtrați"
"Clear All","Ștergeți toate filtrele"
"Shopping Options","Opțiuni pentru cumpărături"
"Welcome to %store_name","Bine ați venit la %store_name"
"%name,","%nume,"
"Welcome to %store_name.","Bine ați venit la %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pentru a vă autentifica pe site-ul nostru, folosiți următoarele date în timpul procesului de finalizare al comenzii sau pe pagina <a href=""%customer_url"">Contul meu</a>:"
"Email:","Email:"
"Password:","Parolă:"
"Password you set when creating account","Parola setată la crearea contului"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","V-ați uitat parola? Apăsați <a href=""%reset_url"">aici</a> pentru a o reseta."
"When you sign in to your account, you will be able to:","După autentificare, veți putea să:"
"Quick Checkout","Comandă rapidă"
"Proceed through checkout faster","Parcurgeți mai rapid procesul de finalizare al comenzii"
"Order Status","Starea comenzii"
"Check the status of orders","Verificați starea comenzilor"
"Manage Addresses","Administrați adresele"
"Store alternative addresses","Salvați mai multe adrese"
"For shipping to multiple family members and friends","Pentru expedierea la mai mulți membri de familie și prieteni"
"Order History","Istoricul comenzilor"
"View past orders","Vizualizați comenzile anterioare"
"Footer","Subsol"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Despre noi</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Relații clienți</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Program de lucru:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Factură storno pentru comanda %store_name"
"Thank you for your order from %store_name.","Vă mulțumim pentru comanda plasată în magazinul %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteți verifica starea comenzii dumneavoastră autentificându-vă <a href=""%account_url"">în cont </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Dacă aveți întrebări despre comanda dumneavoastră, ne puteți trimite un email la <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Factura storno #%creditmemo_id pentru comanda #%order_id"
"Billing Info","Informații de facturare"
"Shipping Info","Informații de livrare"
"Payment Method","Metodă de plată"
"Shipping Method","Metodă de livrare"
"Update to your %store_name credit memo","Actualizarea facturii storno %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Comanda dvs. #%increment_id a fost actualizată la următorul status <strong>%order_status</strong>."
"Invoice for your %store_name order","Factura fiscală pentru comanda %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Factura fiscală #%invoice_id pentru comanda #%order_id"
"Update to your %store_name invoice","Actualizarea facturii fiscale %store_name"
"Your %store_name order confirmation","Confirmarea comenzii %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","După expedierea comenzii, vă vom trimite un număr de urmărire."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda dumneavoastră <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Plasată în data de <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Actualizarea comenzii dumneavoastră %store_name"
"Your %store_name order has shipped","Comanda dumneavoastră %store_name a fost expediată"
"Your shipping confirmation is below. Thank you again for your business.","Găsiți mai jos confirmarea expedierii comenzii dumneavoastră. Vă mulțumim!"
"Your Shipment #%shipment_id for Order #%order_id","Expediția #%shipment_id pentru comanda #%order_id"
"Update to your %store_name shipment","Actualizarea expediției %store_name"
"Account Dashboard","Tablou de bord"
"Address Book","Agendă"
"Account Information","Informații cont"
"About Us","Despre noi"
"Customer Service","Relații clienți"
"My Account","Contul meu"
