"Now Shopping by","Kupuj przez"
"Previous","Poprzednie"
"Remove","Usuń"
"Remove This Item","Usuń ten element"
"Shop By","Kupuj wg"
"Clear All","Wyczyść wszystko"
"Shopping Options","Opcje zakupów"
"Welcome to %store_name","Witamy w %store_name"
"%name,","%name,"
"Welcome to %store_name.","Witamy w %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Aby zalogować się na naszej stronie, Użyj tych poświadczeń podczas realizacji zamówienia lub na stronie <a href=""%customer_url"">Moje konto</a>:"
"Email:","E-mail:"
"Password:","Hasło:"
"Password you set when creating account","Hasło, które można ustawić podczas tworzenia konta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapomniałeś swoje hasło? Kliknij <a href=""%reset_url""> tutaj</a> aby je zresetować."
"When you sign in to your account, you will be able to:","Gdy zalogujesz się na swoje konto, będziesz mógł:"
"Quick Checkout","Szybkie zamówienie"
"Proceed through checkout faster","Przejdź szybciej przez proces zakupowy"
"Order Status","Stan zamówienia"
"Check the status of orders","Sprawdź status zamówienia"
"Manage Addresses","Zarządzaj adresami"
"Store alternative addresses","Alternatywny adres sklepu"
"For shipping to multiple family members and friends","Koszty wysyłki do wielu członków rodziny i przyjaciół"
"Order History","Historia zamówień"
"View past orders","Przeglądania historii zamówień"
"Footer","Stopka"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Faktura korygująca do zamówienia %store_name"
"Thank you for your order from %store_name.","Dziękuję za Twoje zamówienie z %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Status zamówienia można sprawdzić po <a href=""%account_url""> zalogowaniu się do swojego konta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Jeśli masz pytania dotyczące Twojego zamówienia, możesz napisz do nas na <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Twoja korekta #%creditmemo_id do zamówienia #%order_id"
"Billing Info","Informacje rozliczeniowe"
"Shipping Info","Shipping Info"
"Payment Method","Metoda płatności"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","Aktualizacja do faktury korygującej %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Twoje zamówienie #%increment_id zostało wzbogacone o status <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura za zamówienie %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Twoja #%invoice_id faktura dla zamówienia #%order_id"
"Update to your %store_name invoice","Aktualizacja do faktury %store_name"
"Your %store_name order confirmation","Potwierdzenie zamówienia w sklepie %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Kiedy twoja paczka będzie już w drodze wyślemy tobie numer do śledzenia transportu."
"Your Order <span class=""no-link"">#%increment_id</span>","Twoje zamówienie <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Umieszczony na <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Aktualizacja do zamówienia w sklepie %store_name"
"Your %store_name order has shipped","Twoje zamówienie w sklepie %store_name zostało wysłane"
"Your shipping confirmation is below. Thank you again for your business.","Potwierdzenie wysyłki jest poniżej. Jeszcze raz dziękuję za twoje zamówienie."
"Your Shipment #%shipment_id for Order #%order_id","Twój #%shipment_id wysyłki dla zamówienia #%order_id"
"Update to your %store_name shipment","Aktualizacja do przesyłki %store_name"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
