"Now Shopping by","現在買い物をしている人"
"Previous","前"
"Remove","削除"
"Remove This Item","この商品を削除する"
"Shop By","閲覧中"
"Clear All","すべてクリア"
"Shopping Options","絞り込み条件"
"Welcome to %store_name","%store_name へようこそ"
"%name,","%name,"
"Welcome to %store_name.","ようこそ %store_name へ"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","サイトにサインインするには、これらの身分証明をチェックアウト時か <a href=""%customer_url"">マイアカウント</a> ページにて使用してください:"
"Email:","メール:"
"Password:","パスワード:"
"Password you set when creating account","アカウント作成時に設定したパスワード"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","パスワードをお忘れですか？<a href=""%reset_url"">ここ</a>をクリックしてリセットしてください。"
"When you sign in to your account, you will be able to:","アカウントにサインインすると以下のことができます:"
"Quick Checkout","クイックチェックアウト"
"Proceed through checkout faster","チェックアウトを通して早く処理する"
"Order Status","注文ステータス"
"Check the status of orders","注文のステータスを確認"
"Manage Addresses","住所管理"
"Store alternative addresses","別住所を保管"
"For shipping to multiple family members and friends","複数の家族メンバーと友達のために"
"Order History","注文履歴"
"View past orders","過去の注文を表示"
"Footer","フッター"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","%store_nameオーダーのクレジットメモ"
"Thank you for your order from %store_name.","%store_nameからの注文ありがとうございます。"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url"">アカウントのログイン</a>することによってあなたの注文のステータスを確認できます。"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","注文について質問がある場合は、 <a href=""mailto:%store_email"">%store_email</a>にEメールをお送りください。"
"Your Credit Memo #%creditmemo_id for Order #%order_id","注文#%order_idのあなたのクレジットメモ#%creditmemo_id"
"Billing Info","請求情報"
"Shipping Info","Shipping Info"
"Payment Method","お支払方法"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","%store_name クレジットメモへの更新"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","あなたの注文#%increment_idはステータス<strong>%order_status</strong>で更新されました。"
"Invoice for your %store_name order","%store_nameオーダーの請求書"
"Your Invoice #%invoice_id for Order #%order_id","注文#%order_idのあなたの請求書#%invoice_id"
"Update to your %store_name invoice","%store_name 請求書への更新"
"Your %store_name order confirmation","あなたの %store_name 注文の確認"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","荷物が配送された後に追跡番号をお送りします。"
"Your Order <span class=""no-link"">#%increment_id</span>","あなたの注文 <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","ご注文日 <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","%store_name 注文を更新"
"Your %store_name order has shipped","%store_name 注文が出荷されました"
"Your shipping confirmation is below. Thank you again for your business.","配送確認は以下です。お買い上げありがとうございました。"
"Your Shipment #%shipment_id for Order #%order_id","注文#%order_idのあなたの配送番号 #%shipment_id"""
"Update to your %store_name shipment","%store_name 出荷データへの更新"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
