"Now Shopping by","В настоящее время покупки"
"Previous","Предыдущее"
"Remove","Удалить"
"Remove This Item","Удалить этот элемент"
"Shop By","Магазин по"
"Clear All","Очистить все"
"Shopping Options","Варианты покупок"
"Welcome to %store_name","Добро пожаловать в %store_name"
"%name,","%название,"
"Welcome to %store_name.","Добро пожаловать на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для входа на наш сайт, используйте эти учетные данные во время проверки или на странице Мой аккаунт</a> <a href=""%customer_url"">:"
"Email:","Электронная почта:"
"Password:","Пароль:"
"Password you set when creating account","Пароль, заданный при создании учетной записи"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забыл пароль учетной записи? Нажмите <a href=""%reset_url""> здесь</a>, чтобы сбросить его."
"When you sign in to your account, you will be able to:","Когда вы войдёте в свой аккаунт, вы будет иметь возможность:"
"Quick Checkout","Быстрая проверка"
"Proceed through checkout faster","Пройти через проверку быстрее"
"Order Status","Статус заказа"
"Check the status of orders","Проверить статус заказов"
"Manage Addresses","Управление адресами"
"Store alternative addresses","Альтернативные адреса магазина"
"For shipping to multiple family members and friends","Для отправки нескольким членом семьи и друзьям"
"Order History","История заказов"
"View past orders","Просмотр предыдущих заказов"
"Footer","Подвал (footer)"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>о нас</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>обслуживания клиентов</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Часы работы: <br /> <span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Кредит ноты для заказа %store_name"
"Thank you for your order from %store_name.","Благодарим вас за ваш заказ от %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Вы можете проверить статус вашего заказа, <a href=""%account_url"">войдя в свой аккаунт</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Если у вас есть вопросы о вашем заказе, вы можете написать нам на <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","#%creditmemo_id ваш кредит ноты для заказа #%order_id"
"Billing Info","Информация об оплате"
"Shipping Info","Информация по доставке"
"Payment Method","Метод оплаты"
"Shipping Method","Способ доставки"
"Update to your %store_name credit memo","Обновить ваш кредит ноту tore_name %s"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Ваш заказ #%increment_id был обновлен со статусом <strong>%order_status</strong>."
"Invoice for your %store_name order","Счет для заказа %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Ваш счет #%invoice_id для заказа #%order_id"
"Update to your %store_name invoice","Обновить ваш счет tore_name %s"
"Your %store_name order confirmation","Подтверждение заказа %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Как только ваш пакет будет отправлен, мы дадим вам номер для отслеживания."
"Your Order <span class=""no-link"">#%increment_id</span>","Ваш заказ <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","На <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Обновить ваш заказ tore_name %s"
"Your %store_name order has shipped","%store_name заказ отправлен"
"Your shipping confirmation is below. Thank you again for your business.","Подтверждение доставки находится ниже. Еще раз спасибо за ваш бизнес."
"Your Shipment #%shipment_id for Order #%order_id","Ваш груз #%shipment_id для заказа #%order_id"
"Update to your %store_name shipment","Обновление для вашего груза tore_name %s"
"Account Dashboard","Панель управления"
"Address Book","Адресная книга"
"Account Information","Данные учётной записи"
"About Us","О нас"
"Customer Service","Обслуживание клиентов"
"My Account","Моя учётная запись"
