"Now Shopping by","กำลังช้อปปิ้งโดย"
"Previous","ก่อนหน้านี้"
"Remove","ลบ"
"Remove This Item","ลบสินค้าชิ้นนี้"
"Shop By","เลือกซื้อโดย"
"Clear All","ลบทั้งหมด"
"Shopping Options","ตัวเลือกการช็อปปิ้ง"
"Welcome to %store_name","ยินดีต้อนรับสู่ %store_name"
"%name,","%name,"
"Welcome to %store_name.","ยินดีต้อนรับสู่ %store_name"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","ในการลงชื่อเข้าใช้ไซต์ของเรา ใช้ข้อมูลประจำตัวเหล่านี้ระหว่างการชำระเงินหรือที่หน้า <a href=""%customer_url"">บัญชีของฉัน</a>:"
"Email:","อีเมล:"
"Password:","รหัสผ่าน:"
"Password you set when creating account","รหัสผ่านที่คุณตั้งไว้เมื่อสร้างบัญชี"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ลืมรหัสผ่านบัญชีของคุณ? คลิก <a href=""%reset_url""> ที่นี่ </a> เพื่อรีเซ็ต"
"When you sign in to your account, you will be able to:","เมื่อคุณลงชื่อเข้าใช้บัญชีของคุณ คุณจะสามารถ:"
"Quick Checkout","ชำระเงินด่วน"
"Proceed through checkout faster","ดำเนินการชำระเงินได้เร็วขึ้น"
"Order Status","สถานะการสั่งซื้อ"
"Check the status of orders","ตรวจสอบสถานะการสั่งซื้อ"
"Manage Addresses","จัดการที่อยู่"
"Store alternative addresses","จัดเก็บที่อยู่สำรอง"
"For shipping to multiple family members and friends","สำหรับการจัดส่งไปยังสมาชิกในครอบครัวและเพื่อนฝูงหลายคน"
"Order History","ประวัติการสั่งซื้อ"
"View past orders","ดูคำสั่งซื้อที่ผ่านมา"
"Footer","ส่วนท้าย"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","ใบลดหนี้สำหรับการสั่งซื้อ %store_name ของคุณ"
"Thank you for your order from %store_name.","ขอบคุณสำหรับการสั่งซื้อจาก %store_name"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","คุณสามารถตรวจสอบสถานะการสั่งซื้อของคุณได้โดย <a href=""%account_url"">ลงชื่อเข้าใช้บัญชีของคุณ</a>"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","หากคุณมีคำถามเกี่ยวกับการสั่งซื้อของคุณ คุณสามารถส่งอีเมลหาเราได้ที่ <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","ใบลดหนี้ของคุณ #%creditmemo_id สำหรับคำสั่งซื้อ #%order_id"
"Billing Info","ข้อมูลการเรียกเก็บเงิน"
"Shipping Info","Shipping Info"
"Payment Method","วิธีการชำระเงิน"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","อัปเดตใบลดหนี้ %store_name ของคุณ"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","คำสั่งซื้อของคุณ #%increment_id ได้รับการอัปเดตด้วยสถานะ <strong>%order_status</strong>"
"Invoice for your %store_name order","ใบแจ้งหนี้สำหรับการสั่งซื้อ %store_name ของคุณ"
"Your Invoice #%invoice_id for Order #%order_id","ใบแจ้งหนี้ของคุณ #%invoice_id สำหรับการสั่งซื้อ #%order_id"
"Update to your %store_name invoice","อัปเดตใบแจ้งหนี้ %store_name ของคุณ"
"Your %store_name order confirmation","การยืนยันการสั่งซื้อ %store_name ของคุณ"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","เมื่อพัสดุของคุณถูกจัดส่ง เราจะส่งหมายเลขติดตามให้คุณ"
"Your Order <span class=""no-link"">#%increment_id</span>","คำสั่งซื้อของคุณ <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","วางบน <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","อัปเดตคำสั่งซื้อ %store_name ของคุณ"
"Your %store_name order has shipped","จัดส่งคำสั่งซื้อ %store_name ของคุณแล้ว"
"Your shipping confirmation is below. Thank you again for your business.","การยืนยันการจัดส่งของคุณอยู่ด้านล่าง ขอขอบคุณอีกครั้งสำหรับธุรกิจของคุณ"
"Your Shipment #%shipment_id for Order #%order_id","การจัดส่งของคุณ #%shipment_id สำหรับการสั่งซื้อ #%order_id"
"Update to your %store_name shipment","อัปเดตการจัดส่ง %store_name ของคุณ"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
