"Now Shopping by","දැන් Shopping by"
"Previous","කලින්"
"Remove","ඉවත් කරන්න"
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Shop By","සාප්පු සවාරි යන්න"
"Clear All","සියල්ල හිස් කරන්න"
"Shopping Options","සාප්පු සවාරි විකල්ප"
"Welcome to %store_name","%store_name වෙත සාදරයෙන් පිළිගනිමු"
"%name,","%nam,"
"Welcome to %store_name.","%store_name වෙත සාදරයෙන් පිළිගනිමු."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","අපගේ වෙබ් අඩවියට පුරනය වීමට, පිටවීමේදී හෝ <a href=""%customer_url"">My Account</a> පිටුවේ මෙම අක්තපත්‍ර භාවිතා කරන්න:"
"Email:","විද්යුත් තැපෑල:"
"Password:","මුරපදය:"
"Password you set when creating account","ගිණුමක් සෑදීමේදී ඔබ සැකසූ මුරපදය"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ඔබගේ ගිණුමේ මුරපදය අමතකද? එය නැවත සැකසීමට මෙහි <a href=""%reset_url""></a> ක්ලික් කරන්න."
"When you sign in to your account, you will be able to:","ඔබ ඔබගේ ගිණුමට පුරනය වූ විට, ඔබට හැකි වනු ඇත:"
"Quick Checkout","ඉක්මන් පිටවීම"
"Proceed through checkout faster","ඉක්මනින් පිටවීම හරහා ඉදිරියට යන්න"
"Order Status","ඇණවුම් තත්ත්වය"
"Check the status of orders","ඇණවුම්වල තත්ත්වය පරීක්ෂා කරන්න"
"Manage Addresses","ලිපින කළමනාකරණය කරන්න"
"Store alternative addresses","විකල්ප ලිපින ගබඩා කරන්න"
"For shipping to multiple family members and friends","පවුලේ සාමාජිකයන් සහ මිතුරන් කිහිප දෙනෙකු වෙත නැව්ගත කිරීම සඳහා"
"Order History","ඇණවුම් ඉතිහාසය"
"View past orders","පසුගිය ඇණවුම් බලන්න"
"Footer","පාදකය"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","ඔබගේ %store_name ඇණවුම සඳහා ණය සටහන"
"Thank you for your order from %store_name.","%store_name වෙතින් ඔබගේ ඇණවුමට ස්තූතියි."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url"">ඔබගේ ගිණුමට ලොග් වීම</a>මගින් ඔබට ඔබගේ ඇණවුමේ තත්ත්වය පරීක්ෂා කළ හැක."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","ඔබට ඔබේ ඇණවුම ගැන ප්‍රශ්න ඇත්නම්, ඔබට <a href=""mailto:%store_email"">%store_email</a>ට අපට විද්‍යුත් තැපැල් කළ හැක."
"Your Credit Memo #%creditmemo_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ ණය සටහන #%creditmemo_id"
"Billing Info","බිල්පත් තොරතුරු"
"Shipping Info","Shipping Info"
"Payment Method","ගෙවීම් ක්රමය"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","ඔබගේ %store_name ණය සටහනට යාවත්කාලීන කරන්න"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","ඔබගේ ඇණවුම #%increment_id <strong>%order_තත්ත්වය</strong>තත්ත්වයකින් යාවත්කාලීන කර ඇත."
"Invoice for your %store_name order","ඔබගේ %store_name ඇණවුම සඳහා ඉන්වොයිසිය"
"Your Invoice #%invoice_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ ඉන්වොයිසිය #%invoice_id"
"Update to your %store_name invoice","ඔබගේ %store_name ඉන්වොයිසියට යාවත්කාලීන කරන්න"
"Your %store_name order confirmation","ඔබගේ %store_name ඇණවුම තහවුරු කිරීම"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","ඔබේ පැකේජය නැව්ගත කළ පසු අපි ඔබට ලුහුබැඳීමේ අංකයක් එවන්නෙමු."
"Your Order <span class=""no-link"">#%increment_id</span>","ඔබේ ඇණවුම <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","<span class=""no-link"">%created_at</span>මත තබා ඇත"
"Update to your %store_name order","ඔබගේ %store_name අනුපිළිවෙලට යාවත්කාලීන කරන්න"
"Your %store_name order has shipped","ඔබගේ %store_name ඇණවුම නැව්ගත කර ඇත"
"Your shipping confirmation is below. Thank you again for your business.","ඔබගේ නැව්ගත කිරීමේ තහවුරු කිරීම පහත දැක්වේ. ඔබේ ව්‍යාපාරයට නැවතත් ස්තූතියි."
"Your Shipment #%shipment_id for Order #%order_id","ඇණවුම #%order_id සඳහා ඔබේ නැව්ගත කිරීම #%shipment_id"
"Update to your %store_name shipment","ඔබගේ %store_name නැව්ගත කිරීම වෙත යාවත්කාලීන කරන්න"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
