"Now Shopping by","现在购物用"
"Previous","前一页"
"Remove","删除"
"Remove This Item","删除该内容"
"Shop By","清除全部"
"Clear All","全部清除"
"Shopping Options","购物的选项"
"Welcome to %store_name","欢迎光临%store_name"
"%name,","%名称，"
"Welcome to %store_name.","欢迎来到 %store_name。"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","如果要登录到我们的网站，请使用这些凭据，在签出期间或在 <a href=""%customer_url""> 我的帐户</a> 页面:"
"Email:","邮箱："
"Password:","密码:"
"Password you set when creating account","在创建帐户时设置的密码"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","忘记了您的帐户密码?点击 <a href=""%reset_url""> 这里</a> 重置它。"
"When you sign in to your account, you will be able to:","当您登录到您的帐户时，您将能够:"
"Quick Checkout","快速结账"
"Proceed through checkout faster","更快地进行结帐"
"Order Status","订单状态"
"Check the status of orders","检查订单的状态"
"Manage Addresses","管理地址"
"Store alternative addresses","存储备用地址"
"For shipping to multiple family members and friends","为传送到多个家庭成员和朋友"
"Order History","订单历史记录"
"View past orders","查看过去的订单"
"Footer","页脚"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>About Us</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Customer Service</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","更新到您的 %store_name 订单"
"Thank you for your order from %store_name.","谢谢您从% store_name中订购的订单。"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","通过 <a href=""%account_url""> 登录到您的帐户</a>，可以检查您的订单状态。"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","如果您对订单有任何疑问, 可在 <a href=""mailto:%store_email"">%store_email</a> 处向我们发送电子邮件。"
"Your Credit Memo #%creditmemo_id for Order #%order_id","您的信用备忘录# % creditmemo_id为Order % order_id"
"Billing Info","付费信息"
"Shipping Info","Shipping Info"
"Payment Method","支付方式"
"Shipping Method","Shipping Method"
"Update to your %store_name credit memo","更新到你 %store_name 贷项通知单"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","你订单 #%increment_id 已更新的状态为 <strong>%order_status</strong>。"
"Invoice for your %store_name order","更新到您的 %store_name 订单"
"Your Invoice #%invoice_id for Order #%order_id","为订单 #%order_id 你发票 #%invoice_id"
"Update to your %store_name invoice","更新到您的 %store_name 发票"
"Your %store_name order confirmation","您的 %store_name 订单确认"
"%customer_name,","%customer_name，"
"Once your package ships we will send you a tracking number.","一旦你的包裹发货，我们会给你一个追踪号码。 "
"Your Order <span class=""no-link"">#%increment_id</span>","您的订单 <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","放在 <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","更新到您的 %store_name 订单"
"Your %store_name order has shipped","您的 %store_name 订单已发货"
"Your shipping confirmation is below. Thank you again for your business.","下面是您发货确认信息。再次感谢您为您的业务。"
"Your Shipment #%shipment_id for Order #%order_id","为订单 #%order_id 你装运 #%shipment_id"
"Update to your %store_name shipment","更新您的% store_name装运"
"Account Dashboard","Account Dashboard"
"Address Book","Address Book"
"Account Information","Account Information"
"About Us","About Us"
"Customer Service","Customer Service"
"My Account","My Account"
