"Now Shopping by","Valitut suodattimet"
"Previous","Edellinen"
"Remove","Poista"
"Remove This Item","Poista tämä nimike"
"Shop By","Rajaa"
"Clear All","Tyhjennä kaikki"
"Shopping Options","Listausvalinnat"
"Welcome to %store_name","Tervetuloa %store_name -kauppaan"
"%name,","%name,"
"Welcome to %store_name.","Tervetuloa %store_name -kauppaan!"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Kirjautuaksesi sivustollemme, käytä näitä tunnistetietoja kassalla tai <a href=""%customer_url"">Oma tili</a> -sivulla:"
"Email:","Sähköposti:"
"Password:","Salasana:"
"Password you set when creating account","Salasana, jonka asetit tilin luonnin yhteydessä"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unohditko salasanan? Klikkaa <a href=""%reset_url"">tästä</a> nollataksesi sen."
"When you sign in to your account, you will be able to:","Kirjauduttuasi tilillesi voit:"
"Quick Checkout","Nopea tilaus"
"Proceed through checkout faster","Ostaa nopeammin"
"Order Status","Tilauksen tila"
"Check the status of orders","Tarkastaa tilausten tilan"
"Manage Addresses","Osoitteiden hallinta"
"Store alternative addresses","Tallenna vaihtoehtoinen osoite"
"For shipping to multiple family members and friends","Jos haluat useita toimitusosoitteita eri perheenjäseniä ja ystäviä varten"
"Order History","Tilaushistoria"
"View past orders","Tarkastella aiempia tilauksia"
"Footer","Alatunniste"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Meistä</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Asiakaspalvelu</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Aukioloajat: <br /> <span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Hyvityslaskun tilaukselle %store_name"
"Thank you for your order from %store_name.","Kiitos tilauksestasi %store_name -kaupassa."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Voit tarkistaa tilauksesi tilan <a href=""%account_url"">kirjautumalla tilillesi</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Jos sinulla on kysyttävää tilauksestasi, voit lähettää meille sähköpostia osoitteeseen <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Hyvityslaskun tiedot #%creditmemo_id tilaukselle #%order_id"
"Billing Info","Laskutustiedot"
"Shipping Info","Toimitustiedot"
"Payment Method","Maksutapa"
"Shipping Method","Toimitustapa"
"Update to your %store_name credit memo","Päivitys %store_name -hyvityslaskulle"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Tilauksesi #%increment_id tila on päivitetty: <strong>%order_status</strong>."
"Invoice for your %store_name order","Lasku tilauksellesi %store_name -kaupassa"
"Your Invoice #%invoice_id for Order #%order_id","Lasku #%invoice_id tilaukselle #%order_id"
"Update to your %store_name invoice","Päivitys %store_name -laskulle"
"Your %store_name order confirmation","%store_name -tilausvahvistus"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Kun pakettisi toimitetaan, lähetämme sinulle seurantanumeron."
"Your Order <span class=""no-link"">#%increment_id</span>","Tilauksesi <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tilattu <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Päivitys %store_name -tilaukselle"
"Your %store_name order has shipped","%store_name -tilaus on lähetetty"
"Your shipping confirmation is below. Thank you again for your business.","Tilauksen lähetysvahvistus alapuolella. Kiitos vielä tilauksestasi!"
"Your Shipment #%shipment_id for Order #%order_id","Toimitus #%shipment_id tilaukselle #%order_id"
"Update to your %store_name shipment","Päivitys %store_name -toimitukselle"
"Account Dashboard","Tilin hallintapaneeli"
"Address Book","Osoitekirja"
"Account Information","Tilin tiedot"
"About Us","Meistä"
"Customer Service","Asiakaspalvelu"
"My Account","Oma tili"
