"Delete Selected Problems","Excluir problemas selecionados"
"Unsubscribe Selected","Remover Subscrição aos Selecionados"
"Back","Voltar"
"Reset","Repor"
"Preview Template","Pré-Visualizar Template"
"Save Newsletter","Gravar Newsletter"
"Save and Resume","Gravar e Continuar"
"View Newsletter","Ver Newsletter"
"Edit Newsletter","Editar Newsletter"
"Queue Information","Informações de Fila"
"Queue Date Start","Data de Início da Fila"
"Subscribers From","Subscritores De"
"Subject","Assunto"
"Sender Name","Nome do Remetente"
"Sender Email","Email do Remetente"
"Message","Mensagem"
"Newsletter Styles","Estilos de Newsletter"
"Start","Ínicio"
"Pause","Pausa"
"Do you really want to cancel the queue?","Quer cancelar a fila?"
"Cancel","Cancelar"
"Resume","Resumir"
"Preview","Pré-Visualizar"
"Add New Template","Adicionar Novo Template"
"Newsletter Templates","Template de Newsletter"
"Convert to Plain Text","Converter para Texto sem Formatação"
"Return HTML Version","Retornar a Versão Html"
"Delete Template","Remover Template"
"Save As","Guardar Como"
"Save Template","Gravar Template"
"Edit Newsletter Template","Editar Template de Newsletter"
"New Newsletter Template","Novo Template de Newsletter"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Subject","Assunto do Template"
"Template Content","Conteúdo do Template"
"Template Styles","Estilos do Template"
"No Templates Found","Nenhum Template Encontrado"
"ID","Id."
"Template","Modelo"
"Added","Adicionado"
"Updated","Atualizado"
"Sender","Remetente"
"Template Type","Tipo de Template"
"Action","Ação"
"Queue Newsletter","Newsletter da Fila"
"We unsubscribed the people you identified.","Removemos a subscrição às pessoas que identificou."
"The problems you identified have been deleted.","Os problemas que identificou foram excluídos."
"Newsletter Problems Report","Relatório de Problemas da Newsletter"
"Newsletter Problem Reports","Relatórios de Problemas da Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Edit Queue","Editar Fila"
"Please correct the newsletter template and try again.","Por favor corrija o template da newsletter e tente novamente."
"You saved the newsletter queue.","Gravou a fila da newsletter."
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter","Newsletter"
"Subscribers","Subscritores"
"Please select one or more subscribers.","Por favor selecione um ou mais subscritores."
"Total of %1 record(s) were deleted.","Foram eliminados um total de %1 registo(s)."
"A total of %1 record(s) were updated.","Um total de %1 registo(s) foram atualizados."
"The newsletter template has been deleted.","O template da newsletter foi eliminado."
"We can't delete this template right now.","De momento não é possível eliminar este template."
"Edit Template","Editar Template"
"New Template","Novo Template"
"Create Newsletter Template","Novo Template de Newsletter"
"The newsletter template has been saved.","O template da newsletter foi gravado."
"Something went wrong while saving this template.","Algo correu mal ao gravar este template."
"Newsletter Subscription","Subscrição da Newsletter"
"Something went wrong while saving your subscription.","Algo correu mal durante a gravação da sua subscrição."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","A sua subscrição foi confirmada."
"This is an invalid subscription confirmation code.","Este é um código de confirmação de subscrição inválido."
"This is an invalid subscription ID.","Este é um ID de subscrição inválido."
"This email address is already assigned to another user.","Este endereço de email já está associado a outra conta."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Pedimos desculpa, mas o administrador bloqueou as subscrições para utilizadores não registados. Por favor <a href=""%1"">registe-se</a>."
"Please enter a valid email address.","Por favor introduza um endereço de email válido."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Obrigado pela sua subscrição."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Algo correu mal com a subscrição."
"You unsubscribed.","Cancelou a sua subscrição."
"Something went wrong while unsubscribing you.","Algo correu mal durante o cancelamento da subscrição."
"Sent","Enviada"
"Cancelled","Cancelada"
"Not Sent","Não Enviada"
"Sending","Enviando"
"Paused","Pausada"
"There are no subscribers selected.","Não há nenhuns subscritores selecionados."
"You selected an invalid queue.","Selecionou uma fila inválida."
"We cannot mark as received subscriber.","Não conseguimos marcar como subscritor."
"Duplicate template code","Código do template duplicado"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique neste link para cancelar a sua subscrição <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Nenhum entidade com %fieldName = %fieldValue"
"Choose Store View:","Escolha a Vista de Loja:"
"Newsletter Message Preview","Pré-visualização da Mensagem da Newsletter"
"Add to Queue","Adicionar à Fila"
"Are you sure that you want to strip all tags?","Tem a certeza que pretende remover as tags?"
"Please enter a new template name.","Por favor insira um nome para o template."
" Copy"," Copiar"
"Are you sure you want to delete this template?","Tem a certeza que pretende remover este template?"
"Sign Up for Our Newsletter:","Subscreva a nossa Newsletter:"
"Enter your email address","Insira o seu endereço de email"
"Subscribe","Subscrever"
"Newsletter subscription confirmation","Confirmação de subscrição da Newsletter"
"Thank you for subscribing to our newsletter.","Obrigado por subscrever à nossa newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Para começar a receber a newsletter, primeiro tem de confirmar a sua subscrição clicando no seguinte link:"
"Newsletter subscription success","Sucesso na subscrição da Newsletter"
"You have been successfully subscribed to our newsletter.","Subscreveu a nossa newsletter com sucesso."
"Newsletter unsubscription success","Sucesso de cancelamento da Newsletter"
"You have been unsubscribed from the newsletter.","Cancelou a sua subscrição da newsletter com sucesso."
"Newsletter Template","Template de Newsletter"
"Newsletter Section","Secção da Newsletter"
"Subscription Options","Opções de Subscrição"
"Allow Guest Subscription","Permitir Subscrição a Utilizadores Não Registados"
"Need to Confirm","Pedir Confirmação"
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template do E-mail de Confirmação"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Success Email Sender","Remetente do Email de Sucesso"
"Success Email Template","Template do Email de Sucesso"
"Unsubscription Email Sender","Remetente do E-mail de Cancelamento"
"Unsubscription Email Template","Template do E-mail de Cancelamento"
"We found no problems.","Não encontrámos problemas."
"Subscriber","Subscritor"
"Queue Start Date","Data de Início da Fila"
"Queue Subject","Assunto da Fila"
"Error Code","Código do Erro"
"Error Text","Texto do Erro"
"Queue Start","Início da Fila"
"Queue End","Fim da Fila"
"Status","Estado"
"Processed","Processada"
"Recipients","Destinatários"
"Unsubscribe","Cancelar Subscrição"
"Delete","Eliminar"
"CSV","CSV"
"Excel XML","XML Excel"
"Email","Correio electrónico"
"Type","Tipo"
"Guest","Convidado"
"Customer","Cliente"
"Customer First Name","Nome do Cliente"
"Customer Last Name","Sobrenome do Cliente"
"Not Activated","Não Ativado"
"Subscribed","Subscrito"
"Unsubscribed","Não Subscrito"
"Unconfirmed","Não Confirmado"
"Web Site","Website"
"Store","Loja"
"Store View","Vista da Loja"
"Newsletter Subscriptions","Subscrições da Newsletter"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
