"Delete Selected Problems","Poista valitut ongelmat"
"Unsubscribe Selected","Peruuta valittujen tilaus"
"Back","Takaisin"
"Reset","Tyhjennä"
"Preview Template","Esikatsele mallia"
"Save Newsletter","Tallenna uutiskirje"
"Save and Resume","Tallenna ja jatka"
"View Newsletter","Tarkastele uutiskirjettä"
"Edit Newsletter","Muokkaa uutiskirjettä"
"Queue Information","Lähetysjonon tiedot"
"Queue Date Start","Lähetysjonon aloituspäivämäärä"
"Subscribers From","Tilaajat"
"Subject","Aihe"
"Sender Name","Lähettäjän nimi"
"Sender Email","Lähettäjän sähköposti"
"Message","Viesti"
"Newsletter Styles","Uutiskirjeiden tyylit"
"Start","Aloita"
"Pause","Pysäytä"
"Do you really want to cancel the queue?","Haluatko varmasti peruuttaa lähetysjonon?"
"Cancel","Peruuta"
"Resume","Jatka"
"Preview","Esikatselu"
"Add New Template","Lisää uusi malli"
"Newsletter Templates","Uutiskirjeiden mallipohjat"
"Convert to Plain Text","Muuta tekstimuotoon"
"Return HTML Version","Palauta HTML-versio"
"Delete Template","Poista malli"
"Save As","Tallenna nimellä"
"Save Template","Tallenna malli"
"Edit Newsletter Template","Muokkaa uutiskirjeen mallipohjaa"
"New Newsletter Template","Uusi uutiskirjemalli"
"Template Information","Tietoja mallipohjasta"
"Template Name","Mallipohjan nimi"
"Template Subject","Mallin aihe"
"Template Content","Mallin sisältö"
"Template Styles","Mallipohjatyylit"
"No Templates Found","Malleja ei löydy"
"ID","Tunnus"
"Template","Malli"
"Added","Lisätty"
"Updated","Päivitetty"
"Sender","Lähettäjä"
"Template Type","Mallityyppi"
"Action","Toiminto"
"Queue Newsletter","Laita uutiskirje jonoon"
"We unsubscribed the people you identified.","Valitsemiesi asiakkaiden tilaus on peruttu."
"The problems you identified have been deleted.","Tunnistamasi ongelmat on poistettu."
"Newsletter Problems Report","Uutiskirjeen virheraportti"
"Newsletter Problem Reports","Uutiskirjeen virheraportit"
"Newsletter Queue","Uutiskirjejono"
"Edit Queue","Muokkaa jonoa"
"Please correct the newsletter template and try again.","Korjaa uutiskirjeen mallipohja ja yritä uudelleen."
"You saved the newsletter queue.","Uutiskirjeen lähetysjono tallennettu."
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Newsletter","Uutiskirje"
"Subscribers","Tilaajat"
"Please select one or more subscribers.","Valitse yksi tai useampia tilaaja."
"Total of %1 record(s) were deleted.","Yhteensä %1 tietuetta päivitettiin."
"A total of %1 record(s) were updated.","Yhteensä %1 tietuetta päivitettiin."
"The newsletter template has been deleted.","Uutiskirjepohja on poistettu."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Muokkaa mallia"
"New Template","Uusi viestipohja"
"Create Newsletter Template","Luo uutiskirjepohja"
"The newsletter template has been saved.","Uutiskirjepohja on tallennettu."
"Something went wrong while saving this template.","Pohjaa tallennettaessa tapahtui virhe."
"Newsletter Subscription","Uutiskirjeen tilaus"
"Something went wrong while saving your subscription.","Tilauksesi tallennuksessa tapahtui virhe."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Tilauksesi on vahvistettu."
"This is an invalid subscription confirmation code.","Virheellinen tilauksen vahvistuskoodi."
"This is an invalid subscription ID.","Virheellinen tilaustunnus."
"This email address is already assigned to another user.","Antamasi sähköpostiosoite on jo käytössä."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Uutiskirjeen tilaus vaatii kirjautumisen. Ole hyvä ja <a href=""%1"">rekisteröidy käyttäjäksi</a>."
"Please enter a valid email address.","Syötä toimiva sähköpostiosoite."
"This email address is already subscribed.","Tällä sähköpostiosoitteella löytyi jo tilaus."
"The confirmation request has been sent.","Vahvistuspyyntö on lähetetty."
"Thank you for your subscription.","Kiitos tilaamisesta."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Tilauksen yhteydessä tapahtui virhe."
"You unsubscribed.","Tilaus on lopetettu."
"Something went wrong while unsubscribing you.","Tilauksen perumisen yhteydessä tapahtui virhe."
"Sent","Lähetetty"
"Cancelled","Peruutettu"
"Not Sent","Ei lähetetty"
"Sending","Lähettäminen"
"Paused","Keskeytetty"
"There are no subscribers selected.","Tilausta ei ole valittu."
"You selected an invalid queue.","Valitsit virheellisen jonon."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Voit perua uutiskirjeen tilauksesi tästä <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Valitse kauppanäkymä:"
"Newsletter Message Preview","Uutiskirjeen viestin esikatselu"
"Add to Queue","Lisää jonoon"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Syötä mallille uusi nimi."
" Copy"," Kopioi"
"Are you sure you want to delete this template?","Oletko varma, että halua poistaa tämän pohjan?"
"Sign Up for Our Newsletter:","Tilaa uutiskirjeemme:"
"Enter your email address","Syötä sähköpostiosoitteesi"
"Subscribe","Tilaa uutiskirje"
"Newsletter subscription confirmation","Uutiskirjeen tilauksen vahvistus"
"Thank you for subscribing to our newsletter.","Kiitos uutiskirjeemme tilaamisesta."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Saadaksesi jatkossa uutiskirjeen sinun tulee ensin vahvistaa tilauksesi klikkaamalla seuraavaa linkkiä:"
"Newsletter subscription success","Uutiskirjeen tilaaminen onnistui"
"You have been successfully subscribed to our newsletter.","Olet onnistuneesti tilannut uutiskirjeemme."
"Newsletter unsubscription success","Uutiskirjeen peruuttaminen onnistui"
"You have been unsubscribed from the newsletter.","Olet peruuttanut uutiskirjeen tilauksen."
"Newsletter Template","Uutiskirjeen mallipohja"
"Newsletter Section","Uutiskirjeosio"
"Subscription Options","Tilaustiedot"
"Allow Guest Subscription","Salli uutiskirjeen tilaus kirjautumatta"
"Need to Confirm","Vaatii vahvistuksen"
"Confirmation Email Sender","Vahvistussähköpostin lähettäjä"
"Confirmation Email Template","Vahvistussähköpostin pohja"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Tilaaja"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Virhekoodi"
"Error Text","Virheteksti"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Tila"
"Processed","Processed"
"Recipients","Vastaanottajat"
"Unsubscribe","Lopeta tilaus"
"Delete","Poista"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Sähköposti"
"Type","Tyyppi"
"Guest","Vieras"
"Customer","Asiakas"
"Customer First Name","Asiakkaan etunimi"
"Customer Last Name","Asiakkaan sukunimi"
"Not Activated","Ei aktivoitu"
"Subscribed","Tilattu"
"Unsubscribed","Tilaus lopetettu"
"Unconfirmed","Ei vahvistettu"
"Web Site","Sivusto"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Newsletter Subscriptions","Uutiskirjeen tilaukset"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","Vahvistuspyyntö on lähetetty."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
