"Delete Selected Problems","選択した問題を削除する"
"Unsubscribe Selected","未購読を選択しました"
"Back","戻る"
"Reset","リセット"
"Preview Template","テンプレートのプレビュー"
"Save Newsletter","ニュースレターの保存"
"Save and Resume","保存して続ける"
"View Newsletter","ニュースレターを見る"
"Edit Newsletter","ニュースレターの編集"
"Queue Information","キュー情報"
"Queue Date Start","キュー開始日"
"Subscribers From","購読者"
"Subject","件名"
"Sender Name","送信者名"
"Sender Email","送信者メールアドレス"
"Message","メッセージ"
"Newsletter Styles","ニュースレター形式"
"Start","開始"
"Pause","ポーズ"
"Do you really want to cancel the queue?","キューをキャンセルしてもよろしいですか？"
"Cancel","キャンセル"
"Resume","レジューム"
"Preview","プレビュー"
"Add New Template","新しいテンプレートの追加"
"Newsletter Templates","ニュースレターテンプレート"
"Convert to Plain Text","プレーンテキストに変換"
"Return HTML Version","HTMLバージョン"
"Delete Template","テンプレートの削除"
"Save As","名前をつけて保存"
"Save Template","テンプレートの保存"
"Edit Newsletter Template","ニュースレターテンプレートの編集"
"New Newsletter Template","新規ニュースレターテンプレート"
"Template Information","テンプレート情報"
"Template Name","テンプレート名"
"Template Subject","テンプレート件名"
"Template Content","テンプレートコンテンツ"
"Template Styles","テンプレートスタイル"
"No Templates Found","テンプレートが見つかりませんでした"
"ID","ID"
"Template","テンプレート"
"Added","追加済み"
"Updated","更新"
"Sender","送り主"
"Template Type","テンプレートタイプ"
"Action","アクション"
"Queue Newsletter","ニュースレターをキューに入れる"
"We unsubscribed the people you identified.","指定された顧客を未購読にしました"
"The problems you identified have been deleted.","あなたが見つけた問題は削除されました"
"Newsletter Problems Report","ニュースレター問題報告"
"Newsletter Problem Reports","ニュースレター問題報告"
"Newsletter Queue","ニュースレターキュー"
"Edit Queue","キューを編集"
"Please correct the newsletter template and try again.","ニュースレターテンプレートを修正して再度試してください"
"You saved the newsletter queue.","ニュースレターのキューを保存しました。"
"Newsletter Subscribers","ニュースレター購読者"
"Newsletter","ニュースレター"
"Subscribers","購読者"
"Please select one or more subscribers.","一人以上の購読者を選択してください"
"Total of %1 record(s) were deleted.","合計%1レコードが削除されました。"
"A total of %1 record(s) were updated.","合計 %1 のレコードがアップデートされました。"
"The newsletter template has been deleted.","ニュースレターテンプレートが削除されました"
"We can't delete this template right now.","今現在このテンプレートを削除できません。"
"Edit Template","テンプレートの編集"
"New Template","新規テンプレート"
"Create Newsletter Template","新しいメールテンプレートを作成"
"The newsletter template has been saved.","ニュースレターテンプレートは保存されました"
"Something went wrong while saving this template.","このテンプレートの保存中に問題が発生しました。"
"Newsletter Subscription","ニュースレター購読"
"Something went wrong while saving your subscription.","あなたの購読をセーブ中に問題が発生しました"
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","ニュースレター購読登録を完了しました。"
"This is an invalid subscription confirmation code.","これは無効な購読確認コードです"
"This is an invalid subscription ID.","これは無効な購読確認IDです"
"This email address is already assigned to another user.","このメールアドレスは既に使用されています。"
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","申し訳ありません、アドミニストレーターがゲストの購読を許可しませんでした。こちら <a href=""%1"">登録</a>願います。"
"Please enter a valid email address.","正しいメールアドレスを入力してください。"
"This email address is already subscribed.","このメールアドレスは既に登録済みです。"
"The confirmation request has been sent.","確認リクエストが送られました"
"Thank you for your subscription.","ご購読ありがとうございます。"
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","購読に問題が発生しました"
"You unsubscribed.","購読解除しました。"
"Something went wrong while unsubscribing you.","購読を解除中に問題が発生しました。"
"Sent","送信済"
"Cancelled","キャンセル済"
"Not Sent","未送信"
"Sending","送信中"
"Paused","ポーズ"
"There are no subscribers selected.","購読者を選択していません"
"You selected an invalid queue.","不正なキューを選択しました"
"We cannot mark as received subscriber.","受け取った購読者としてマークできませんでした"
"Duplicate template code","テンプレートコードを複製"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","購読解除するにはこのリンクを辿って下さい<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValueのエンティティはありません"
"Choose Store View:","ストアビューを選択:"
"Newsletter Message Preview","ニュースレタープレビュー"
"Add to Queue","キューに追加"
"Are you sure that you want to strip all tags?","タグを全て除去してもよろしいですか？"
"Please enter a new template name.","新しいテンプレート名を入力してください。"
" Copy","コピー"
"Are you sure you want to delete this template?","このテンプレートを本当に削除しますか？"
"Sign Up for Our Newsletter:","ニュースレターをご購読ください:"
"Enter your email address","メールアドレスを入力してください"
"Subscribe","購読"
"Newsletter subscription confirmation","ニュースレター購読確認"
"Thank you for subscribing to our newsletter.","ニュースレターの購読ありがとうございます。"
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","ニュースレターを受け取るには、 以下のリンクをクリックして購読の確認をまず行わなければなりません:"
"Newsletter subscription success","ニュースレター購読の成功"
"You have been successfully subscribed to our newsletter.","無事にニュースレターの購読手続きが行われました"
"Newsletter unsubscription success","ニュースレターの登録解除の成功"
"You have been unsubscribed from the newsletter.","ニュースレターの購読解除を行いました。"
