"Delete Selected Problems","Ta bort markerade problem"
"Unsubscribe Selected","Avprenumeration Vald"
"Back","Tillbaka"
"Reset","Återställ"
"Preview Template","Förhandsgranska mall"
"Save Newsletter","Spara nyhetsbrev"
"Save and Resume","Spara och återuppta"
"View Newsletter","Visa nyhetsbrev"
"Edit Newsletter","Redigera nyhetsbrev"
"Queue Information","Köinformation"
"Queue Date Start","Startdatum för kön"
"Subscribers From","Prenummeranter från"
"Subject","Ämne"
"Sender Name","Avsändarens namn"
"Sender Email","Avsändares e-post"
"Message","Meddelande"
"Newsletter Styles","Nyhetsbrev stilar"
"Start","Starta"
"Pause","Pausa"
"Do you really want to cancel the queue?","Vill du verkligen avbryta kön?"
"Cancel","Avbryt"
"Resume","Återuppta"
"Preview","Förhandsgranska"
"Add New Template","Lägg till ny mall"
"Newsletter Templates","Nyhetsbrev mallar"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Return HTML Version","Returnera HTML-versionen"
"Delete Template","Ta bort mallen"
"Save As","Spara som"
"Save Template","Spara mall"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"New Newsletter Template","Ny nyhetsbrevsmall"
"Template Information","Information om mallar"
"Template Name","Mallens namn"
"Template Subject","Mall ämne"
"Template Content","Mallinnehåll"
"Template Styles","Mallstilar"
"No Templates Found","Inga mallar hittade"
"ID","ID"
"Template","Mall"
"Added","Tillagd"
"Updated","Uppdaterad"
"Sender","Avsändare"
"Template Type","Malltyp"
"Action","Åtgärd"
"Queue Newsletter","Köa nyhetsbrev"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter","Nyhetsbrev"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","Totalt %1 post(er) har uppdaterats."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Redigera mall"
"New Template","Ny mall"
"Create Newsletter Template","Create Newsletter Template"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Skickat"
"Cancelled","Avbruten"
"Not Sent","Inte skickat"
"Sending","Skickar"
"Paused","Pausad"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Kopiera"
