"Delete Selected Problems","Обриши одабране проблеме"
"Unsubscribe Selected","Откажи претплату за одабране"
"Back","Назад"
"Reset","Ресетовати"
"Preview Template","Преглед шаблона"
"Save Newsletter","Сачувај писмо новости"
"Save and Resume","Сачувај и настави"
"View Newsletter","Прегледај писмо новости"
"Edit Newsletter","Измени писмо новости"
"Queue Information","Информације о реду за чекање"
"Queue Date Start","Датум покретања реда за чекање"
"Subscribers From","Претплатници од"
"Subject","Предмет"
"Sender Name","Име пошаљиоца"
"Sender Email","Емаил пошаљиоца"
"Message","Порука"
"Newsletter Styles","Стил писма новости"
"Start","Покрени"
"Pause","Паузирај"
"Do you really want to cancel the queue?","Да ли желите да откажете ред за чекање?"
"Cancel","Откажи"
"Resume","Настави"
"Preview","Преглед"
"Add New Template","Додајте нови шаблон"
"Newsletter Templates","Шаблон писма новости"
"Convert to Plain Text","Пребаци у обичан текст"
"Return HTML Version","Врати верзију Хтмл-а"
"Delete Template","Обриши шаблон"
"Save As","Сачувај као"
"Save Template","Сними шаблон"
"Edit Newsletter Template","Измени шаблон писма новости"
"New Newsletter Template","Нови шаблон писма новости"
"Template Information","Информације о шаблону"
"Template Name","Назив шаблона"
"Template Subject","Предмет шаблона"
"Template Content","Садржај шаблона"
"Template Styles","Стилови шаблона"
"No Templates Found","Шаблони нису пронађени"
"ID","ИД"
"Template","Шаблон"
"Added","Додато"
"Updated","Ажуриран"
"Sender","Пошиљалац"
"Template Type","Тип шаблона"
"Action","Акција"
"Queue Newsletter","Ред за чекање писма новости"
"We unsubscribed the people you identified.","Идентификованим особама биће отказана претплата."
"The problems you identified have been deleted.","Проблем које је идентификован биће обрисан."
"Newsletter Problems Report","Извештај проблема писма новости"
"Newsletter Problem Reports","Извештај проблема писма новости"
"Newsletter Queue","Ред за чекање писма новости"
"Edit Queue","Измени ред за чекање"
"Please correct the newsletter template and try again.","Исправите шаблон писма новости и покушајте поново."
"You saved the newsletter queue.","Сачували сте ред за чекање писма новости."
"Newsletter Subscribers","Новински претплатници"
"Newsletter","Билтен"
"Subscribers","Претплатници"
"Please select one or more subscribers.","Молим одаберите једног или више претпланика."
"Total of %1 record(s) were deleted.","Укупно %1 запис(а) је обрисано."
"A total of %1 record(s) were updated.","Укупно %1 запис(а) је ажурирано."
"The newsletter template has been deleted.","Шаблон новости је обрисан."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Измени шаблон"
"New Template","Нови шаблон"
"Create Newsletter Template","Направи нови шаблон писма новости"
"The newsletter template has been saved.","Шаблон новости је сачуван."
"Something went wrong while saving this template.","Нешто није у реду wхиле савинг тхис темплате."
"Newsletter Subscription","Пријава на Неwслеттер"
"Something went wrong while saving your subscription.","Нешто није у реду wхиле савинг yоур субсцриптион."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Ваша претплата је потврђена."
"This is an invalid subscription confirmation code.","Тхис ис ан неисправан субсцриптион цонфирматион цоде."
"This is an invalid subscription ID.","Тхис ис ан неисправан субсцриптион ИД."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Жао нам је, али администратор је одбио претплату за госте. Молимо <а хреф=""%1"">региструјте се</а>."
"Please enter a valid email address.","Молимо унесите исправну емаил адресу."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","Захтев за потврду је послат."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Нешто није у реду wитх тхе субсцриптион."
"You unsubscribed.","Ођавили сте се."
"Something went wrong while unsubscribing you.","Нешто није у реду wхиле унсубсцрибинг yоу."
"Sent","Послато"
"Cancelled","Отказано"
"Not Sent","Није Послато"
"Sending","Слање"
"Paused","Паузирано"
"There are no subscribers selected.","Нема изабраних претплатника."
"You selected an invalid queue.","Изабрали сте неисправан ред."
"We cannot mark as received subscriber.","Wе не може марк ас рецеивед субсцрибер."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Пратите овај линк да се ођавите <!-- Тхис таг ис фор унсубсцрибе линк  --><а хреф=""{{вар субсцрибер.гетУнсубсцриптионЛинк()}}"">{{вар субсцрибер.гетУнсубсцриптионЛинк()}}</а>"
"No such entity with %fieldName = %fieldValue","Не постоји ентитет са %фиелдНаме = %фиелдВалуе"
"Choose Store View:","Изабери Продавница Преглед:"
"Newsletter Message Preview","Билтен Мессаге Преглед"
"Add to Queue","Додај то Qуеуе"
"Are you sure that you want to strip all tags?","Да ли сте сигурни тхат желите да стрип алл тагс?"
"Please enter a new template name.","Унесите нови назив шаблона."
" Copy","Копирај"
"Are you sure you want to delete this template?","Јесте ли сигурни да желите да обришете овај предложак?"
"Sign Up for Our Newsletter:","Сигн Уп фор Оур Билтен:"
"Enter your email address","Унесите вашу емаил адресу"
"Subscribe","Претплати се"
"Newsletter subscription confirmation","Билтен субсцриптион цонфирматион"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
"Newsletter subscription success","Успешна претплата на билтен"
"You have been successfully subscribed to our newsletter.","Yоу су успешно субсцрибед то оур неwслеттер."
"Newsletter unsubscription success","Билтен унсубсцриптион суццесс"
"You have been unsubscribed from the newsletter.","Yоу су унсубсцрибед фром тхе неwслеттер."
"Newsletter Template","Шаблон билтена"
"Newsletter Section","Билтен Сецтион"
"Subscription Options","Опције претплате"
"Allow Guest Subscription","Дозволи Гуест Претплата"
"Need to Confirm","Потребно потврдити"
"Confirmation Email Sender","Цонфирматион Е-пошта Сендер"
"Confirmation Email Template","Цонфирматион Е-пошта Темплате"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Success Email Sender","Пошиљалац емаила успеха"
"Success Email Template","Шаблон емаила успеха"
"Unsubscription Email Sender","Пошиљалац емаила ођаве"
"Unsubscription Email Template","Шаблон емаила ођаве"
"We found no problems.","Нисмо пронашли проблеме."
"Subscriber","Претплатник"
"Queue Start Date","Датум почетка реда"
"Queue Subject","Queue Subject"
"Error Code","Код грешке"
"Error Text","Текст грешке"
"Queue Start","Почетак реда"
"Queue End","Крај реда"
"Status","Статус"
"Processed","Обрађено"
"Recipients","Recipients"
"Unsubscribe","Ођави се"
"Delete","Обрисати"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Е-пошта"
"Type","Тип"
"Guest","Гост"
"Customer","Купац"
"Customer First Name","Име купца"
"Customer Last Name","Презиме купца"
"Not Activated","Није активирано"
"Subscribed","Претплаћен"
"Unsubscribed","Ођављен"
"Unconfirmed","Непотврђено"
"Web Site","Wеб локација"
"Store","Продавница"
"Store View","Приказ продавнице"
"Newsletter Subscriptions","Претплате на билтен"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","Захтев за потврду је послат."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","Опште Опције"
"Enabled","Омогућено"
