"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Unsubscribe Selected","Désinscription sélectionnée"
"Back","Retour"
"Reset","Réinitialiser"
"Preview Template","Prévisualiser le gabarit"
"Save Newsletter","Sauvegarder la newsletter"
"Save and Resume","Sauvegarder et continuer"
"View Newsletter","Voir la newsletter"
"Edit Newsletter","Éditer la newsletter"
"Queue Information","Informations de file d'attente"
"Queue Date Start","Date de démarrage de la file"
"Subscribers From","Abonnés de"
"Subject","Sujet"
"Sender Name","Nom de l'expéditeur"
"Sender Email","Email de l'expéditeur"
"Message","Message"
"Newsletter Styles","Styles de newsletter"
"Start","Commencer"
"Pause","Pause"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Cancel","Annuler"
"Resume","Reprendre"
"Preview","Prévisualiser"
"Add New Template","Ajouter un nouveau gabarit"
"Newsletter Templates","Gabarits newsletter"
"Convert to Plain Text","Convertir en texte simple"
"Return HTML Version","Revenir à la version HTML"
"Delete Template","Supprimer le gabarit"
"Save As","Sauvegarder sous"
"Save Template","Sauvegarder le gabarit"
"Edit Newsletter Template","Éditer le gabarit de newsletter"
"New Newsletter Template","Nouveau gabarit de newsletter"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Template Content","Contenu du gabarit"
"Template Styles","Styles de gabarit"
"No Templates Found","Aucun gabarit trouvé"
"ID","Identifiant"
"Template","Gabarit"
"Added","Ajouté"
"Updated","Mis à jour"
"Sender","Expéditeur"
"Template Type","Type de gabarit"
"Action","Action"
"Queue Newsletter","Mettre la newsletter en file d'attente"
"We unsubscribed the people you identified.","Désinscription réussie des personnes identifiées."
"The problems you identified have been deleted.","Les problèmes que vous avez identifiés ont été supprimés."
"Newsletter Problems Report","Rapports des problèmes de newsletter"
"Newsletter Problem Reports","Rapports des problèmes de newsletter"
"Newsletter Queue","File d'attente newsletter"
"Edit Queue","Éditer la file d'attente"
"Please correct the newsletter template and try again.","Corrigez le gabarit de newsletter et réessayez."
"You saved the newsletter queue.","Vous avez sauvegardé la file d'attente de newsletter."
"Newsletter Subscribers","Abonnés à la newsletter"
"Newsletter","Newsletter"
"Subscribers","Abonnés"
"Please select one or more subscribers.","Sélectionnez un ou plusieurs abonnés."
