"Delete Selected Problems","Eliminar problemas seleccionados"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Back","Volver"
"Reset","Restablecer"
"Preview Template","Vista previa de la plantilla"
"Save Newsletter","Guardar el newsletter"
"Save and Resume","Guardar y reanudar"
"View Newsletter","Ver boletín informativo"
"Edit Newsletter","Editar el boletín informativo"
"Queue Information","Información de la cola de tareas"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Subscribers From","Suscriptores de"
"Subject","Asunto"
"Sender Name","Nombre del remitente"
"Sender Email","Correo electrónico del remitente"
"Message","Mensaje"
"Newsletter Styles","Estilos del boletín informativo"
"Start","Comenzar"
"Pause","Pausa"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Cancel","Cancelar"
"Resume","Reanudar"
"Preview","Vista previa"
"Add New Template","Agregar nueva plantilla"
"Newsletter Templates","Plantillas del boletín informativo"
"Convert to Plain Text","Convertir a texto sin formato"
"Return HTML Version","Devolver versión HTML"
"Delete Template","Eliminar plantilla"
"Save As","Guardar como"
"Save Template","Guardar la plantilla"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"Template Information","Información de plantilla"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"No Templates Found","No se encontraron plantillas"
"ID","Número de Identificación (ID)"
"Template","Plantilla"
"Added","Añadido"
"Updated","Actualizado"
"Sender","Remitente"
"Template Type","Tipo de plantilla"
"Action","Acción"
"Queue Newsletter","Cola de Boletín"
"We unsubscribed the people you identified.","Nosotros tu suscripción la gente que identifica."
"The problems you identified have been deleted.","Los problemas que se han eliminado."
"Newsletter Problems Report","Informes de problemas del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Please correct the newsletter template and try again.","Por favor corregir la plantilla de boletín y vuelva a intentarlo."
"You saved the newsletter queue.","Has salvado la cola del boletín."
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter","Boletín informativo"
"Subscribers","Suscriptores"
"Please select one or more subscribers.","Por favor, seleccione uno o más suscriptores."
"Total of %1 record(s) were deleted.","Total de %1 registros fueron borrados."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"The newsletter template has been deleted.","Se ha eliminado la plantilla de boletín de noticias."
"We can't delete this template right now.","No se puede eliminar esta plantilla en estos momentos."
"Edit Template","Editar la plantilla"
"New Template","Nueva plantilla"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"The newsletter template has been saved.","Se ha guardado la plantilla de boletín de noticias."
"Something went wrong while saving this template.","Algo salió mal al guardar esta plantilla."
"Newsletter Subscription","Suscripción al boletín informativo"
"Something went wrong while saving your subscription.","Algo salió mal al guardar su suscripción."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"This is an invalid subscription confirmation code.","Se trata de un código de confirmación de suscripción válida."
"This is an invalid subscription ID.","Se trata de un identificador no válido suscripción."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Lo sentimos pero el administrador denegó la suscripción para visitantes. Por favor, <a href=""%s"">regístrense</a>."
"Please enter a valid email address.","Por favor, introduce una dirección de correo electrónico válida."
"This email address is already subscribed.","Esta dirección de correo electrónico ya está registrada."
"The confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Thank you for your subscription.","Gracias por suscribirse."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Algo salió mal con la suscripción."
"You unsubscribed.","Ha cancelado la suscripción."
"Something went wrong while unsubscribing you.","Algo salió mal con la baja de la suscripción."
"Sent","Enviado"
"Cancelled","Cancelado"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","En pausa"
"There are no subscribers selected.","No hay suscriptores seleccionados."
"You selected an invalid queue.","Elegiste una cola no válida."
"We cannot mark as received subscriber.","No podemos marcar como suscriptor recibido."
"Duplicate template code","Duplicado del código de la plantilla"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No existe la entidad con %fieldName = %fieldValue"
"Choose Store View:","Elija vista de tienda:"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Add to Queue","Añadir a la cola"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
