"Delete Selected Problems","删除选定的问题"
"Unsubscribe Selected","取消选定"
"Back","返回"
"Reset","重置"
"Preview Template","预览模板"
"Save Newsletter","保存通讯"
"Save and Resume","保存和恢复"
"View Newsletter","查看通讯"
"Edit Newsletter","编辑通讯"
"Queue Information","队列信息"
"Queue Date Start","队列开始日期"
"Subscribers From","从订阅服务器"
"Subject","主题"
"Sender Name","发件人邮箱"
"Sender Email","发件人的电子邮件"
"Message","信息"
"Newsletter Styles","新闻稿样式"
"Start","开始"
"Pause","暂停"
"Do you really want to cancel the queue?","你真的想要取消队列吗?"
"Cancel","取消"
"Resume","恢复"
"Preview","预览"
"Add New Template","添加新模板"
"Newsletter Templates","邮件列表订阅者"
"Convert to Plain Text","转换为纯文本"
"Return HTML Version","返回 HTML 版本"
"Delete Template","删除模板"
"Save As","另存为"
"Save Template","保存模板"
"Edit Newsletter Template","编辑新闻稿模板"
"New Newsletter Template","新的新闻稿模板"
"Template Information","模板信息"
"Template Name","模板名称"
"Template Subject","模板主题"
"Template Content","模板内容"
"Template Styles","模板中的样式"
"No Templates Found","没有找到模板"
"ID","编号ID"
"Template","模板"
"Added","已经添加"
"Updated","已更新"
"Sender","发送方"
"Template Type","模板类型"
"Action","操作"
"Queue Newsletter","队列通讯"
"We unsubscribed the people you identified.","我们取消了你所确认的人的订阅。"
"The problems you identified have been deleted.","你发现的问题已被删除。"
"Newsletter Problems Report","通讯问题报告"
"Newsletter Problem Reports","通讯问题报告"
"Newsletter Queue","通讯队列"
"Edit Queue","编辑队列"
"Please correct the newsletter template and try again.","请更正新闻稿模板，再试一次。"
"You saved the newsletter queue.","你保存通讯队列。"
"Newsletter Subscribers","时事通讯订阅服务器"
"Newsletter","最新资讯"
"Subscribers","订阅用户"
"Please select one or more subscribers.","请选择一个或多个订阅服务器。"
"Total of %1 record(s) were deleted.","共有%1结果已被删除。"
"A total of %1 record(s) were updated.","更新记录 %1"
"The newsletter template has been deleted.","新闻稿模板已被删除。"
"We can't delete this template right now.","我们现在不能删除此模板。"
"Edit Template","编辑模板"
"New Template","新建模板"
"Create Newsletter Template","创建新闻稿模板"
"The newsletter template has been saved.","时事通讯模板已保存。"
"Something went wrong while saving this template.","保存此模板时，出了错。"
"Newsletter Subscription","邮件列表订阅"
"Something went wrong while saving your subscription.","保存订阅时出了错。"
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","你的订阅已经得到确认。"
"This is an invalid subscription confirmation code.","这是一个无效的订阅确认码。"
"This is an invalid subscription ID.","这是一个无效的订阅 id。"
"This email address is already assigned to another user.","此电子邮件地址已经分配给另一个用户。"
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","抱歉，但管理员拒绝客人的预订。请 <a href=""%1""> 注册</a>。"
"Please enter a valid email address.","请输入一个有效的电子邮件地址。"
"This email address is already subscribed.","这个电子邮件地址已经订阅了。"
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","谢谢您的订阅。"
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","该订阅出毛病了。"
"You unsubscribed.","你退订。"
"Something went wrong while unsubscribing you.","取消订阅你时出了错。"
"Sent","已发送"
"Cancelled","取消"
"Not Sent","未发送"
"Sending","发送"
"Paused","已暂停"
"There are no subscribers selected.","没有选定的订户。"
"You selected an invalid queue.","您选择了一个无效的队列。"
"We cannot mark as received subscriber.","我们不能标记为已订阅。"
"Duplicate template code","复制模板代码"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","点击此链接以取消订阅 <! — — 这个标签是取消订阅链接--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","没有任何具有% fieldName = % fieldValue的实体"
"Choose Store View:","选择商店界面:"
"Newsletter Message Preview","新闻快递邮件预览"
"Add to Queue","添加到队列"
"Are you sure that you want to strip all tags?","你确定你想要去掉所有标记?"
"Please enter a new template name.","请输入一个新的模板名称。"
" Copy","拷贝"
"Are you sure you want to delete this template?","是否确实要删除此模板?"
"Sign Up for Our Newsletter:","注册我们的时事通讯:"
"Enter your email address","输入您的电子邮件地址"
"Subscribe","订阅"
"Newsletter subscription confirmation","时事通讯订阅确认"
"Thank you for subscribing to our newsletter.","感谢您的订购我们的时事通讯。"
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","要开始接收时事通讯，必须首先通过点击下面的链接确认您的订阅:"
"Newsletter subscription success","时事通讯订阅成功"
"You have been successfully subscribed to our newsletter.","您已成功订阅我们的时事通讯。"
"Newsletter unsubscription success","通讯退订成功"
"You have been unsubscribed from the newsletter.","你已经取消订阅新闻通讯。"
"Newsletter Template","通讯模板"
"Newsletter Section","通讯部分"
"Subscription Options","订阅选项"
"Allow Guest Subscription","允许客人订阅"
"Need to Confirm","需要确认"
"Confirmation Email Sender","确认电子邮件发件人"
"Confirmation Email Template","确认电子邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Success Email Sender","成功的电子邮件发件人"
"Success Email Template","成功的电子邮件模板"
"Unsubscription Email Sender","未获客户退订电子邮件发件人"
"Unsubscription Email Template","未获客户退订电子邮件模板"
"We found no problems.","我们没有发现问题。"
"Subscriber","订阅用户"
"Queue Start Date","队列开始日期"
"Queue Subject","队列问题"
"Error Code","错误代码"
"Error Text","错误文本"
"Queue Start","队列开始"
"Queue End","队列结束"
"Status","状态"
"Processed","已处理"
"Recipients","收件人"
"Unsubscribe","取消订阅"
"Delete","删除"
"CSV","Excel XML"
"Excel XML","XML Excel"
"Email","邮箱"
"Type","类型"
"Guest","访客"
"Customer","客户"
