"Delete Selected Problems","حذف مشکلات انتخاب شده"
"Unsubscribe Selected","لغو اشتراک انتخاب شده"
"Back","بازگشت"
"Reset","بازنشانی"
"Preview Template","پیش نمایش قالب"
"Save Newsletter","ذخیره‌ خبرنامه"
"Save and Resume","ذخیره و از سرگیری"
"View Newsletter","نمایش خبرنامه"
"Edit Newsletter","ویرایش خبرنامه"
"Queue Information","اطلاعات صف"
"Queue Date Start","تاریخ شروع صف"
"Subscribers From","فرم مشترکین"
"Subject","موضوع"
"Sender Name","نام فرستنده"
"Sender Email","ایمیل فرستنده"
"Message","پیام"
"Newsletter Styles","سبک های خبرنامه"
"Start","شروع"
"Pause","توقف"
"Do you really want to cancel the queue?","شما واقعا می‌خواهید صف را لغو کنید؟"
"Cancel","لغو"
"Resume","از سرگیری"
"Preview","پيش نمايش"
"Add New Template","افزودن قالب جدید"
"Newsletter Templates","قالب‌ های خبرنامه"
"Convert to Plain Text","تبدیل به متن ساده"
"Return HTML Version","نسخه‌ HTML را برگردان"
"Delete Template","حذف قالب"
"Save As","ذخیره به عنوان"
"Save Template","ذخیره‌ قالب"
"Edit Newsletter Template","ویرایش قالب خبرنامه"
"New Newsletter Template","قالب خبرنامه‌ جدید"
"Template Information","اطلاعات قالب"
"Template Name","نام قالب"
"Template Subject","موضوع قالب"
"Template Content","محتوای قالب"
"Template Styles","طرح‌ های قالب"
"No Templates Found","قالبی یافت نشد"
"ID","شناسه"
"Template","قالب"
"Added","اضافه شده"
"Updated","به روز رسانی شده"
"Sender","فرستنده"
"Template Type","نوع قالب"
"Action","اقدام"
"Queue Newsletter","صف خبرنامه"
"We unsubscribed the people you identified.","ما افرادی را که شناسایی کرده اید، لغو اشتراک کردیم."
"The problems you identified have been deleted.","مشکلات شناسایی شده شما حذف شده اند."
"Newsletter Problems Report","گزارش مشکلات خبرنامه"
"Newsletter Problem Reports","گزارشات مشکل خبرنامه"
"Newsletter Queue","صف خبرنامه"
"Edit Queue","ویرایش صف"
"Please correct the newsletter template and try again.","لطفا قالب خبرنامه را اصلاح کرده و دوباره امتحان کنید."
"You saved the newsletter queue.","شما صف خبرنامه را ذخیره کردید."
"Newsletter Subscribers","مشترکین خبرنامه"
"Newsletter","خبرنامه"
"Subscribers","مشترکین"
"Please select one or more subscribers.","لطفا یک یا چند مشترک را انتخاب کنید."
"Total of %1 record(s) were deleted.","مجموعا %1 رکورد حذف شد."
"A total of %1 record(s) were updated.","%1 رکورد به روز رسانی شد."
"The newsletter template has been deleted.","قالب خبرنامه حذف شده است."
"We can't delete this template right now.","اکنون نمیتوانیم این الگو را حذف کنیم."
"Edit Template","ویرایش قالب"
"New Template","قالب جدید"
"Create Newsletter Template","ایجاد قالب خبرنامه"
"The newsletter template has been saved.","قالب خبرنامه ذخیره شده است."
"Something went wrong while saving this template.","هنگام ذخیره این قالب، خطایی رخ داد."
"Newsletter Subscription","اشتراک خبرنامه"
"Something went wrong while saving your subscription.","هنگام ذخیره اشتراک شما، خطایی رخ داد."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","اشتراک شما تأیید شده است."
"This is an invalid subscription confirmation code.","این یک کد تأیید اشتراک نامعتبر است."
"This is an invalid subscription ID.","این یک شناسه اشتراک نامعتبر است."
"This email address is already assigned to another user.","این آدرس ایمیل در حال حاضر به یک کاربر دیگر اختصاص داده شده است."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","با عرض پوزش، اما مدیر، اشتراک مهمان ها را رد کرد. لطفا <a href=""<a href=""%1"">""> ثبت نام کنید </a>."
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"This email address is already subscribed.","این آدرس ایمیل قبلا مشترک شده است."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","از شما برای اشتراک‌ در خبرنامه سپاسگزاریم."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","برای این اشتراک، خطایی رخ داد."
"You unsubscribed.","اشتراک شما لغو شد."
"Something went wrong while unsubscribing you.","هنگام لغو اشتراک شما، خطایی رخ داد."
"Sent","ارسال شد"
"Cancelled","لغو شده"
"Not Sent","ارسال نشد"
"Sending","در حال ارسال"
"Paused","متوقف شد"
"There are no subscribers selected.","هیچ مشترکی انتخاب نشده است."
"You selected an invalid queue.","یک صف نامعتبر را انتخاب کردید."
"We cannot mark as received subscriber.","ما نمی توانیم به عنوان مشترک گیرنده علامت بزنیم."
"Duplicate template code","ایجاد نسخه تکراری از کد قالب"
