"Delete Selected Problems","තෝරාගත් ගැටළු මකන්න"
"Unsubscribe Selected","දායකත්වයෙන් ඉවත් වන්න තෝරන ලදී"
"Back","ආපසු"
"Reset","යළි පිහිටුවන්න"
"Preview Template","පෙරදසුන් අච්චුව"
"Save Newsletter","පුවත් පත්‍රිකාව සුරකින්න"
"Save and Resume","සුරකින්න සහ නැවත ආරම්භ කරන්න"
"View Newsletter","පුවත් පත්‍රිකාව බලන්න"
"Edit Newsletter","පුවත් පත්‍රිකාව සංස්කරණය කරන්න"
"Queue Information","පෝලිම් තොරතුරු"
"Queue Date Start","පෝලිම් දිනය ආරම්භය"
"Subscribers From","ග්‍රාහකයින් වෙතින්"
"Subject","විෂය"
"Sender Name","යවන්නාගේ නම"
"Sender Email","යවන්නාගේ ඊමේල්"
"Message","පණිවුඩය"
"Newsletter Styles","පුවත් පත්‍රිකා ශෛලීන්"
"Start","ආරම්භ කරන්න"
"Pause","නවත්වන්න"
"Do you really want to cancel the queue?","ඔබට ඇත්තටම පෝලිම අවලංගු කිරීමට අවශ්‍යද?"
"Cancel","අවලංගු කරන්න"
"Resume","අරඹන්න"
"Preview","පෙරදසුන"
"Add New Template","නව සැකිල්ල එක් කරන්න"
"Newsletter Templates","පුවත් පත්ර ආකෘති"
"Convert to Plain Text","සරල පෙළ බවට පරිවර්තනය කරන්න"
"Return HTML Version","HTML අනුවාදය ආපසු දෙන්න"
"Delete Template","අච්චුව මකන්න"
"Save As","ලෙස සුරකින්න"
"Save Template","සැකිල්ල සුරකින්න"
"Edit Newsletter Template","පුවත් පත්‍රිකා අච්චුව සංස්කරණය කරන්න"
"New Newsletter Template","නව පුවත් පත්‍රිකා අච්චුව"
"Template Information","සැකිලි තොරතුරු"
"Template Name","සැකිල්ල නම"
"Template Subject","සැකිලි විෂය"
"Template Content","සැකිලි අන්තර්ගතය"
"Template Styles","සැකිලි මෝස්තර"
"No Templates Found","සැකිලි හමු නොවිණි"
"ID","හැඳුනුම්පත"
"Template","සැකිල්ල"
"Added","එකතු කරන ලදී"
"Updated","යාවත්කාලීන කරන ලදී"
"Sender","යවන්නා"
