"Delete Selected Problems","Eliminar problemas seleccionados"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Back","Atrás"
"Reset","Restablecer"
"Preview Template","Vista previa de la plantilla"
"Save Newsletter","Guardar el boletín informativo"
"Save and Resume","Guardar y reanudar"
"View Newsletter","Ver boletín informativo"
"Edit Newsletter","Editar el boletín informativo"
"Queue Information","Información de la cola de tareas"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Subscribers From","Suscriptores de"
"Subject","Asunto"
"Sender Name","Nombre del remitente"
"Sender Email","Correo electrónico del remitente"
"Message","Mensaje"
"Newsletter Styles","Estilos del boletín informativo"
"Start","Comenzar"
"Pause","Pausa"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Cancel","Cancelar"
"Resume","Reanudar"
"Preview","Vista previa"
"Add New Template","Añadir Nueva Plantilla"
"Newsletter Templates","Plantillas del boletín informativo"
"Convert to Plain Text","Convertir a texto sin formato"
"Return HTML Version","Devolver versión HTML"
"Delete Template","Eliminar plantilla"
"Save As","Guardar como"
"Save Template","Guardar la plantilla"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"Template Information","Información de la plantilla"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"No Templates Found","No se encontraron plantillas"
"ID","Número de Identificación (ID)"
"Template","Plantilla"
"Added","Añadido"
"Updated","Actualizado"
"Sender","Remitente"
"Template Type","Tipo de plantilla"
"Action","Acción"
"Queue Newsletter","Cola de Boletín"
"We unsubscribed the people you identified.","Hemos desuscrito a las personas que has identificado."
"The problems you identified have been deleted.","Los problemas identificados han sido eliminados."
"Newsletter Problems Report","Informes de problemas del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Please correct the newsletter template and try again.","Por favor, corrige el template de la newsletter y vuelve a probar."
"You saved the newsletter queue.","Has guardado la cola del boletín."
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter","Boletín de noticias"
"Subscribers","Suscriptores"
"Please select one or more subscribers.","Por favor, seleccione uno o más suscriptores."
"Total of %1 record(s) were deleted.","Total de %1 registros fueron borrados."
"A total of %1 record(s) were updated.","Un total de %1 registro(s) fueron actualizados."
"The newsletter template has been deleted.","Se ha eliminado la plantilla de boletín de noticias."
"We can't delete this template right now.","No podemos borrar esta plantilla en este momento."
"Edit Template","Editar la plantilla"
"New Template","Nueva plantilla"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"The newsletter template has been saved.","Se ha guardado la plantilla de boletín de noticias."
"Something went wrong while saving this template.","Algo ha fallado al grabar el template."
"Newsletter Subscription","Suscripción al boletín informativo"
"Something went wrong while saving your subscription.","Algo ha fallado mientras grabábamos tu suscripción."
"We saved the subscription.","Se guardó la suscripción."
"We removed the subscription.","Quitamos la suscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"This is an invalid subscription confirmation code.","El código de confirmación de suscripción es incorrecto."
"This is an invalid subscription ID.","Este es un ID de suscripción inválido."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Lo sentimos, pero el administrador no permite al suscripción de invitados. Por favor, <a href=""%1"">registrate</a>."
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"This email address is already subscribed.","Esta dirección de correo electrónico ya está suscrita."
"The confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Thank you for your subscription.","Gracias por suscribirse."
"There was a problem with the subscription: %1","Hubo un problema tu suscripción: %1"
"Something went wrong with the subscription.","Algo fallo con la suscripción."
"You unsubscribed.","Ha cancelado la suscripción."
"Something went wrong while unsubscribing you.","Algo ha fallado al tratar de desuscribirte."
"Sent","Enviado"
"Cancelled","Cancelado"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","Pausado"
"There are no subscribers selected.","No hay suscriptores seleccionados."
"You selected an invalid queue.","Elegiste una cola inválida."
