"Delete Selected Problems","Ihre Anmeldung wurde bestätigt."
"Unsubscribe Selected","Ausgewählte abmelden"
"Back","Zurück"
"Reset","Zurücksetzen"
"Preview Template","Vorlagen-Vorschau"
"Save Newsletter","Newsletter speichern"
"Save and Resume","Speichern und fortsetzen"
"View Newsletter","Newsletter anzeigen"
"Edit Newsletter","Newsletter bearbeiten"
"Queue Information","Warteschlangen-Informationen"
"Queue Date Start","Warteschlange Datum Start"
"Subscribers From","Abonnenten von"
"Subject","Betreff"
"Sender Name","Absendername"
"Sender Email","Absender E-Mail"
"Message","Nachricht"
"Newsletter Styles","Newsletter Stile"
"Start","Starten"
"Pause","Pausieren"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie die Warteschlange abbrechen wollen?"
"Cancel","Stornieren"
"Resume","Wiederaufnehmen"
"Preview","Vorschau"
"Add New Template","Neue Vorlage"
"Newsletter Templates","Newsletter Vorlagen"
"Convert to Plain Text","Zu Text konvertieren"
"Return HTML Version","HTML-Version ausgeben"
"Delete Template","Vorlage löschen"
"Save As","Speichern als"
"Save Template","Vorlage speichern"
"Edit Newsletter Template","Newslettervorlage bearbeiten"
"New Newsletter Template","Neue Newslettervorlage"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Subject","Vorlage-Betreff"
"Template Content","Vorlageninhalt"
"Template Styles","Vorlagen-Stile"
"No Templates Found","Vorlagentyp"
"ID","Id"
"Template","Vorlage"
"Added","Hinzugefügt"
"Updated","Aktualisiert"
"Sender","Absender"
"Template Type","Vorlagentyp"
"Action","Aktion"
"Queue Newsletter","Newsletter-Warteschlange"
"We unsubscribed the people you identified.","Wir haben die Personen, die Sie identifiziert haben, abgemeldet."
"The problems you identified have been deleted.","Die von Ihnen festgestellten Probleme wurden gelöscht."
"Newsletter Problems Report","Newsletter-Problembericht"
"Newsletter Problem Reports","Newsletter-Problemberichte"
"Newsletter Queue","Newsletter-Warteschlange"
"Edit Queue","Warteschlange bearbeiten"
"Please correct the newsletter template and try again.","Bitte korrigieren Sie die Newslettervorlage und versuchen Sie es erneut."
"You saved the newsletter queue.","Sie haben die Newsletter-Warteschlange gespeichert."
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter","Newsletter"
"Subscribers","Abonnenten"
"Please select one or more subscribers.","Bitte wählen Sie einen oder mehrere Abonnenten."
"Total of %1 record(s) were deleted.","Insgesamt wurden %1 Einträge gelöscht."
"A total of %1 record(s) were updated.","Insgesamt wurden %1 Einträge aktualisiert."
"The newsletter template has been deleted.","Die Newslettervorlage wurde gelöscht."
"We can't delete this template right now.","Diese Vorlage kann momentan nicht gelöscht werden."
"Edit Template","Vorlage bearbeiten"
"New Template","Neue Vorlage"
"Create Newsletter Template","Newslettervorlage erstellen"
"The newsletter template has been saved.","Die Newslettervorlage wurde gespeichert."
"Something went wrong while saving this template.","Beim Speichern dieser Vorlage ging etwas schief."
"Newsletter Subscription","Newsletter Abonnement"
"Something went wrong while saving your subscription.","Irgendetwas ging schief beim Speichern Ihres Abonnements."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
"This is an invalid subscription confirmation code.","Das ein ungültiger Abonnement Bestätigungscode."
"This is an invalid subscription ID.","Dies ist eine ungültige Abonnement-ID."
"This email address is already assigned to another user.","Diese E-Mail-Adresse ist bereits einem anderen Nutzer zugewiesen."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Entschuldigung, aber der Administrator verweigert ein Abonnement für Gäste. Bitte <a href=""%1""> registrieren </a>."
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"This email address is already subscribed.","Diese E-Mail-Adresse ist bereits angemeldet."
"The confirmation request has been sent.","Die Bestätigungsanfrage wurde gesendet."
"Thank you for your subscription.","Vielen Dank für Ihre Anmeldung."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Da lief was falsch mit dem Abonnement."
"You unsubscribed.","Sie haben sich abgemeldet."
"Something went wrong while unsubscribing you.","Etwas ist während Ihrer Abmeldung schiefgelaufen."
"Sent","Gesendet"
"Cancelled","Storniert"
"Not Sent","Nicht gesendet"
"Sending","Wird gesendet"
"Paused","Pausiert"
"There are no subscribers selected.","Es wurden keine Abonnenten ausgewählt."
"You selected an invalid queue.","Sie haben eine ungültige Warteschlange ausgewählt."
"We cannot mark as received subscriber.","Wir können die  empfangenen Abonnenten nicht markieren."
"Duplicate template code","Doppelte Vorlagencode"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Folgen Sie diesem Link, um sich abzumelden <!-- Dieser tag ist für den Abmeldelink --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Keine solche Entität mit %fieldName = %fieldValue"
"Choose Store View:","Store View wählen:"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Add to Queue","Zur Warteschlange hinzufügen"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Tags entfernen möchten?"
"Please enter a new template name.","Bitte geben Sie einen neuen Vorlagennamen ein."
" Copy"," Kopieren"
"Are you sure you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Enter your email address","Geben Sie Ihre E-Mail-Adresse ein"
"Subscribe","Abonnieren"
"Newsletter subscription confirmation","Newsletter-Anmeldebestätigung"
"Thank you for subscribing to our newsletter.","Vielen Dank, dass Sie unseren Newsletter abonniert haben."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Um den Newsletter zu empfangen, müssen Sie zunächst Ihr Abonnement bestätigen, indem Sie auf den folgenden Link klicken:"
"Newsletter subscription success","Newsletter Anmeldung erfolgreich"
"You have been successfully subscribed to our newsletter.","Sie haben unseren Newsletter erfolgreich abonniert."
"Newsletter unsubscription success","Newsletter Abmeldung erfolgreich"
"You have been unsubscribed from the newsletter.","Sie wurden vom Newsletter abgemeldet."
"Newsletter Template","Newsletter-Vorlage"
"Newsletter Section","Abschnitt Newsletter"
"Subscription Options","Abonnementoptionen"
"Allow Guest Subscription","Gästen die Anmeldung erlauben"
"Need to Confirm","Bestätigung erforderlich"
"Confirmation Email Sender","Absender Bestätigungs-E-Mail"
"Confirmation Email Template","Vorlage Bestätigungs-E-Mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Success Email Sender","Absender für Erfolgs-E-Mail"
