"Delete Selected Problems","Elimina problemi selezionati"
"Unsubscribe Selected","Annulla l'iscrizione agli utenti selezionati"
"Back","Indietro"
"Reset","Reimposta"
"Preview Template","Anteprima template"
"Save Newsletter","Salva Newsletter"
"Save and Resume","Salva e Ripristina"
"View Newsletter","Visualizza Newsletter"
"Edit Newsletter","Modifica Newsletter"
"Queue Information","Informazioni sulla coda"
"Queue Date Start","Data inizio coda"
"Subscribers From","Iscritti da"
"Subject","Oggetto"
"Sender Name","Nome mittente"
"Sender Email","Email mittente"
"Message","Messaggio"
"Newsletter Styles","Stili Newsletter"
"Start","Inizia"
"Pause","Pausa"
"Do you really want to cancel the queue?","Vuoi davvero cancellare la coda?"
"Cancel","Annulla"
"Resume","Riprendi"
"Preview","Anteprima"
"Add New Template","Aggiungi nuovo template"
"Newsletter Templates","Templates Newsletter"
"Convert to Plain Text","Converti in testo normale"
"Return HTML Version","Restituisci la versione HTML"
"Delete Template","Elimina template"
"Save As","Salva come"
"Save Template","Salva Template"
"Edit Newsletter Template","Modifica il template Newsletter"
"New Newsletter Template","Nuovo template newsletter"
"Template Information","Informazioni Template"
"Template Name","Nome template"
"Template Subject","Oggetto Template"
"Template Content","Contenuto Template"
"Template Styles","Stili Template"
"No Templates Found","Nessun template trovato"
"ID","ID"
"Template","Template"
"Added","Aggiunto"
"Updated","Aggiornato"
"Sender","Mittente"
"Template Type","Tipo di template"
"Action","Azione"
"Queue Newsletter","Coda newsletter"
"We unsubscribed the people you identified.","Abbiamo annullato l'iscrizione alle persone che hai identificato."
"The problems you identified have been deleted.","I problemi che hai identificato sono stato eliminati."
"Newsletter Problems Report","Report problemi newsletter"
"Newsletter Problem Reports","Report problema newsletter"
"Newsletter Queue","Coda newsletter"
"Edit Queue","Modifica la coda"
"Please correct the newsletter template and try again.","Correggi il template newsletter e riprova."
"You saved the newsletter queue.","Hai salvato la coda della newsletter."
"Newsletter Subscribers","Iscritti alla newsletter"
"Newsletter","Newsletter"
"Subscribers","Iscritti"
"Please select one or more subscribers.","Seleziona uno o più iscritti."
"Total of %1 record(s) were deleted.","Un totale di %1 record sono stati eliminati."
"A total of %1 record(s) were updated.","Un totale di %1 record(s) sono stati aggiornati."
"The newsletter template has been deleted.","Il template newsletter è stato eliminato."
"We can't delete this template right now.","Non è possibile eliminare questo template in questo momento."
"Edit Template","Modifica Template"
"New Template","Nuovo Template"
"Create Newsletter Template","Crea template newsletter"
"The newsletter template has been saved.","Il template newsletter è stato salvato."
"Something went wrong while saving this template.","Qualcosa è andato storto durante il salvataggio di questo template."
"Newsletter Subscription","Iscrizione alla newsletter"
