"Delete Selected Problems","Seçilen Problemleri Sil"
"Unsubscribe Selected","Seçilen Abonelikleri İptal et"
"Back","Geri"
"Reset","Sıfırla"
"Preview Template","Şablon Önizleme"
"Save Newsletter","Bülteni Kaydet"
"Save and Resume","Kaydet ve Devam Et"
"View Newsletter","Bülteni Göster"
"Edit Newsletter","Bülteni Düzenle"
"Queue Information","Kuyruk Bilgisi"
"Queue Date Start","Kuyruk Başlama Tarihi"
"Subscribers From","Aboneler"
"Subject","Konu"
"Sender Name","Gönderici Adı"
"Sender Email","Gönderici E-posta Adresi"
"Message","Mesaj"
"Newsletter Styles","Bülten Stilleri"
"Start","Başla"
"Pause","Duraklat"
"Do you really want to cancel the queue?","Bu sepeti iptal etmek istediğinizden emin misiniz?"
"Cancel","İptal"
"Resume","Devam Et"
"Preview","Ön İzleme"
"Add New Template","Yeni Şablon Ekle"
"Newsletter Templates","Duyuru Temaları"
"Convert to Plain Text","Düz yazıya çevir"
"Return HTML Version","Html Sürümüne Dön"
"Delete Template","Şablonu Sil"
"Save As","Farklı Kaydet"
"Save Template","Şablonu Kaydet"
"Edit Newsletter Template","Bülten Temasını Düzenle"
"New Newsletter Template","Yeni Bülten Şablonu"
"Template Information","Şablon Bilgisi"
"Template Name","Şablon Adı"
"Template Subject","Şablon Konusu"
"Template Content","Şablon İçeriği"
"Template Styles","Şablon Stilleri"
"No Templates Found","Şablon bulunamadı."
"ID","No"
"Template","Şablon"
"Added","Katma"
"Updated","Güncellendi"
"Sender","Gönderici"
"Template Type","Şablon Tipi"
"Action","Eylem"
"Queue Newsletter","Duyuru Kuyruğu"
"We unsubscribed the people you identified.","Belirlediğiniz insanların abone kayıtları silindi."
"The problems you identified have been deleted.","Belirlediğiniz sorunlar silindi."
"Newsletter Problems Report","Bülten Problemi Bildirimi"
"Newsletter Problem Reports","Bülten Gönderimi Problem Raporları"
"Newsletter Queue","Duyuru Kuyruğu"
"Edit Queue","Kuyruğu Düzenle"
"Please correct the newsletter template and try again.","Lütfen bülten şablonunu düzeltip tekrar deneyin."
"You saved the newsletter queue.","Bülten sırasını kaydettiniz."
"Newsletter Subscribers","Duyuru Aboneleri"
