"Delete Selected Problems","Slett valgte problemer"
"Unsubscribe Selected","Meld ut valgte"
"Back","Tilbake"
"Reset","Nullstill"
"Preview Template","Forhåndsvisning av mal"
"Save Newsletter","Lagre nyhetsbrev"
"Save and Resume","Lagre og Fortsett"
"View Newsletter","Vis nyhetsbrev"
"Edit Newsletter","Redigere nyhetsbrev"
"Queue Information","Queue Information"
"Queue Date Start","Queue Date Start"
"Subscribers From","Abonnenter fra"
"Subject","Emne"
"Sender Name","Avsenderens navn"
"Sender Email","Avsender e-post"
"Message","Beskjed"
"Newsletter Styles","Stil for nyhetsbrev"
"Start","Start"
"Pause","Pause"
"Do you really want to cancel the queue?","Vil du virkelig avbryte køen?"
"Cancel","Avbryt"
"Resume","Gjenoppta"
"Preview","Forhåndsvis"
"Add New Template","Legg til ny mal"
"Newsletter Templates","Mal for nyhetsbrev"
"Convert to Plain Text","Konvertere til ren tekst"
"Return HTML Version","Returner HTML versjon"
"Delete Template","Slett malen"
"Save As","Lagre som"
"Save Template","Lagre mal"
"Edit Newsletter Template","Rediger malen for nyhetsbrev"
"New Newsletter Template","Ny mal for nyhetsbrev"
"Template Information","Malinformasjon"
"Template Name","Malnavn"
"Template Subject","Malemne"
"Template Content","Mal-innholdet"
"Template Styles","Stil for mal"
"No Templates Found","Ingen mal funnet"
"ID","ID"
"Template","Mal"
"Added","Lagt til"
"Updated","Oppdatert"
"Sender","Avsender"
"Template Type","Maltype"
"Action","Handling"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","Vi har avsluttet abonnementet for de valgte personene."
"The problems you identified have been deleted.","Problemene du valgte har blitt slettet."
"Newsletter Problems Report","Nyhetsbrev problemrapport"
"Newsletter Problem Reports","Nyhetsbrev problemrapport"
"Newsletter Queue","Newsletter Queue"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Endre nyhetsbrevmalen, og prøv igjen."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter","Nyhetsbrev"
"Subscribers","Abonnenter"
"Please select one or more subscribers.","Velg en eller flere abonnenter."
"Total of %1 record(s) were deleted.","Totalt %1 post(er) ble slettet."
"A total of %1 record(s) were updated.","Totalt %1 post(er) ble oppdatert."
"The newsletter template has been deleted.","E-postmalen har blitt slettet."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Endre mal"
"New Template","Ny mal"
"Create Newsletter Template","Opprett mal for nyhetsbrev"
"The newsletter template has been saved.","Malen for nyhetsbrev har blitt lagret."
"Something went wrong while saving this template.","Noe gikk galt under lagringen av denne malen."
"Newsletter Subscription","Nyhetsbrev abonnement"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","Abonnementet er påmeldt."
"We removed the subscription.","Abonnementet er avmeldt."
"Your subscription has been confirmed.","Abonnementet er bekreftet."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","Denne e-postadressen er allerede tilordnet en annen bruker."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Beklager, men administrator nekter abonnement for gjester. Vennligst <a href=""%1"">registrer deg</a>."
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Takk for at du meldte deg på vårt nyhetsbrev."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","Du abonnerer ikke lenger."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Sendt"
"Cancelled","Kansellert"
"Not Sent","Ikke sendt"
"Sending","Sender"
"Paused","Pauset"
"There are no subscribers selected.","Det er ikke noen valgt noen abonnenter."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Velg lager-visning:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Legg til i køen"
"Are you sure that you want to strip all tags?","Er du sikker på at du vil fjerne alle tagger?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Kopier"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Skriv inn e-postadressen din"
"Subscribe","Abonner"
"Newsletter subscription confirmation","Nyhetsbrev abonnement bekreftelse"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
