"Delete Selected Problems","מחק את הבעיות שנבחרו"
"Unsubscribe Selected","לבטל הרשמה של המנוי שנבחר"
"Back","חזור"
"Reset","איפוס"
"Preview Template","תצוגה מקדימה של תבנית"
"Save Newsletter","לשמור את הניוזלטר"
"Save and Resume","שמור ושחזר"
"View Newsletter","הצג ניוזלטר"
"Edit Newsletter","עריכת ניוזלטר"
"Queue Information","מידע אודות תורים"
"Queue Date Start","תור תאריך התחלה"
"Subscribers From","למנויים מ-"
"Subject","נושא"
"Sender Name","שם השולח"
"Sender Email","דואר אלקטרוני של השולח"
"Message","הודעה"
"Newsletter Styles","Newsletter Styles"
"Start","התחלה"
"Pause","השהה"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Cancel","ביטול"
"Resume","המשך"
"Preview","תצוגה מקדימה"
"Add New Template","להוסיף תבנית חדשה"
"Newsletter Templates","תבניות לניוזלטר"
"Convert to Plain Text","המר לטקסט רגיל"
"Return HTML Version","החזר את גרסת Html"
"Delete Template","למחוק תבנית"
"Save As","שמור בשם"
"Save Template","שמירת תבנית"
"Edit Newsletter Template","Edit Newsletter Template"
"New Newsletter Template","New Newsletter Template"
"Template Information","מידע אודות התבנית"
"Template Name","שם תבנית"
"Template Subject","נושא תבנית"
"Template Content","תוכן התבנית"
"Template Styles","סטייל תבנית"
"No Templates Found","אין תבניות שנמצאו"
"ID","מזהה"
"Template","תבנית"
"Added","הוסף"
"Updated","עודכן"
"Sender","שולח"
"Template Type","סוג התבנית"
"Action","פעולה"
"Queue Newsletter","תור ניוזלטר"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","ניוזלטר - תור"
"Edit Queue","עריכת תור"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","תור הניוזלטר נשמר."
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter","ניוזלטר"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","%1 רשומות נמחקו."
"A total of %1 record(s) were updated.","סך הכל מתוך %1 רשומה/ות עודכנו."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","איננו יכולים למחוק את התבנית הזו ברגע זה."
"Edit Template","ערוך תבנית"
"New Template","תבנית חדשה"
"Create Newsletter Template","יצירת תבנית לניוזלטר"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","ניוזלטר - רישום"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","כתובת המייל כבר תפוסה."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","תודה על ההרשמה."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","היתה בעיה בהרשמה."
"You unsubscribed.","הרישום בוטל."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","נשלח"
"Cancelled","בוטל"
"Not Sent","לא נשלח"
"Sending","שולח"
"Paused","נעצר"
"There are no subscribers selected.","לא נבחרו מנויים."
"You selected an invalid queue.","בחרת תור לא חוקי."
"We cannot mark as received subscriber.","לא ניתן לסמן כמנוי שהתקבל."
"Duplicate template code","שכפול קוד תבנית"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","לחצו כאן להסרה מרשימת התפוצה<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","בחירת תצוגת חנות:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","הוספה לתור"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","נא הזינו שם תבנית חדשה."
" Copy"," העתקה"
"Are you sure you want to delete this template?","האם אתה בטוח כי ברצונך למחוק את תבנית זו?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","הזן את כתובת הדואר האלקטרוני שלך"
"Subscribe","הרשמה"
"Newsletter subscription confirmation","אישור הרשימה לניוזלטר"
"Thank you for subscribing to our newsletter.","תודה על הרשמה לניוזלטר שלנו."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","על מנת להתחיל לקבל מאתנו עדכונים, עלייך לאשר את המייל שלך על ידי לחיצה על הקישור הבא:"
"Newsletter subscription success","נרשמת בהצלחה לניוזלטר"
"You have been successfully subscribed to our newsletter.","נרשמת בהצלחה לניוזלטר."
"Newsletter unsubscription success","הוסרת בהצלחה מרשימת הניוזלטר"
"You have been unsubscribed from the newsletter.","You have been unsubscribed from the newsletter."
"Newsletter Template","תבנית לניוזלטר"
"Newsletter Section","איזור ניוזלטר"
"Subscription Options","אפשרויות מינוי"
"Allow Guest Subscription","לאפשר מינוי של אורחים"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Subscriber"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Error Code"
"Error Text","Error Text"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","סטטוס"
"Processed","Processed"
"Recipients","המקבלים"
"Unsubscribe","Unsubscribe"
"Delete","מחק"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","דואר אלקטרוני"
"Type","סוג"
"Guest","אורח"
"Customer","לקוח"
"Customer First Name","השם הפרטי של הלקוח"
"Customer Last Name","שם המשפחה של הלקוח"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
