"Delete Selected Problems","Odstrániť vybrané problémy"
"Unsubscribe Selected","Odhlásiť sa z vybratých"
"Back","Späť"
"Reset","Resetovať"
"Preview Template","Náhľad šablóny"
"Save Newsletter","Save Newsletter"
"Save and Resume","Save and Resume"
"View Newsletter","View Newsletter"
"Edit Newsletter","Edit Newsletter"
"Queue Information","Queue Information"
"Queue Date Start","Queue Date Start"
"Subscribers From","Subscribers From"
"Subject","Predmet"
"Sender Name","Meno odosielateľa"
"Sender Email","Email odosielateľa"
"Message","Správa"
"Newsletter Styles","Newsletter Styles"
"Start","Začiatok"
"Pause","Pause"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Cancel","Zrušiť"
"Resume","Resume"
"Preview","Náhľad"
"Add New Template","Pridať novú šablónu"
"Newsletter Templates","Newsletter Templates"
"Convert to Plain Text","Konvertovať na obyčajný Text"
"Return HTML Version","Return HTML Version"
"Delete Template","Odstrániť šablónu"
"Save As","Uložiť ako"
"Save Template","Uložiť šablónu"
"Edit Newsletter Template","Edit Newsletter Template"
"New Newsletter Template","New Newsletter Template"
"Template Information","Informácie o šablóne"
"Template Name","Názov šablóny"
"Template Subject","Predmet šablóny"
"Template Content","Obsah šablóny"
"Template Styles","Štýly šablóny"
"No Templates Found","Nenašli sa žiadne šablóny"
"ID","ID"
"Template","Šablóna"
"Added","Pridané"
"Updated","Aktualizované"
"Sender","Sender"
"Template Type","Typ šablóny"
"Action","Akcia"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter","Informačný bulletin"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","Celkom %1 záznamov bolo aktualizovaných."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Upraviť šablónu"
"New Template","Nová šablóna"
"Create Newsletter Template","Create Newsletter Template"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Newsletter Subscription"
"Something went wrong while saving your subscription.","Pri ukladaní vášho odberu došlo k chybe."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Zadajte platnú e-mailovú adresu."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","Boli ste odhlásený z odberu noviniek."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Odoslané"
"Cancelled","Cancelled"
"Not Sent","Nebola poslaná"
"Sending","Odosielanie"
"Paused","Pozastavené"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Copy"
"Are you sure you want to delete this template?","Naozaj chcete odstrániť túto šablónu?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
"Subscribe","Prihlásiť sa k odberu"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
